dataset,t5_key,stream,layer,pod,saved_auc_oof,refit_auc_oof,abs_diff,match_4dp,saved_auc_mean,refit_auc_mean,saved_auc_std,refit_auc_std
adress2020,adress2020,enc,0,lo-t5-7,0.6553254437869822,0.6551610782380013,0.00016436554898091593,False,0.64953125,0.64796875,0.0610278888034442,0.064828248649155
adress2020,adress2020,enc,1,lo-t5-7,0.6554898093359632,0.6551610782380013,0.0003287310979619429,False,0.6415104166666666,0.6415624999999999,0.0756374100240012,0.0778623362273299
adress2020,adress2020,enc,2,lo-t5-7,0.6502301117685733,0.6490795529257067,0.0011505588428665225,False,0.6425,0.6408333333333334,0.0527967802048571,0.0512618549974323
adress2020,adress2020,enc,3,lo-t5-7,0.6822813938198553,0.6816239316239315,0.0006574621959237748,False,0.6855208333333334,0.6839583333333333,0.0554968874252321,0.0583169619883919
adress2020,adress2020,enc,4,lo-t5-7,0.6788297172912557,0.6803090072320842,0.0014792899408284654,False,0.6797916666666667,0.683125,0.063271625639864,0.0621532045298818
adress2020,adress2020,enc,5,lo-t5-7,0.6535174227481919,0.6522024983563444,0.0013149243918475495,False,0.651875,0.6527083333333333,0.0695359119847834,0.0697826486711098
adress2020,adress2020,enc,6,lo-t5-7,0.6862261669953978,0.6854043392504932,0.0008218277449046907,False,0.6755208333333333,0.67390625,0.066947650050037,0.0682749528306521
adress2020,adress2020,enc,7,lo-t5-7,0.7061143984220908,0.7041420118343196,0.0019723865877712132,False,0.7026041666666667,0.6977083333333333,0.0565136567811514,0.0612953346964967
adress2020,adress2020,enc,8,lo-t5-7,0.7214003944773176,0.7192636423405655,0.002136752136752129,False,0.7171354166666667,0.7171354166666666,0.0822244583146577,0.0817586243539481
adress2020,adress2020,enc,9,lo-t5-7,0.740302432610125,0.7396449704142013,0.0006574621959236637,False,0.7356250000000001,0.7347916666666666,0.0722421179860551,0.0720471971079452
adress2020,adress2020,enc,10,lo-t5-7,0.7664365548980934,0.7662721893491125,0.00016436554898091593,False,0.7609895833333333,0.7633854166666667,0.0766287978259479,0.0726071556056211
adress2020,adress2020,enc,11,lo-t5-7,0.7830374753451678,0.7833662064431295,0.00032873109796172084,False,0.7843229166666666,0.7834895833333333,0.0953543851501393,0.096822846624504
adress2020,adress2020,enc,12,lo-t5-7,0.7756410256410257,0.7769559500328731,0.0013149243918474385,False,0.7678125,0.7694270833333334,0.0950011421714965,0.0962360762836485
adress2020,adress2020,enc,13,lo-t5-7,0.7896120973044051,0.7874753451676529,0.002136752136752129,False,0.7802083333333334,0.77859375,0.0863063423058944,0.0878268325590824
adress2020,adress2020,enc,14,lo-t5-7,0.7751479289940828,0.7746548323471399,0.0004930966469428588,False,0.7764062500000001,0.7764062500000001,0.084769461158715,0.084769461158715
adress2020,adress2020,enc,15,lo-t5-7,0.7887902695595004,0.7881328073635767,0.0006574621959236637,False,0.7803125000000001,0.7802604166666667,0.0863015646987031,0.0868678179485297
adress2020,adress2020,enc,16,lo-t5-7,0.7984878369493754,0.7984878369493753,1.1102230246251565e-16,True,0.7861979166666667,0.7852604166666668,0.0760962275720317,0.0733357746989451
adress2020,adress2020,enc,17,lo-t5-7,0.8150887573964497,0.8175542406311637,0.002465483234713961,False,0.8096354166666668,0.8120833333333334,0.0798398597932483,0.0795211362538986
adress2020,adress2020,enc,18,lo-t5-7,0.7965154503616041,0.7958579881656805,0.0006574621959235527,False,0.7963541666666667,0.7955208333333332,0.0848776181890399,0.0857941354671492
adress2020,adress2020,enc,19,lo-t5-7,0.7912557527942143,0.7886259040105194,0.002629848783694988,False,0.79515625,0.7903645833333334,0.0793042253366742,0.0801030830009058
adress2020,adress2020,enc,20,lo-t5-7,0.7851742274819199,0.7843523997370152,0.0008218277449046907,False,0.7868229166666667,0.784375,0.0882390047643646,0.0898059250086912
adress2020,adress2020,enc,21,lo-t5-7,0.8124589086127548,0.8109796186719264,0.0014792899408284654,False,0.81546875,0.8113541666666668,0.0771599422241086,0.0799199360645112
adress2020,adress2020,enc,22,lo-t5-7,0.8025969756738988,0.8034188034188033,0.0008218277449045797,False,0.7977604166666666,0.7953645833333333,0.0945090222949052,0.0930296981591541
adress2020,adress2020,enc,23,lo-t5-7,0.7838593030900723,0.7867357001972386,0.002876397107166251,False,0.7798437500000001,0.7822395833333333,0.0907224691366477,0.0896100372020964
adress2020,adress2020,enc,24,lo-t5-7,0.8024326101249177,0.8048980933596318,0.002465483234714072,False,0.7927083333333333,0.7968229166666667,0.0989396912265244,0.0992179161163558
adress2020,adress2020,enc,25,lo-t5-7,0.8247863247863249,0.8254437869822485,0.0006574621959236637,False,0.8163020833333334,0.8163020833333334,0.1063749775590784,0.1086038789241025
adress2020,adress2020,enc,26,lo-t5-7,0.8099934253780408,0.8101577909270217,0.00016436554898091593,False,0.795,0.79421875,0.1022456193030619,0.1033069207675469
adress2020,adress2020,enc,27,lo-t5-7,0.8190335305719921,0.8183760683760684,0.0006574621959237748,False,0.8104687500000001,0.8087500000000001,0.0911134466269935,0.0924248944338651
