id	what	value	n	file	closes	note
T5_pitt_enc_pod10_maxabs	pitt enc curve: max |refit auc_oof - saved auc_oof| over 32 layers, pod refit (exact curves_from_states.py, AMD EPYC 9654 96-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	0	32	scores/leftovers_23sep/t5/lo-t5-10/pitt_encproj_encoder_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_pitt_enc_pod10_match4dp	pitt enc curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	32/32	32	scores/leftovers_23sep/t5/lo-t5-10/pitt_encproj_encoder_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_pitt_enc_pod10_meanstd_match4dp	pitt enc curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	32/32 and 32/32	32	scores/leftovers_23sep/t5/lo-t5-10/pitt_encproj_encoder_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_pitt_enc_pod10_layers_above	pitt encoder layers above the zero-shot answer 0.6578: refit curve vs saved curve	31/32 vs 31/32	32	scores/leftovers_23sep/t5/lo-t5-10/pitt_encproj_encoder_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_pitt_proj_pod10_maxabs	pitt proj curve: max |refit auc_oof - saved auc_oof| over 1 layers, pod refit (exact curves_from_states.py, AMD EPYC 9654 96-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	0	1	scores/leftovers_23sep/t5/lo-t5-10/pitt_encproj_proj_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_pitt_proj_pod10_match4dp	pitt proj curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	1/1	1	scores/leftovers_23sep/t5/lo-t5-10/pitt_encproj_proj_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_pitt_proj_pod10_meanstd_match4dp	pitt proj curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	1/1 and 1/1	1	scores/leftovers_23sep/t5/lo-t5-10/pitt_encproj_proj_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_pitt_llm_pod2_maxabs	pitt llm curve: max |refit auc_oof - saved auc_oof| over 29 layers, pod refit (exact curves_from_states.py, AMD EPYC 9754 128-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	0	29	scores/leftovers_23sep/t5/lo-t5-2/pitt_llm_llm_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_pitt_llm_pod2_match4dp	pitt llm curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	29/29	29	scores/leftovers_23sep/t5/lo-t5-2/pitt_llm_llm_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_pitt_llm_pod2_meanstd_match4dp	pitt llm curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	29/29 and 29/29	29	scores/leftovers_23sep/t5/lo-t5-2/pitt_llm_llm_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
