path,speaker,pid
/workspace/edaicfull/cut/300.wav,300,300
/workspace/edaicfull/cut/301.wav,301,301
/workspace/edaicfull/cut/302.wav,302,302
/workspace/edaicfull/cut/303.wav,303,303
/workspace/edaicfull/cut/304.wav,304,304
/workspace/edaicfull/cut/305.wav,305,305
/workspace/edaicfull/cut/306.wav,306,306
/workspace/edaicfull/cut/307.wav,307,307
/workspace/edaicfull/cut/308.wav,308,308
/workspace/edaicfull/cut/309.wav,309,309
/workspace/edaicfull/cut/310.wav,310,310
/workspace/edaicfull/cut/311.wav,311,311
/workspace/edaicfull/cut/312.wav,312,312
/workspace/edaicfull/cut/313.wav,313,313
/workspace/edaicfull/cut/314.wav,314,314
/workspace/edaicfull/cut/315.wav,315,315
/workspace/edaicfull/cut/316.wav,316,316
/workspace/edaicfull/cut/317.wav,317,317
/workspace/edaicfull/cut/318.wav,318,318
/workspace/edaicfull/cut/319.wav,319,319
/workspace/edaicfull/cut/320.wav,320,320
/workspace/edaicfull/cut/321.wav,321,321
/workspace/edaicfull/cut/322.wav,322,322
/workspace/edaicfull/cut/323.wav,323,323
/workspace/edaicfull/cut/324.wav,324,324
/workspace/edaicfull/cut/325.wav,325,325
/workspace/edaicfull/cut/326.wav,326,326
/workspace/edaicfull/cut/327.wav,327,327
/workspace/edaicfull/cut/328.wav,328,328
/workspace/edaicfull/cut/329.wav,329,329
/workspace/edaicfull/cut/330.wav,330,330
/workspace/edaicfull/cut/331.wav,331,331
/workspace/edaicfull/cut/332.wav,332,332
/workspace/edaicfull/cut/333.wav,333,333
/workspace/edaicfull/cut/334.wav,334,334
/workspace/edaicfull/cut/335.wav,335,335
/workspace/edaicfull/cut/336.wav,336,336
/workspace/edaicfull/cut/337.wav,337,337
/workspace/edaicfull/cut/338.wav,338,338
/workspace/edaicfull/cut/339.wav,339,339
/workspace/edaicfull/cut/340.wav,340,340
/workspace/edaicfull/cut/341.wav,341,341
/workspace/edaicfull/cut/343.wav,343,343
/workspace/edaicfull/cut/344.wav,344,344
/workspace/edaicfull/cut/345.wav,345,345
/workspace/edaicfull/cut/346.wav,346,346
/workspace/edaicfull/cut/347.wav,347,347
/workspace/edaicfull/cut/348.wav,348,348
/workspace/edaicfull/cut/349.wav,349,349
/workspace/edaicfull/cut/350.wav,350,350
/workspace/edaicfull/cut/351.wav,351,351
