model	dataset	condition	probe_mean5	per_repeat	answer	gap	lo	hi	interval	n	n_pos	n_speakers	usable_draws	status	perclip	draws	sidecar	zeroshot
Qwen2-Audio	PC-GITA	PD	0.9097	0.9240 0.9000 0.9011 0.9041 0.9191	0.5369	+0.3727	+0.3102	+0.4271	above 0	1100	550	100	2000	VERIFIED	scores/part26/Qwen2-Audio_PC-GITA/Qwen2-Audio_PC-GITA_perclip.csv	scores/part26/Qwen2-Audio_PC-GITA/draws/Qwen2-Audio_PC-GITA_draws.npz	scores/part26/Qwen2-Audio_PC-GITA/Qwen2-Audio_PC-GITA_perclip.sidecar.json	<local data dir>/paper1_local_runs/probe2/pcgita_zeroshot_scores.csv
Qwen2-Audio	NeuroVoz	PD	0.9324	0.9310 0.9296 0.9283 0.9386 0.9346	0.5519	+0.3805	+0.3278	+0.4325	above 0	1270	621	107	2000	VERIFIED	scores/part26/Qwen2-Audio_NeuroVoz/per_clip/p26_q2a_neurovoz_perclip.csv	scores/part26/Qwen2-Audio_NeuroVoz/draws/p26_q2a_neurovoz_draws.npz	scores/part26/Qwen2-Audio_NeuroVoz/per_clip/p26_q2a_neurovoz_perclip.sidecar.json	<local data dir>/paper1_local_runs/probe2/neurovoz_zeroshot_scores.csv
Qwen2-Audio	MDVR-KCL	PD	0.7714	0.8065 0.8095 0.6786 0.7679 0.7946	0.5923	+0.1792	-0.0503	+0.4305	covers 0	37	16	37	2000	VERIFIED	scores/part26/Qwen2-Audio_MDVR-KCL/Q2A_kcl_perclip.csv	scores/part26/Qwen2-Audio_MDVR-KCL/Q2A_kcl_draws.npz	scores/part26/Qwen2-Audio_MDVR-KCL/Q2A_kcl_perclip.sidecar.json	<local data dir>/paper1_local_runs/probe2/kcl_zeroshot_scores.csv
Qwen2-Audio	E-DAIC	MDD	0.5673	0.5130 0.6021 0.5555 0.5558 0.6098	0.6464	-0.0791	-0.1664	+0.0120	covers 0	275	66	275	2000	VERIFIED	scores/part26/Qwen2-Audio_E-DAIC/Qwen2-Audio_E-DAIC_perclip.csv	scores/part26/Qwen2-Audio_E-DAIC/Qwen2-Audio_E-DAIC_draws.npz	scores/part26/Qwen2-Audio_E-DAIC/Qwen2-Audio_E-DAIC_perclip.sidecar.json	<local data dir>/paper1_local_runs/probe2/edaic_zeroshot_scores.csv
Qwen2-Audio	Pitt	AD	0.7847	0.7687 0.7886 0.7695 0.8085 0.7883	0.6173	+0.1674	+0.0945	+0.2433	above 0	468	290	228	2000	VERIFIED	scores/part26/Qwen2-Audio_Pitt/per_clip/q2a_pitt_perclip.csv	scores/part26/Qwen2-Audio_Pitt/draws/q2a_pitt_draws.npz	scores/part26/Qwen2-Audio_Pitt/per_clip/q2a_pitt_perclip.sidecar.json	<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv
Qwen2-Audio	ADReSSo	AD	0.8537	0.8629 0.8388 0.8548 0.8546 0.8572	0.6649	+0.1888	+0.1154	+0.2682	above 0	237	122	237	2000	VERIFIED	scores/part26/Qwen2-Audio_ADReSSo/per_clip/Qwen2-Audio_ADReSSo_perclip.csv	scores/part26/Qwen2-Audio_ADReSSo/draws/Qwen2-Audio_ADReSSo_draws.npz	scores/part26/Qwen2-Audio_ADReSSo/per_clip/Qwen2-Audio_ADReSSo_perclip.sidecar.json	<local data dir>/paper1_local_runs/probe2/adresso_zeroshot_scores.csv
Qwen2-Audio	ADReSS-2020	AD	0.8315	0.8149 0.8200 0.8284 0.8659 0.8284	0.6824	+0.1491	+0.0640	+0.2368	above 0	156	78	156	2000	VERIFIED	scores/part26/Qwen2-Audio_ADReSS-2020/Qwen2-Audio_ADReSS-2020_perclip.csv	scores/part26/Qwen2-Audio_ADReSS-2020/Qwen2-Audio_ADReSS-2020_draws.npz	scores/part26/Qwen2-Audio_ADReSS-2020/Qwen2-Audio_ADReSS-2020.sidecar.json	<local data dir>/paper1_local_runs/probe2/adress2020_zeroshot_scores.csv
Qwen3-Omni-30B-A3B	PC-GITA	PD	0.8969	0.9223 0.8697 0.8742 0.8988 0.9196	0.5967	+0.3002	+0.2298	+0.3695	above 0	1100	550	100	2000	VERIFIED	scores/part26/Qwen3-Omni-30B-A3B_PC-GITA/q3o_pcgita_perclip.csv	scores/part26/Qwen3-Omni-30B-A3B_PC-GITA/q3o_pcgita_draws.npz	scores/part26/Qwen3-Omni-30B-A3B_PC-GITA/q3o_pcgita_perclip.sidecar.json	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv
Qwen3-Omni-30B-A3B	NeuroVoz	PD	0.9372	0.9329 0.9370 0.9414 0.9371 0.9377	0.6393	+0.2980	+0.2360	+0.3578	above 0	1270	621	107	2000	VERIFIED	scores/part26/Qwen3-Omni-30B-A3B_NeuroVoz/per_clip/Qwen3-Omni-30B-A3B_NeuroVoz_perclip.csv	scores/part26/Qwen3-Omni-30B-A3B_NeuroVoz/draws/Qwen3-Omni-30B-A3B_NeuroVoz_draws.npz	scores/part26/Qwen3-Omni-30B-A3B_NeuroVoz/per_clip/Qwen3-Omni-30B-A3B_NeuroVoz_perclip.sidecar.json	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_zeroshot_scores.csv
Qwen3-Omni-30B-A3B	MDVR-KCL	PD	0.7661	0.7946 0.8512 0.6815 0.7351 0.7679	0.7738	-0.0077	-0.1618	+0.1385	covers 0	37	16	37	2000	VERIFIED	scores/part26/Qwen3-Omni-30B-A3B_MDVR-KCL/per_clip/p26_q3o_kcl_perclip.csv	scores/part26/Qwen3-Omni-30B-A3B_MDVR-KCL/draws/p26_q3o_kcl_draws.npz	scores/part26/Qwen3-Omni-30B-A3B_MDVR-KCL/per_clip/p26_q3o_kcl_perclip.sidecar.json	<local data dir>/release/overnight2/q3o_new/q3o_kcl_zeroshot_scores.csv
