M11fix_B_xsys_disagree_mean_PD                          0.3049 rule[0.1301, 0.4944] n=16 | all37[0.1157, 0.5115] | old 0.1301,0.4944 n=37 | old=rule True old=all37 False
M11fix_B_xsys_disagree_mean_control                     0.4779 rule[0.0917, 1.1479] n=21 | all37[0.0814, 1.1692] | old 0.0917,1.1479 n=37 | old=rule True old=all37 False
M11fix_B_xsys_disagree_diff_PD_minus_control           -0.1730 rule[-0.8969, 0.3060] n=37 | all37[-0.8969, 0.3060] | old -0.8969,0.306 n=37 | old=rule True old=all37 True
M11fix_C_mean_token_logprob_mean_PD                    -0.1103 rule[-0.1502, -0.0739] n=16 | all37[-0.1506, -0.0730] | old -0.1502,-0.0739 n=37 | old=rule True old=all37 False
M11fix_C_mean_token_logprob_mean_control               -0.1356 rule[-0.2345, -0.0759] n=21 | all37[-0.2325, -0.0753] | old -0.2345,-0.0759 n=37 | old=rule True old=all37 False
M11fix_C_mean_token_logprob_diff_PD_minus_control       0.0253 rule[-0.0532, 0.1288] n=37 | all37[-0.0532, 0.1288] | old -0.0532,0.1288 n=37 | old=rule True old=all37 True
M11fix_C_compression_ratio_mean_PD                      1.5938 rule[1.4484, 1.7269] n=16 | all37[1.4471, 1.7433] | old 1.4484,1.7269 n=37 | old=rule True old=all37 False
M11fix_C_compression_ratio_mean_control                 1.4898 rule[1.3076, 1.6417] n=21 | all37[1.3121, 1.6422] | old 1.3076,1.6417 n=37 | old=rule True old=all37 False
M11fix_C_compression_ratio_diff_PD_minus_control        0.1040 rule[-0.1036, 0.3400] n=37 | all37[-0.1036, 0.3400] | old -0.1036,0.34 n=37 | old=rule True old=all37 True
M11fix_D_n_words_30s_mean_PD                           59.1875 rule[46.1875, 71.9375] n=16 | all37[46.1426, 73.5385] | old 46.1875,71.9375 n=37 | old=rule True old=all37 False
M11fix_D_n_words_30s_mean_control                      55.8095 rule[43.0464, 67.6202] n=21 | all37[43.0521, 67.6530] | old 43.0464,67.6202 n=37 | old=rule True old=all37 False
M11fix_D_n_words_30s_diff_PD_minus_control              3.3780 rule[-13.8212, 22.5698] n=37 | all37[-13.8212, 22.5698] | old -13.8212,22.5698 n=37 | old=rule True old=all37 True
M11fix_F_wer_vs_local_copy_mean_PD                      0.3123 rule[0.1974, 0.4388] n=16 | all37[0.1943, 0.4487] | old 0.1974,0.4388 n=37 | old=rule True old=all37 False
M11fix_F_wer_vs_local_copy_mean_control                 0.3987 rule[0.2558, 0.5577] n=21 | all37[0.2578, 0.5627] | old 0.2558,0.5577 n=37 | old=rule True old=all37 False
M11fix_F_wer_vs_local_copy_diff_PD_minus_control       -0.0863 rule[-0.2851, 0.1047] n=37 | all37[-0.2851, 0.1047] | old None,None n=None | old=rule False old=all37 False
M11fix_B_xsys_disagree_MEDIAN_PD                        0.1027 rule[0.0323, 0.3617] n=16 | all37[0.0323, 0.4799] | old 0.0323,0.4799 n=16 | old=rule False old=all37 True
M11fix_B_xsys_disagree_MEDIAN_control                   0.0333 rule[0.0000, 0.1341] n=21 | all37[0.0000, 0.2088] | old 0.0,0.2088 n=21 | old=rule False old=all37 True
M11fix_B_xsys_disagree_MEDIAN_diff_PD_minus_control     0.0694 rule[-0.1008, 0.4112] n=37 | all37[-0.1008, 0.4112] | old None,None n=37 | old=rule False old=all37 False
M11fix_B_xsys_disagree_ge20w_MEAN_PD                    0.2100 rule[0.0671, 0.3837] n=14 | all37[0.0645, 0.3906] | old 0.0645,0.3906 n=14 | old=rule False old=all37 True
M11fix_B_xsys_disagree_ge20w_MEAN_control               0.1506 rule[0.0562, 0.2684] n=17 | all37[0.0481, 0.2765] | old 0.0481,0.2765 n=17 | old=rule False old=all37 True
M11fix_B_xsys_disagree_ge20w_MEAN_diff_PD_minus_control    0.0594 rule[-0.1355, 0.2708] n=31 | all37[-0.1338, 0.2707] | old None,None n=37 | old=rule False old=all37 False
M11fix_B_xsys_disagree_POOLED_PD                        0.2650 rule[0.0782, 0.4778] n=16 | all37[0.0729, 0.4944] | old 0.0729,0.4944 n=16 | old=rule False old=all37 True
M11fix_B_xsys_disagree_POOLED_control                   0.1800 rule[0.0620, 0.3636] n=21 | all37[0.0595, 0.3764] | old 0.0595,0.3764 n=21 | old=rule False old=all37 True
M11fix_B_xsys_disagree_POOLED_diff_PD_minus_control     0.0850 rule[-0.1870, 0.3488] n=37 | all37[-0.1870, 0.3488] | old None,None n=None | old=rule False old=all37 False
wrote scores/leftovers_23sep/m7m11/m11_group_intervals.csv
