id	what	value	lo	hi	n	n_spk	file
POD4_4b_resolved	Pitt 468 windows resolvable to CHAT timings	468	NA	NA	468	228	scores/part16/POD4/cha_overlap_468.csv
POD4_4b_invwin	Pitt windows containing timed INV speech in the heard 30s	158	NA	NA	468	228	scores/part16/POD4/cha_overlap_468.csv
POD4_4b_invshare	mean INV share of the heard 30s window	0.0200	NA	NA	468	228	scores/part16/POD4/cha_overlap_468.csv
POD4_4b_parshare	mean PAR share of the heard 30s window	0.5871	NA	NA	468	228	scores/part16/POD4/cha_overlap_468.csv
POD4_4b_pardur	mean participant-only duration after re-cut (s)	17.61	NA	NA	468	228	scores/part16/POD4/cut_report.json
POD4_4b_under10s	re-cut windows with under 10s of participant speech	68	NA	NA	468	228	scores/part16/POD4/cut_report.json
POD4_4b_pub_zs	Pitt published Omni zero-shot AUC, recomputed rank formula	0.6578	0.6033	0.7125	468	228	<local data dir>/Desktop/release/omni_final/omni_pitt_zeroshot_scores.csv
POD4_4b_pub_enc	Pitt published Omni encoder probe AUC, recomputed rank formula	0.7969	0.7412	0.8512	468	228	<local data dir>/Desktop/release/omni_final/omni_pitt_enc_nested_oof.csv
POD4_4b_A_zs	Pitt arm A original cut, Omni zero-shot AUC	0.6497	0.5959	0.7056	468	228	scores/part16/POD4/p16_pitt_orig_zeroshot_scores.csv
POD4_4b_A_enc	Pitt arm A original cut, Omni encoder nested probe AUC	0.7949	0.7431	0.8446	468	228	scores/part16/POD4/p16_pitt_orig_enc_nested_oof.csv
POD4_4b_B_zs	Pitt arm B interviewer removed PAR-only, Omni zero-shot AUC	0.7230	0.6664	0.7753	468	228	scores/part16/POD4/p16_pitt_paronly_zeroshot_scores.csv
POD4_4b_B_enc	Pitt arm B interviewer removed PAR-only, Omni encoder nested probe AUC	0.7497	0.6940	0.8035	468	228	scores/part16/POD4/p16_pitt_paronly_enc_nested_oof.csv
POD4_4b_C_zs	Pitt arm C duration-matched WITH interviewer, Omni zero-shot AUC	0.6145	0.5582	0.6683	468	228	scores/part16/POD4/p16_pitt_durmatch_zeroshot_scores.csv
POD4_4b_C_enc	Pitt arm C duration-matched WITH interviewer, Omni encoder nested probe AUC	0.7980	0.7448	0.8489	468	228	scores/part16/POD4/p16_pitt_durmatch_enc_nested_oof.csv
POD4_4b_pd_zs_AB	PAIRED zero-shot delta, original cut to interviewer removed	+0.0732	+0.0312	+0.1165	468	228	scores/part16/POD4/boot4b.json
POD4_4b_pd_zs_CB	PAIRED zero-shot delta, duration-matched WITH interviewer to interviewer removed	+0.1084	+0.0638	+0.1550	468	228	scores/part16/POD4/boot4b.json
POD4_4b_pd_enc_AB	PAIRED encoder probe delta, original cut to interviewer removed	-0.0452	-0.0857	-0.0083	468	228	scores/part16/POD4/boot4b.json
POD4_4b_pd_enc_CB	PAIRED encoder probe delta, duration-matched WITH interviewer to interviewer removed	-0.0483	-0.0907	-0.0062	468	228	scores/part16/POD4/boot4b.json
POD4_4b_pd_zs_AC	PAIRED zero-shot delta, duration control only 30s to 17.6s both WITH interviewer	-0.0352	-0.0729	-0.0001	468	228	scores/part16/POD4/boot4b.json
POD4_4b_pd_enc_AC	PAIRED encoder probe delta, duration control only 30s to 17.6s both WITH interviewer	+0.0032	-0.0367	+0.0394	468	228	scores/part16/POD4/boot4b.json
POD4_4b_B_zs_conf	Pitt arm B zero-shot AUC, conflict arm	0.5408	0.4245	0.6622	146	100	scores/part16/POD4/p16_pitt_paronly_zeroshot_scores.csv
POD4_4b_B_enc_conf	Pitt arm B encoder probe AUC, conflict arm	0.6295	0.5111	0.7345	146	100	scores/part16/POD4/p16_pitt_paronly_enc_nested_oof.csv
POD4_4b_B_zs_agr	Pitt arm B zero-shot AUC, agreement arm	0.8007	0.7500	0.8501	322	175	scores/part16/POD4/p16_pitt_paronly_zeroshot_scores.csv
POD4_4b_B_enc_agr	Pitt arm B encoder probe AUC, agreement arm	0.8037	0.7452	0.8539	322	175	scores/part16/POD4/p16_pitt_paronly_enc_nested_oof.csv
POD4_4b_A_zs_conf	Pitt arm A zero-shot AUC, conflict arm	0.5298	0.4189	0.6386	146	100	scores/part16/POD4/p16_pitt_orig_zeroshot_scores.csv
POD4_4b_A_enc_conf	Pitt arm A encoder probe AUC, conflict arm	0.6161	0.5060	0.7281	146	100	scores/part16/POD4/p16_pitt_orig_enc_nested_oof.csv
POD4_4b_A_zs_agr	Pitt arm A zero-shot AUC, agreement arm	0.6952	0.6327	0.7560	322	175	scores/part16/POD4/p16_pitt_orig_zeroshot_scores.csv
POD4_4b_A_enc_agr	Pitt arm A encoder probe AUC, agreement arm	0.8674	0.8201	0.9096	322	175	scores/part16/POD4/p16_pitt_orig_enc_nested_oof.csv
POD4_4a_nv_5f_before	NeuroVoz five quiet-frame channel features together, GroupKFold5-by-speaker probe AUC, BEFORE	0.7977	0.7248	0.8611	1270	107	scores/part16/POD4/channel_norm_neurovoz.csv
POD4_4a_nv_5f_after	NeuroVoz five channel features together, AFTER -23 LUFS + shaped noise	0.6025	0.5479	0.6580	1270	107	scores/part16/POD4/channel_norm_neurovoz.csv
POD4_4a_nv_accept	NeuroVoz acceptance test five-feature AUC below 0.60 after normalisation	FAILED_0.6025	NA	NA	1270	107	scores/part16/POD4/featprobe_nv.json
POD4_4a_nv_nf_before	NeuroVoz noise floor alone, direction-free AUC, BEFORE	0.5410	0.4731	0.6049	1270	107	scores/part16/POD4/channel_norm_neurovoz.csv
POD4_4a_nv_nf_after	NeuroVoz noise floor alone, direction-free AUC, AFTER	0.5407	0.4594	0.6191	1270	107	scores/part16/POD4/channel_norm_neurovoz.csv
POD4_4a_nv_snr_before	NeuroVoz SNR alone, direction-free AUC, BEFORE	0.5432	0.4640	0.6216	1270	107	scores/part16/POD4/channel_norm_neurovoz.csv
POD4_4a_nv_snr_after	NeuroVoz SNR alone, direction-free AUC, AFTER	0.5305	0.4498	0.6080	1270	107	scores/part16/POD4/channel_norm_neurovoz.csv
POD4_4a_nv_cen_before	NeuroVoz spectral centroid alone, direction-free AUC, BEFORE	0.7782	0.7109	0.8396	1270	107	scores/part16/POD4/channel_norm_neurovoz.csv
POD4_4a_nv_cen_after	NeuroVoz spectral centroid alone, direction-free AUC, AFTER	0.5603	0.5051	0.6188	1270	107	scores/part16/POD4/channel_norm_neurovoz.csv
POD4_4a_nv_ro_before	NeuroVoz spectral roll-off alone, direction-free AUC, BEFORE	0.8005	0.7370	0.8574	1270	107	scores/part16/POD4/channel_norm_neurovoz.csv
POD4_4a_nv_ro_after	NeuroVoz spectral roll-off alone, direction-free AUC, AFTER	0.5938	0.5438	0.6448	1270	107	scores/part16/POD4/channel_norm_neurovoz.csv
POD4_4a_nv_tilt_before	NeuroVoz spectral tilt alone, direction-free AUC, BEFORE	0.7020	0.6451	0.7552	1270	107	scores/part16/POD4/channel_norm_neurovoz.csv
POD4_4a_nv_tilt_after	NeuroVoz spectral tilt alone, direction-free AUC, AFTER	0.5808	0.5369	0.6259	1270	107	scores/part16/POD4/channel_norm_neurovoz.csv
POD4_4a_nv_zs_before	NeuroVoz Omni zero-shot AUC, BEFORE normalisation, POD4 re-run	0.7108	0.6523	0.7671	1270	107	scores/part16/POD4/p16_nv_before_zeroshot_scores.csv
POD4_4a_nv_enc_before	NeuroVoz Omni encoder nested probe AUC, BEFORE normalisation	0.9233	0.8800	0.9573	1270	107	scores/part16/POD4/p16_nv_before_enc_nested_oof.csv
POD4_4a_pg_5f_before	PC-GITA five quiet-frame channel features together, GroupKFold5-by-speaker probe AUC, BEFORE	0.6657	0.5851	0.7452	1100	100	scores/part16/POD4/channel_norm_pcgita.csv
POD4_4a_pg_5f_after	PC-GITA five channel features together, AFTER -23 LUFS + shaped noise	0.5590	0.4922	0.6213	1100	100	scores/part16/POD4/channel_norm_pcgita.csv
POD4_4a_pg_accept	PC-GITA acceptance test five-feature AUC below 0.60 after normalisation	PASSED_0.5590	NA	NA	1100	100	scores/part16/POD4/featprobe_pg.json
POD4_4a_pg_nf_before	PC-GITA noise floor alone, direction-free AUC, BEFORE	0.6627	0.5885	0.7362	1100	100	scores/part16/POD4/channel_norm_pcgita.csv
POD4_4a_pg_nf_after	PC-GITA noise floor alone, direction-free AUC, AFTER	0.5734	0.5113	0.6341	1100	100	scores/part16/POD4/channel_norm_pcgita.csv
POD4_4a_pg_snr_before	PC-GITA SNR alone, direction-free AUC, BEFORE	0.5873	0.5261	0.6464	1100	100	scores/part16/POD4/channel_norm_pcgita.csv
POD4_4a_pg_snr_after	PC-GITA SNR alone, direction-free AUC, AFTER	0.5735	0.5158	0.6286	1100	100	scores/part16/POD4/channel_norm_pcgita.csv
POD4_4a_pg_cen_before	PC-GITA spectral centroid alone, direction-free AUC, BEFORE	0.5539	0.4997	0.6104	1100	100	scores/part16/POD4/channel_norm_pcgita.csv
POD4_4a_pg_cen_after	PC-GITA spectral centroid alone, direction-free AUC, AFTER	0.5591	0.5029	0.6136	1100	100	scores/part16/POD4/channel_norm_pcgita.csv
POD4_4a_pg_ro_before	PC-GITA spectral roll-off alone, direction-free AUC, BEFORE	0.5533	0.5000	0.6081	1100	100	scores/part16/POD4/channel_norm_pcgita.csv
POD4_4a_pg_ro_after	PC-GITA spectral roll-off alone, direction-free AUC, AFTER	0.5657	0.5102	0.6189	1100	100	scores/part16/POD4/channel_norm_pcgita.csv
POD4_4a_pg_tilt_before	PC-GITA spectral tilt alone, direction-free AUC, BEFORE	0.5610	0.5048	0.6194	1100	100	scores/part16/POD4/channel_norm_pcgita.csv
POD4_4a_pg_tilt_after	PC-GITA spectral tilt alone, direction-free AUC, AFTER	0.5526	0.4987	0.6030	1100	100	scores/part16/POD4/channel_norm_pcgita.csv
