id	what	value	lo	hi	n	n_spk	file
M9.AudioFlamingo2.adress2020.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9676	0.9664	0.9689	156	156	<local data dir>/paper1_local_runs/af2_results/af2_adress2020.csv
M9.AudioFlamingo2.adresso.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9614	0.9607	0.9628	237	237	<local data dir>/paper1_local_runs/af2_results/af2_adresso237.csv
M9.AudioFlamingo2.edaic.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9392	0.9383	0.9407	275	275	<local data dir>/paper1_local_runs/af2_results/af2_edaic275.csv
M9.AudioFlamingo2.edaic_conflict.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9453	0.9437	0.9479	390	74	<local data dir>/Desktop/release/edaic_conflict_new/af2/af2_edaic_conflict_30s.csv
M9.AudioFlamingo2.edaic_conflict_v2.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9423	0.9409	0.9434	966	138	scores/edaic_conflict_v2/p14_af2.csv
M9.AudioFlamingo2.kcl.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9304	0.9285	0.9341	37	37	<local data dir>/paper1_local_runs/af2_results/af2_kcl37.csv
M9.AudioFlamingo2.neurovoz.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9412	0.9398	0.9427	1270	107	<local data dir>/paper1_local_runs/af2_results/af2_neurovoz1270.csv
M9.AudioFlamingo2.pcgita.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9400	0.9390	0.9413	1100	100	<local data dir>/paper1_local_runs/af2_results/af2_pcgita1100.csv
M9.AudioFlamingo2.pitt.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9626	0.9614	0.9639	468	228	<local data dir>/paper1_local_runs/af2_results/af2_pitt468.csv
M9.AudioFlamingo3.adress2020.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9457	0.9415	0.9477	156	156	<local data dir>/Desktop/release/overnight2/af3_new/af3_adress2020.csv
M9.AudioFlamingo3.adresso.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9579	0.9541	0.9614	237	237	<local data dir>/Desktop/release/overnight2/af3_new/af3_adresso.csv
M9.AudioFlamingo3.edaic.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9272	0.9226	0.9328	275	275	<local data dir>/Desktop/release/overnight2/part10/af3_edaic.csv
M9.AudioFlamingo3.edaic_conflict.zero_shot_answer	median answer mass P(Yes)+P(No)	0.9332	0.9239	0.9435	390	74	<local data dir>/Desktop/release/edaic_conflict_new/af3_edaic_conflict.csv
