,tx_max_end,tar_audio_s,over,dcaps_proc_s
300,648.3,648.5,-0.20000000000004547,759.800125
301,822.9,823.9,-1.0,1321.6999375
302,756.4,758.8,-2.3999999999999773,974.3
303,983.0,985.3,-2.2999999999999545,1601.7
304,786.4,792.6,-6.2000000000000455,1142.6999375
305,1703.9,1704.0,-0.09999999999990905,2847.4000625
306,853.2,858.1,-4.899999999999977,619.1
307,1237.4,1238.8,-1.3999999999998636,2207.0999375
308,838.5,867.6,-29.100000000000023,369.4999375
309,697.1,705.8,-8.699999999999932,192.7
310,815.4,844.9,-29.5,297.8
311,763.9,785.6,-21.700000000000045,217.7999375
312,780.6,790.0,-9.399999999999977,340.3999375
313,753.4,753.8,-0.39999999999997726,1021.100125
314,1538.3,1546.7,-8.400000000000091,1098.4999375
315,974.2,975.4,-1.1999999999999318,1492.499875
316,856.8,869.0,-12.200000000000045,226.3
317,767.4,804.9,-37.5,233.9999375
318,546.8,588.4,-41.60000000000002,249.5999375
319,678.0,679.7,-1.7000000000000455,910.9
320,834.3,840.7,-6.400000000000091,249.1
321,810.7,821.9,-11.199999999999932,311.5999375
322,1020.4,1047.1,-26.699999999999932,537.0999375
323,824.3,837.0,-12.700000000000045,417.3000625
324,708.9,721.3,-12.399999999999977,275.7000625
325,847.4,875.0,-27.600000000000023,528.2
326,693.6,699.2,-5.600000000000023,196.3
327,676.2,680.8,-4.599999999999909,951.4000625
328,1058.4,1065.2,-6.7999999999999545,679.2
329,677.8,706.3,-28.5,365.4
330,715.3,771.5,-56.200000000000045,181.6
331,834.9,850.7,-15.800000000000068,447.8
332,873.9,874.1,-0.20000000000004547,1242.3999375
333,968.9,969.3,-0.39999999999997726,1403.4999375
334,979.5,980.0,-0.5,1445.0
335,807.5,830.1,-22.600000000000023,452.700125
336,937.4,944.5,-7.100000000000023,379.1
337,1844.4,1871.2,-26.799999999999955,1404.5000625
338,569.7,596.8,-27.09999999999991,287.8
339,832.7,862.9,-30.199999999999932,443.5
340,590.8,599.3,-8.5,204.299875
341,860.8,867.5,-6.7000000000000455,418.6000625
343,891.6,927.3,-35.69999999999993,272.6999375
344,1088.5,1090.5,-2.0,1745.3
345,791.2,793.9,-2.699999999999932,1314.0
346,1198.1,1221.8,-23.700000000000045,699.4999375
347,567.4,611.6,-44.200000000000045,145.1
348,691.7,719.4,-27.699999999999932,328.0999375
349,1179.3,1216.0,-36.700000000000045,503.0
350,880.8,881.8,-1.0,1352.1000625
351,759.8,769.6,-9.800000000000068,1167.8
352,760.0,760.1,-0.10000000000002274,1273.2000625
