file,sr,nch,sw,nframes,sha256
agreement_301_a000030.wav,16000,1,2,422400,d24457c05785e23e3dbf59b8d9a105a5bd147fc900aee45ddf8315867ba28281
agreement_307_a000167.wav,16000,1,2,294400,9cb9c8b4d69b109d519c1bd8f3ff4fdd73f50844baab27b67c19be6b719d4654
agreement_392_a002117.wav,16000,1,2,457600,2e2843a1ad23d9c45ae26ecdeaefca2d72a5953f1f8fc71b8a1fa775572483af
agreement_430_a002978.wav,16000,1,2,776000,c3db67bb9fd195eb1fef400d6e998ea54858574798771722bab20721723b213c
agreement_463_a003717.wav,16000,1,2,283200,2080faac6a76171e2b258842c3e3da22ab8eef4a9b76e62f37c458907003956a
agreement_477_a004011.wav,16000,1,2,534400,b1351b26fb3771c5738343d596eb8657d1003d3459c1c045c85401ec17a17596
agreement_625_a004772.wav,48000,1,2,1022400,d24abc6f1ce6b02a4f6463c42d6c2b76ccf876d8f5eec669d0dfc7616ff7ca70
agreement_650_a005139.wav,16000,1,2,712000,7a11f31774e8037c1668582ddb3eb38bf9d0699249fa689fd0645d8395389c67
agreement_661_a005354.wav,48000,1,2,1651200,bd0b47fa100637c6f00c8b7d209181055ad4aedb9d425468ebe8f1a8ab1c62d8
agreement_718_a006210.wav,16000,1,2,294400,17b1b64f88da583599a131d3ad12d40edd358d956d46788323739615d523bb7e
conflict_303_c000064.wav,16000,1,2,267200,3f45959836fa9bcd8f63adf4af9420a3e4d803d3407d6795af8094d1a1430f7d
conflict_308_c000181.wav,16000,1,2,336000,8feddab71754f267489bf02e3a1a721f9c270b56fa7144e1abee180b61354b99
conflict_315_c000333.wav,16000,1,2,542400,2f4cfb11932934d91c1a9e40dd25267d601d2020cad4221a2d38363710f82031
conflict_362_c001260.wav,16000,1,2,1264000,09de41ac788dd715291e714f3296d449f6cd52669fcdaa4b3ec8a332908f76f4
conflict_381_c001894.wav,16000,1,2,454400,2745d6fc2018f69478d3d734c01362df2822b81791020025e04f25f7efe5ea71
conflict_404_c002331.wav,16000,1,2,532800,552952f5cd6cf60bce0a5a1a45671855dc892ccfa95dc35f08a605081fa0bf9e
conflict_443_c003268.wav,16000,1,2,953600,3e4b48ad7adbc6331a1cb016ac3c2df3f3126057db9c8bd677bab31331e64f38
conflict_468_c003835.wav,16000,1,2,337600,5ebc47aa3b11cfdc0f7cf86a92ef759524c6d3e16515b4f2d464a0aff100754c
conflict_628_c004846.wav,16000,1,2,689600,aa9bfddf579da6c793442b66f1c6885c24227df1c78447114289b002aecd538d
conflict_632_c004919.wav,48000,1,2,950400,e6e85eedb4619e710d9d839062f864726603dae7901d0e39002f8cf177215c8c
