file,sr,nch,sw,nframes,sha256
seg_000001.wav,16000,1,2,750400,fe667db17ed58d819a594e4ddc0517578a98eb8dbb4ecef671c329141dfb0e54
seg_000002.wav,16000,1,2,782400,a8e77e255554efd448603c5d147f35e3c61942a929baae1ea51fd5ed20e46c15
seg_000003.wav,16000,1,2,1344000,c6bd48cb79e04863ad5ee59bf5b2844db3d25a760ae58dc5dacc3431cb7a9577
seg_000004.wav,16000,1,2,688000,bd15776d8ee2c32665fdc969e050681b09a9fe11e14423f9d0f89f1e14dee04f
seg_000005.wav,16000,1,2,702400,cae2516e6e6a9692da7bdd4a13638f6985d952eb023b4cb9f0d33b6f84fa813e
seg_000006.wav,16000,1,2,1488000,1573cf3a4a7113d7dc6a4e6d2df8b5cfdc018061ddbd475a2fe1d58bce76e779
seg_000007.wav,16000,1,2,905600,cd778ff03348bb8cf155e7ff8ccbfe4470ab9115e3c89a546b91d27088c76735
seg_000010.wav,16000,1,2,435200,472793801ff662332ccf5d80617ca64f20073e568b614d06067a8b2ed84a4e8f
seg_000011.wav,16000,1,2,448000,0922907adb3d836e72e7ff40de53aeb7d69863b91642f636c3b9200e1fdda988
seg_000012.wav,16000,1,2,315200,e747b8c7725ea5035504302117e7d34b8fa74951a1392d51b9fc202dd82e9ad5
seg_000013.wav,16000,1,2,276800,837cb7547a01a5db284680dc730ef9d7bbf053e68f5484d161870a61dc1114b2
seg_000014.wav,16000,1,2,382400,131e22700fa28349ee63b86454c548699dfd16203944fad45484fbe8bf7abda7
seg_000015.wav,16000,1,2,587200,6028862843f21ee1a82123426f97986f2919f4830780a0840f1a1e184446898e
seg_000016.wav,16000,1,2,401600,f069246c399658249bbad8a6e7a60ccef2d46ebb5b1fe5b8652f6701bc0b4b53
seg_000017.wav,16000,1,2,187200,76a44e27f0927466b3bc2978ee08ae0eaeff46814b9f8fef231efebded62cbab
seg_000018.wav,16000,1,2,465600,d8708f6ab3df47dad54862102a9d0c34a8978ba0b826cc68a2e7763d05451ba4
seg_000020.wav,16000,1,2,515200,3ac6389667f5e1f891058761e2c3b923403efca9b2d219ce82c2e650a2e9d281
seg_000021.wav,16000,1,2,692800,3e1a18e6ba52a79b33f4918e40d4c607d659e9dbd2b4d531e48e5eeba2477271
seg_000022.wav,16000,1,2,592000,59bbf8312c7ee70a9e269e2f82829e984e2bae0c361ec895e5af77a063782ff2
seg_000023.wav,16000,1,2,299200,1adcd10c5cfd76379f585d630cd5b153fc74ed6a91f73bce9798119dcfba414c
seg_000024.wav,16000,1,2,504000,3f3665c02bd00fbad38a13013bf3d2005219fc9c9bfe35c3f0105b3bd7986d01
seg_000025.wav,16000,1,2,566400,cfb98b1549c8ec61b8cab3a8787d381402d562ab3bd266a1375b58ffd87e22ac
seg_000027.wav,16000,1,2,342400,a172958c28755a16aebf20497fe0c8bee58410901e4c36f2bfc675efa390cf0b
seg_000028.wav,16000,1,2,251200,b71aebe515706591b0b75ca77fe0cb4f6eec5dcd25f6c24f3bbe2c9636d27969
seg_000029.wav,16000,1,2,465600,f7b9058ef957acde54e8b6d86811262ddf09c16c9d463e4bbc4880b4438983e7
seg_000030.wav,16000,1,2,422400,d24457c05785e23e3dbf59b8d9a105a5bd147fc900aee45ddf8315867ba28281
seg_000033.wav,16000,1,2,427200,7039458ff89a75bf03f622db942f178eb4c20f163baa2132cf155cfcdc49b014
seg_000034.wav,16000,1,2,582400,23b85df03de71115d144f7a8c5ab71f6e9269b391c4f99699d86c7b9e3271084
seg_000035.wav,16000,1,2,419200,67ddff6591e8e3655258937b70095e38339756f256452fa3e98ef22db51c784a
seg_000036.wav,16000,1,2,561600,9b134f94d4b743d7577a9b8779051fe4083ae0cbd105b1ecf3af1a6913ece642
seg_000039.wav,16000,1,2,787200,868b4cae6b102488cbcd88ce36ed3fbf55bed17ffe40041aaf68770e2409f37b
seg_000040.wav,16000,1,2,537600,5814b33249bf03e4eaba55c52e5002d982136d6061829e88012bca5c1db9f49f
seg_000043.wav,16000,1,2,804800,070e87f98ea69bccb004a9cea9c86942d69cc4c338ac7ba295c07a9d7e9b6ca4
seg_000045.wav,16000,1,2,692800,773ff0ea782ad69c29530dade025e4fa7a50e741fd3c8eacef53d045cb060c06
seg_000047.wav,16000,1,2,209600,cf1790b94daaa79145cd9d6c490dea985749f5c538b9ea87d169c6df2934797f
seg_000048.wav,16000,1,2,680000,8cb79dd1d0060104f92be3d20396632b964e322111e6b323667f918dc052b189
seg_000049.wav,16000,1,2,323200,577e41895ee0d3f02e4a1faf08a87928f8ebae04ce06f27674cff497916d92a9
seg_000053.wav,16000,1,2,609600,506e17a7141f7087ba966e3626b9d5bd6ad2c7194e9ef130d7c70f50cf2a5bf3
seg_000054.wav,16000,1,2,504000,ebac0acf3308d20e3e7497822f776755b7de69afbb38216b5d3291cde0e76cff
seg_000056.wav,16000,1,2,662400,0d9aa4716240f9d8f22ee788c6962978b5041883f16cc918a4c2dffca3889944
seg_000058.wav,16000,1,2,526400,c208c8d7cf25c62b38852ada9a82152b815f54efa068201d16b4d73e43b3a44b
