id,speaker,arm,p_yes,answer_mass,wav_sha256_1mb,n_samples_scored,prompt
c000001,300,conflict,0.1921150243,0.9956568927,1ae6407b8b72e392da0a5fb0399bd4697709500c289f43e36d2bb3ca75b2c72b,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000010,301,conflict,0.1646126341,0.9973136634,956a9a400ee15d6db2077ab75358d4b804e6518c6ceeeb17f62e94220e7bc4ba,435200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000015,301,conflict,0.2122337299,0.9951077253,0397b11416dc8be605f886a9756503c19602aaa68bf4d508e969cf978fa5a01d,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000021,301,conflict,0.1404365281,0.9945696145,ddb6f32086ba081560f749d326af94a64b75d53766cf8f137ce48c9c777a5464,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000025,301,conflict,0.1404066105,0.9957668334,6facc059475843a52ece9f48de58da75e3d9624fae42e915fb5f5d4a848ad86c,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000040,302,conflict,0.5470537078,0.9950176477,2ddb7286324938af4094b4e2cd19f1c5d10d703d2aec157506a9c45e047bb957,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000062,303,conflict,0.4691247868,0.9958047867,881a7a0534e2240b99a458d5d46d8f5597223177ce5d07b8edcafa3bcc54e42e,259200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000068,303,conflict,0.4380776513,0.9965428114,8bca2cb9cf2efe4f46d7692a8304677f82dd967a54459122f3cfd49c1bd49afc,363200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000148,306,conflict,0.269087766,0.9962471128,cc63eca24f1d70cd97eb22f0a728eb8db8ed283a966098ae0668bcd96df2c3c4,302400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000159,307,conflict,0.3348142817,0.9934453666,0a047ad9799b0362d1b69d83c6993fcc2bfe8065f7bb27bd982cac959215b85f,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000165,307,conflict,0.3631786386,0.996065408,ce82233b671fa3812da371dfa2807a699f7eeadbb17d6310d1790b6fbab861b7,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000173,307,conflict,0.500274421,0.987832129,bcfdc672cc62fbb8d5791ae7e4e8d4d26a2a2765cf5aebe875d0f4d42519f760,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000181,308,conflict,0.1330859902,0.9970047176,5b1755982d6e700f480a17ffc569809657cd97961e686b409fae32c3b5467c85,336000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000197,308,conflict,0.8082042266,0.9980959445,65b3f7600ee4a450a0ef68772e8d6672c1dd2cce97d63e44051688de5a5b142b,324800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
