key,model,dataset,stream,arm,value,lo,hi,n,n_spk,estimator,file,note
hc_pitt_text_runA_all,Qwen2.5-Omni,pitt,transcript,all,0.6975,,,468,228,"text only, Run A (local MPS, file mtime Sep 15), rank AUC recomputed here",<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv,Run A; the Sep 18 bootstrap tables point at this file
hc_pitt_text_runB_all,Qwen2.5-Omni,pitt,transcript,all,0.6629,,,468,228,"text only, Run B (pod /workspace/text_score.py, file mtime Sep 20), rank AUC recomputed here; arms joined from Run A 'set' by id",<local data dir>/release/overnight2/text_new/o25_pitt_text.csv,Run B; master_lookup and table1_omni25.csv cite this run's json (0.6629)
hc_pitt_text_runA_conflict,Qwen2.5-Omni,pitt,transcript,conflict,0.4550,,,146,100,"text only, Run A (local MPS, file mtime Sep 15), rank AUC recomputed here",<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv,Run A; the Sep 18 bootstrap tables point at this file
hc_pitt_text_runB_conflict,Qwen2.5-Omni,pitt,transcript,conflict,0.5560,,,146,100,"text only, Run B (pod /workspace/text_score.py, file mtime Sep 20), rank AUC recomputed here; arms joined from Run A 'set' by id",<local data dir>/release/overnight2/text_new/o25_pitt_text.csv,Run B; master_lookup and table1_omni25.csv cite this run's json (0.6629)
hc_pitt_text_runA_agreement,Qwen2.5-Omni,pitt,transcript,agreement,0.7987,,,322,175,"text only, Run A (local MPS, file mtime Sep 15), rank AUC recomputed here",<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv,Run A; the Sep 18 bootstrap tables point at this file
hc_pitt_text_runB_agreement,Qwen2.5-Omni,pitt,transcript,agreement,0.7078,,,322,175,"text only, Run B (pod /workspace/text_score.py, file mtime Sep 20), rank AUC recomputed here; arms joined from Run A 'set' by id",<local data dir>/release/overnight2/text_new/o25_pitt_text.csv,Run B; master_lookup and table1_omni25.csv cite this run's json (0.6629)
hc_adress2020_text_sep20,Qwen2.5-Omni,adress2020,transcript,all,0.7538,,,156,156,"text only, pod run Sep 20 (o25_adress2020_text.csv), rank AUC recomputed here",<local data dir>/release/overnight2/text_new/o25_adress2020_text.csv,json alongside says auc 0.7538
hc_adress2020_text_sep15,Qwen2.5-Omni,adress2020,transcript,all,0.7909,,,156,156,"text only, local run Sep 15 (omni_adress2020_text.csv), rank AUC recomputed here",<local data dir>/paper work/paper1_local_runs/omni_adress2020_text.csv,older local run; not cited by master_lookup
hc_adress2020_text_sep15_train,Qwen2.5-Omni,adress2020,transcript,train,0.7960,,,108,108,"text only, local run Sep 15, train split only",<local data dir>/paper work/paper1_local_runs/omni_adress2020_text.csv,
hc_adress2020_text_sep15_test,Qwen2.5-Omni,adress2020,transcript,test,0.7795,,,48,48,"text only, local run Sep 15, test split only",<local data dir>/paper work/paper1_local_runs/omni_adress2020_text.csv,
hc_pitt_sft_all,Qwen2.5-Omni,pitt,projector_ft,all,0.7673,,,468,228,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",<local data dir>/release/omni_final/omnisft_pitt_oof.csv,
hc_pitt_sft_conflict,Qwen2.5-Omni,pitt,projector_ft,conflict,0.5189,,,146,100,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",<local data dir>/release/omni_final/omnisft_pitt_oof.csv,
hc_pitt_sft_agreement,Qwen2.5-Omni,pitt,projector_ft,agreement,0.8593,,,322,175,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",<local data dir>/release/omni_final/omnisft_pitt_oof.csv,
