id,what,value,lo,hi,n,n_spk,excludes_zero,usable_draws,file,value_full,lo_full,hi_full
T7b_zeroshot_answer,"Qwen2.5-Omni zero-shot answer AUC, E-DAIC 300 s window",0.8278,0.7703,0.8822,275,275,,2000/2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,0.8277511961722488,0.7702680190413039,0.882162099811676
T7b_llm_meanof5,"LM probe, mean of five per-repeat AUCs [0.6918, 0.7062, 0.6893, 0.7055, 0.7078] (nested GroupKFold(5) x 5 repeats, pod rerun reproduces published), E-DAIC 300 s window",0.7001,0.6231,0.7727,275,275,,2000/2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,0.7001014934029288,0.623078851409801,0.7726592134606488
T7b_llm_meanof5_minus_answer,"LM probe mean of five per-repeat AUCs minus zero-shot answer AUC, paired (one speaker draw per replicate, all five AUCs recomputed), E-DAIC 300 s window",-0.1276,-0.1993,-0.0629,275,275,yes,2000/2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,-0.12764970276931997,-0.19931182925072716,-0.06289344782645095
T7b_enc_meanof5,"encoder probe, mean of five per-repeat AUCs [0.5964, 0.5826, 0.5962, 0.5608, 0.606] (nested GroupKFold(5) x 5 repeats, pod rerun reproduces published), E-DAIC 300 s window",0.5884,0.5268,0.6523,275,275,,2000/2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,0.588386254893432,0.5267623732992601,0.6523287485242031
T7b_enc_meanof5_minus_answer,"encoder probe mean of five per-repeat AUCs minus zero-shot answer AUC, paired (one speaker draw per replicate, all five AUCs recomputed), E-DAIC 300 s window",-0.2394,-0.3188,-0.1572,275,275,yes,2000/2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,-0.2393649412788168,-0.3188292697258822,-0.15723986914309845
T7b_ans_meanof5,"answer-state probe, mean of five per-repeat AUCs [0.755, 0.7302, 0.7418, 0.7225, 0.7679] (nested GroupKFold(5) x 5 repeats, pod rerun reproduces published), E-DAIC 300 s window",0.7435,0.6793,0.8065,275,275,,2000/2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,0.7434826736262143,0.679299311402388,0.80648266552998
T7b_ans_meanof5_minus_answer,"answer-state probe mean of five per-repeat AUCs minus zero-shot answer AUC, paired (one speaker draw per replicate, all five AUCs recomputed), E-DAIC 300 s window",-0.0843,-0.1339,-0.037,275,275,yes,2000/2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,-0.08426852254603445,-0.13393750616750957,-0.03699445946039149
T7b_proj_meanof5,"projector probe, mean of five per-repeat AUCs [0.551, 0.5618, 0.5795, 0.5653, 0.5474] (nested GroupKFold(5) x 5 repeats, pod rerun reproduces published), E-DAIC 300 s window",0.561,0.4871,0.6339,275,275,,2000/2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,0.5609975351602146,0.48708512432035683,0.633878185240475
T7b_proj_meanof5_minus_answer,"projector probe mean of five per-repeat AUCs minus zero-shot answer AUC, paired (one speaker draw per replicate, all five AUCs recomputed), E-DAIC 300 s window",-0.2668,-0.3494,-0.1809,275,275,yes,2000/2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,-0.26675366101203424,-0.34941993655542614,-0.18092565741228225
T7b_notused_llm_aucofmeanoof,"NOT USED: LM probe AUC of the OOF probabilities averaged over five repeats, E-DAIC 300 s window",0.7088,0.6232,0.7874,275,275,,2000/2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,0.7087864288821226,0.6231553623188406,0.7874003305509396
