275 pids, 275 to fetch, workers 6
10/275 17s 3.82 GB 231.3 MB/s fails 0
20/275 41s 7.37 GB 178.8 MB/s fails 0
30/275 54s 11.10 GB 204.1 MB/s fails 0
40/275 66s 14.75 GB 224.9 MB/s fails 0
50/275 78s 18.97 GB 244.4 MB/s fails 0
60/275 87s 22.06 GB 254.3 MB/s fails 0
70/275 103s 27.11 GB 264.4 MB/s fails 0
80/275 117s 31.90 GB 271.9 MB/s fails 0
90/275 130s 36.20 GB 279.2 MB/s fails 0
100/275 142s 39.97 GB 280.7 MB/s fails 0
110/275 155s 44.59 GB 287.8 MB/s fails 0
120/275 166s 48.82 GB 293.9 MB/s fails 0
130/275 176s 52.74 GB 300.3 MB/s fails 0
140/275 187s 57.09 GB 304.8 MB/s fails 0
150/275 200s 61.73 GB 308.2 MB/s fails 0
160/275 210s 65.80 GB 314.0 MB/s fails 0
170/275 223s 70.13 GB 313.8 MB/s fails 0
180/275 234s 74.03 GB 316.3 MB/s fails 0
190/275 246s 77.78 GB 315.8 MB/s fails 0
200/275 261s 81.89 GB 313.5 MB/s fails 0
210/275 272s 86.36 GB 317.3 MB/s fails 0
220/275 289s 90.89 GB 314.3 MB/s fails 0
230/275 298s 94.79 GB 318.2 MB/s fails 0
240/275 311s 98.90 GB 317.9 MB/s fails 0
250/275 323s 103.29 GB 319.6 MB/s fails 0
260/275 336s 107.28 GB 319.7 MB/s fails 0
270/275 344s 111.14 GB 322.7 MB/s fails 0
FETCH_DONE ok 275 fails 0 wav_on_disk 275 351s 113.48 GB
