id,what,value,lo,hi,value_full,lo_full,hi_full,n,n_spk,kind,source,closes,note
M7mo5_adresso_gap,"Qwen2.5-Omni adresso: encoder probe (Table 1 mean of five per-repeat AUCs) minus zero-shot answer AUC; interval is the APPROXIMATE shifted single-split paired interval (exact per-draw mean-of-five interval impossible: per-repeat OOF never saved, states deleted)",0.2602,0.1773,0.3379,0.2601607982893799,0.17731803503575208,0.3378850427461726,237,237,"exact point, approximate interval",<local data dir>/release/omni_final/omni_adresso_nested_repeats.json ; <local data dir>/release/omni_final/omni_adresso_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_adresso_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_adresso_probe_mean5,"Qwen2.5-Omni adresso: Table 1 encoder probe, mean of five per-repeat AUCs [0.8722, 0.8665, 0.8825, 0.874, 0.881]",0.8752,,,0.8752,,,237,237,read from file (Table 1 value),<local data dir>/release/omni_final/omni_adresso_nested_repeats.json,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_adresso_zeroshot,"Qwen2.5-Omni adresso: zero-shot answer AUC recomputed from per-clip p_yes, speaker bootstrap interval",0.615,0.5432,0.689,0.6150392017106201,0.5432332651905852,0.6889640923339981,237,237,exact,<local data dir>/release/omni_final/omni_adresso_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_adresso_single_gap_ref,"Qwen2.5-Omni adresso: OLD single-split gap (single-split probe 0.8899 minus zero-shot), exact paired interval, reference only (reproduces part16 M7)",0.2748,0.192,0.3526,0.2748396293656451,0.1919968661120173,0.3525638738224378,237,237,"exact, superseded convention",<local data dir>/release/omni_final/omni_adresso_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_adresso_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_adress2020_gap,"Qwen2.5-Omni adress2020: encoder probe (Table 1 mean of five per-repeat AUCs) minus zero-shot answer AUC; interval is the APPROXIMATE shifted single-split paired interval (exact per-draw mean-of-five interval impossible: per-repeat OOF never saved, states deleted)",0.1802,0.0722,0.2858,0.18020401051939516,0.0722112779253492,0.2857752336724632,156,156,"exact point, approximate interval",<local data dir>/release/omni_final/omni_adress2020_nested_repeats.json ; <local data dir>/release/omni_final/omni_adress2020_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_adress2020_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_adress2020_probe_mean5,"Qwen2.5-Omni adress2020: Table 1 encoder probe, mean of five per-repeat AUCs [0.8161, 0.7936, 0.8051, 0.8062, 0.8005]",0.8043,,,0.8043,,,156,156,read from file (Table 1 value),<local data dir>/release/omni_final/omni_adress2020_nested_repeats.json,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_adress2020_zeroshot,"Qwen2.5-Omni adress2020: zero-shot answer AUC recomputed from per-clip p_yes, speaker bootstrap interval",0.6241,0.5348,0.7148,0.6240959894806049,0.5348478618421052,0.7148052262172812,156,156,exact,<local data dir>/release/omni_final/omni_adress2020_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_adress2020_single_gap_ref,"Qwen2.5-Omni adress2020: OLD single-split gap (single-split probe 0.7878 minus zero-shot), exact paired interval, reference only (reproduces part16 M7)",0.1637,0.0557,0.2693,0.16370808678500992,0.055715354190963955,0.26927930993807797,156,156,"exact, superseded convention",<local data dir>/release/omni_final/omni_adress2020_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_adress2020_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_pcgita_gap,"Qwen2.5-Omni pcgita: encoder probe (Table 1 mean of five per-repeat AUCs) minus zero-shot answer AUC; interval is the APPROXIMATE shifted single-split paired interval (exact per-draw mean-of-five interval impossible: per-repeat OOF never saved, states deleted)",0.3306,0.2489,0.4127,0.33062231404958675,0.24886718034916877,0.41271227667470517,1100,100,"exact point, approximate interval",<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json ; <local data dir>/release/omni_final/omni_pcgita_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_pcgita_probe_mean5,"Qwen2.5-Omni pcgita: Table 1 encoder probe, mean of five per-repeat AUCs [0.8882, 0.89, 0.8926, 0.8954, 0.9044]",0.8941,,,0.8941,,,1100,100,read from file (Table 1 value),<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
