id,what,value,lo,hi,n,n_spk,usable_draws,rule,lo_all37,hi_all37,usable_all37,old_value,old_lo,old_hi,old_n,old_n_spk,old_matches_rule,old_matches_all37,value_full,lo_full,hi_full,source,closes
M11fix_B_xsys_disagree_mean_PD,"MDVR-KCL PD: cross-system disagreement (large-v3 vs medium), mean",0.3049,0.1301,0.4944,16,16,2000,within-cell speakers (final),0.1157,0.5115,2000,0.3049,0.1301,0.4944,37,37,True,False,0.30486958448042795,0.13007788549830193,0.4943539072690047,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_B_xsys_disagree_mean_control,"MDVR-KCL control: cross-system disagreement (large-v3 vs medium), mean",0.4779,0.0917,1.1479,21,21,2000,within-cell speakers (final),0.0814,1.1692,2000,0.4779,0.0917,1.1479,37,37,True,False,0.47785176847286887,0.09173726419132193,1.1478691384274342,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_B_xsys_disagree_diff_PD_minus_control,"MDVR-KCL PD minus control: cross-system disagreement (large-v3 vs medium), mean",-0.173,-0.8969,0.306,37,37,2000,"the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)",-0.8969,0.306,2000,-0.173,-0.8969,0.306,37,37,True,True,-0.17298218399244092,-0.896917505555421,0.306022796985912,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_C_mean_token_logprob_mean_PD,"MDVR-KCL PD: Whisper large-v3 mean per-token logprob, mean",-0.1103,-0.1502,-0.0739,16,16,2000,within-cell speakers (final),-0.1506,-0.073,2000,-0.1103,-0.1502,-0.0739,37,37,True,False,-0.11028171112053287,-0.15016281370175527,-0.07391312054624177,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_C_mean_token_logprob_mean_control,"MDVR-KCL control: Whisper large-v3 mean per-token logprob, mean",-0.1356,-0.2345,-0.0759,21,21,2000,within-cell speakers (final),-0.2325,-0.0753,2000,-0.1356,-0.2345,-0.0759,37,37,True,False,-0.1356284206448241,-0.23449836797066775,-0.07586993288136105,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_C_mean_token_logprob_diff_PD_minus_control,"MDVR-KCL PD minus control: Whisper large-v3 mean per-token logprob, mean",0.0253,-0.0532,0.1288,37,37,2000,"the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)",-0.0532,0.1288,2000,0.0253,-0.0532,0.1288,37,37,True,True,0.025346709524291244,-0.053184939321136465,0.12880177014834518,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_C_compression_ratio_mean_PD,"MDVR-KCL PD: zlib compression ratio, mean",1.5938,1.4484,1.7269,16,16,2000,within-cell speakers (final),1.4471,1.7433,2000,1.5938,1.4484,1.7269,37,37,True,False,1.5937625496473014,1.4483669738873208,1.7268552754431281,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_C_compression_ratio_mean_control,"MDVR-KCL control: zlib compression ratio, mean",1.4898,1.3076,1.6417,21,21,2000,within-cell speakers (final),1.3121,1.6422,2000,1.4898,1.3076,1.6417,37,37,True,False,1.4897966333721055,1.3076211558004083,1.6416819534545566,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_C_compression_ratio_diff_PD_minus_control,"MDVR-KCL PD minus control: zlib compression ratio, mean",0.104,-0.1036,0.34,37,37,2000,"the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)",-0.1036,0.34,2000,0.104,-0.1036,0.34,37,37,True,True,0.1039659162751958,-0.1036367627615459,0.34002645631060624,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_D_n_words_30s_mean_PD,"MDVR-KCL PD: words in the 30 s window, mean",59.1875,46.1875,71.9375,16,16,2000,within-cell speakers (final),46.1426,73.5385,2000,59.1875,46.1875,71.9375,37,37,True,False,59.1875,46.1875,71.9375,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_D_n_words_30s_mean_control,"MDVR-KCL control: words in the 30 s window, mean",55.8095,43.0464,67.6202,21,21,2000,within-cell speakers (final),43.0521,67.653,2000,55.8095,43.0464,67.6202,37,37,True,False,55.80952380952381,43.04642857142858,67.6202380952381,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_D_n_words_30s_diff_PD_minus_control,"MDVR-KCL PD minus control: words in the 30 s window, mean",3.378,-13.8212,22.5698,37,37,2000,"the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)",-13.8212,22.5698,2000,3.378,-13.8212,22.5698,37,37,True,True,3.37797619047619,-13.821228448275862,22.569848484848485,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_F_wer_vs_local_copy_mean_PD,"MDVR-KCL PD: large-v3 vs the other stored transcript copy, WER mean",0.3123,0.1974,0.4388,16,16,2000,within-cell speakers (final),0.1943,0.4487,2000,0.3123,0.1974,0.4388,37,37,True,False,0.3123459947253204,0.19738346338531187,0.43883709885981054,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_F_wer_vs_local_copy_mean_control,"MDVR-KCL control: large-v3 vs the other stored transcript copy, WER mean",0.3987,0.2558,0.5577,21,21,2000,within-cell speakers (final),0.2578,0.5627,2000,0.3987,0.2558,0.5577,37,37,True,False,0.3986541424004451,0.25576023451693763,0.5576746280888631,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_F_wer_vs_local_copy_diff_PD_minus_control,"MDVR-KCL PD minus control: large-v3 vs the other stored transcript copy, WER mean",-0.0863,-0.2851,0.1047,37,37,2000,"the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)",-0.2851,0.1047,2000,,,,,,False,False,-0.08630814767512474,-0.2850606018973596,0.10472858588827075,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_B_xsys_disagree_MEDIAN_PD,"MDVR-KCL PD: cross-system disagreement, median",0.1027,0.0323,0.3617,16,16,2000,within-cell speakers (final),0.0323,0.4799,2000,0.1027,0.0323,0.4799,16,16,False,True,0.10272536687631026,0.032258064516129,0.3617021276595745,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_B_xsys_disagree_MEDIAN_control,"MDVR-KCL control: cross-system disagreement, median",0.0333,0.0,0.1341,21,21,2000,within-cell speakers (final),0.0,0.2088,2000,0.0333,0.0,0.2088,21,21,False,True,0.0333333333333333,0.0,0.1341463414634146,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_B_xsys_disagree_MEDIAN_diff_PD_minus_control,"MDVR-KCL PD minus control: cross-system disagreement, median",0.0694,-0.1008,0.4112,37,37,2000,"the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)",-0.1008,0.4112,2000,0.0694,,,37,37,False,False,0.06939203354297696,-0.10081799355729405,0.4112388031255945,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_B_xsys_disagree_ge20w_MEAN_PD,"MDVR-KCL PD: cross-system disagreement, mean over clips with >= 20 words",0.21,0.0671,0.3837,14,14,2000,within-cell speakers (final),0.0645,0.3906,2000,0.21,0.0645,0.3906,14,14,False,True,0.21002952512048909,0.06711829973859391,0.38365662164220415,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_B_xsys_disagree_ge20w_MEAN_control,"MDVR-KCL control: cross-system disagreement, mean over clips with >= 20 words",0.1506,0.0562,0.2684,17,17,2000,within-cell speakers (final),0.0481,0.2765,2000,0.1506,0.0481,0.2765,17,17,False,True,0.15058159634883794,0.056176744003298786,0.26841077128860213,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_B_xsys_disagree_ge20w_MEAN_diff_PD_minus_control,"MDVR-KCL PD minus control: cross-system disagreement, mean over clips with >= 20 words",0.0594,-0.1355,0.2708,31,31,2000,"the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)",-0.1338,0.2707,2000,0.0594,,,37,37,False,False,0.05944792877165114,-0.13554764858369953,0.2707909240958411,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_B_xsys_disagree_POOLED_PD,"MDVR-KCL PD: cross-system disagreement, pooled sum(S+D+I)/sum(N)",0.265,0.0782,0.4778,16,16,2000,within-cell speakers (final),0.0729,0.4944,2000,0.265,0.0729,0.4944,16,16,False,True,0.26504751847940866,0.0781521712066132,0.47779104224875063,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_B_xsys_disagree_POOLED_control,"MDVR-KCL control: cross-system disagreement, pooled sum(S+D+I)/sum(N)",0.18,0.062,0.3636,21,21,2000,within-cell speakers (final),0.0595,0.3764,2000,0.18,0.0595,0.3764,21,21,False,True,0.18003412969283278,0.06196658758693387,0.3635620236052802,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
M11fix_B_xsys_disagree_POOLED_diff_PD_minus_control,"MDVR-KCL PD minus control: cross-system disagreement, pooled sum(S+D+I)/sum(N)",0.085,-0.187,0.3488,37,37,2000,"the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)",-0.187,0.3488,2000,,,,,,False,False,0.08501338878657588,-0.18703093487511707,0.3487659496082683,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,"STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)"
