id	what	value	lo	hi	n	n_spk	kind	file	source	verifier_value	verifier_lo	verifier_hi	agree_4dp	verifier_extra	closes	note
M7mo5_adresso_gap	Qwen2.5-Omni adresso: encoder probe (Table 1 mean of five per-repeat AUCs) minus zero-shot answer AUC; interval is the APPROXIMATE shifted single-split paired interval (exact per-draw mean-of-five interval impossible: per-repeat OOF never saved, states deleted)	0.2602	0.1773	0.3379	237	237	exact point, approximate interval	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_adresso_nested_repeats.json ; <local data dir>/release/omni_final/omni_adresso_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_adresso_zeroshot_scores.csv	0.2602	0.1773	0.3379	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_adresso_probe_mean5	Qwen2.5-Omni adresso: Table 1 encoder probe, mean of five per-repeat AUCs [0.8722, 0.8665, 0.8825, 0.874, 0.881]	0.8752			237	237	read from file (Table 1 value)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_adresso_nested_repeats.json	0.8752			True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_adresso_zeroshot	Qwen2.5-Omni adresso: zero-shot answer AUC recomputed from per-clip p_yes, speaker bootstrap interval	0.6150	0.5432	0.6890	237	237	exact	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_adresso_zeroshot_scores.csv	0.6150	0.5432	0.6890	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_adresso_single_gap_ref	Qwen2.5-Omni adresso: OLD single-split gap (single-split probe 0.8899 minus zero-shot), exact paired interval, reference only (reproduces part16 M7)	0.2748	0.1920	0.3526	237	237	exact, superseded convention	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_adresso_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_adresso_zeroshot_scores.csv	0.2748	0.1920	0.3526	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_adress2020_gap	Qwen2.5-Omni adress2020: encoder probe (Table 1 mean of five per-repeat AUCs) minus zero-shot answer AUC; interval is the APPROXIMATE shifted single-split paired interval (exact per-draw mean-of-five interval impossible: per-repeat OOF never saved, states deleted)	0.1802	0.0722	0.2858	156	156	exact point, approximate interval	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_adress2020_nested_repeats.json ; <local data dir>/release/omni_final/omni_adress2020_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_adress2020_zeroshot_scores.csv	0.1802	0.0722	0.2858	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_adress2020_probe_mean5	Qwen2.5-Omni adress2020: Table 1 encoder probe, mean of five per-repeat AUCs [0.8161, 0.7936, 0.8051, 0.8062, 0.8005]	0.8043			156	156	read from file (Table 1 value)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_adress2020_nested_repeats.json	0.8043			True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_adress2020_zeroshot	Qwen2.5-Omni adress2020: zero-shot answer AUC recomputed from per-clip p_yes, speaker bootstrap interval	0.6241	0.5348	0.7148	156	156	exact	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_adress2020_zeroshot_scores.csv	0.6241	0.5348	0.7148	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_adress2020_single_gap_ref	Qwen2.5-Omni adress2020: OLD single-split gap (single-split probe 0.7878 minus zero-shot), exact paired interval, reference only (reproduces part16 M7)	0.1637	0.0557	0.2693	156	156	exact, superseded convention	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_adress2020_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_adress2020_zeroshot_scores.csv	0.1637	0.0557	0.2693	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_pcgita_gap	Qwen2.5-Omni pcgita: encoder probe (Table 1 mean of five per-repeat AUCs) minus zero-shot answer AUC; interval is the APPROXIMATE shifted single-split paired interval (exact per-draw mean-of-five interval impossible: per-repeat OOF never saved, states deleted)	0.3306	0.2489	0.4127	1100	100	exact point, approximate interval	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json ; <local data dir>/release/omni_final/omni_pcgita_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv	0.3306	0.2489	0.4127	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_pcgita_probe_mean5	Qwen2.5-Omni pcgita: Table 1 encoder probe, mean of five per-repeat AUCs [0.8882, 0.89, 0.8926, 0.8954, 0.9044]	0.8941			1100	100	read from file (Table 1 value)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json	0.8941			True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
