clip,speaker,p_probe_seed0,p_probe_seed1,p_probe_seed2,p_probe_seed3,p_probe_seed4,fold_seed0,fold_seed1,fold_seed2,fold_seed3,fold_seed4,p_probe_single,fold_single,p_yes_zeroshot,p_yes_states
300.wav,300,0.3838740885257721,3.105866426267312e-06,0.10253226011991501,0.2899128198623657,0.00029845314566046,4,4,1,4,2,0.5317413806915283,4,0.6791748404156122,0.6791748404156122
301.wav,301,0.00017494588973931968,1.3951205801276956e-05,6.328361905616475e-06,0.0010231512133032084,0.00892111286520958,3,3,4,1,3,0.0009030508808791637,3,0.4416661278896063,0.4416661278896063
302.wav,302,0.08261190354824066,0.022761091589927673,0.0008439585217274725,2.591540578578133e-05,0.001259914948605001,1,1,2,2,4,0.00024681154172867537,2,0.96065384979104,0.96065384979104
303.wav,303,0.013855084776878357,0.893369197845459,0.3097534477710724,0.19614113867282867,0.9850249886512756,0,2,3,3,0,0.9581876397132874,1,0.9532727524763465,0.9532727524763465
304.wav,304,0.0010093065211549401,0.00010030226985691115,0.0007747100316919386,0.00035447621485218406,0.015405873768031597,4,2,2,4,0,0.000700776232406497,0,0.9798200732622003,0.9798200732622003
305.wav,305,0.024585388600826263,0.39159899950027466,0.13149665296077728,0.9654108285903931,9.62886588240508e-06,4,2,4,3,2,0.0033232520800083876,4,0.9775419253327796,0.9775419253327796
306.wav,306,0.00013445412332657725,0.28695791959762573,0.5076598525047302,2.619813494675327e-05,0.0003704753762576729,3,1,2,1,2,0.0058392188511788845,3,0.994224726262123,0.994224726262123
307.wav,307,0.9643151164054871,0.8743596076965332,0.7775193452835083,0.9689670205116272,0.996625542640686,2,4,0,0,4,0.9954647421836853,2,0.9895913311555037,0.9895913311555037
308.wav,308,2.2239275949687e-06,2.887209120672196e-05,5.086515557195526e-06,8.113389412756078e-06,1.1491671102703549e-05,3,3,1,1,2,0.0001513607130618766,1,0.995017330184146,0.995017330184146
309.wav,309,0.083822101354599,8.838494522933615e-07,0.00043759128311648965,0.02430213987827301,4.887622253590962e-07,0,4,1,2,4,0.00019283845904283226,0,0.849965870261253,0.849965870261253
310.wav,310,0.985828161239624,0.7027249336242676,0.9701705574989319,0.9980704188346863,6.445770122809336e-05,3,3,1,4,0,0.8119399547576904,4,0.40733288618568414,0.40733288618568414
311.wav,311,0.8890140652656555,0.9807620644569397,0.9980746507644653,0.15152110159397125,0.9942939877510071,1,3,1,0,2,0.2584288716316223,3,0.9881296584598279,0.9881296584598279
312.wav,312,0.025290509685873985,0.002237396314740181,0.03161691501736641,0.9986892342567444,4.395109272081754e-07,4,2,3,0,0,0.0037540136836469173,2,0.974042094688662,0.974042094688662
313.wav,313,0.0013962173834443092,0.035226400941610336,0.09437821060419083,0.03521323204040527,0.001208137720823288,1,3,3,0,2,0.003011188004165888,1,0.9709064498895106,0.9709064498895106
314.wav,314,0.036000680178403854,0.003535330295562744,0.0034057069569826126,0.2461451143026352,0.03454279899597168,4,3,2,4,0,0.004522775765508413,0,0.7341117032813529,0.7341117032813529
315.wav,315,0.5336487889289856,0.0033758291974663734,0.027843480929732323,0.0022190664894878864,0.01648871600627899,2,1,4,3,2,0.006914641708135605,4,0.8267068110030884,0.8267068110030884
316.wav,316,0.057535380125045776,0.0001125216149375774,0.003610185580328107,0.044621292501688004,3.5618558058558847e-07,0,1,1,0,0,0.004363697487860918,3,0.9585343333338773,0.9585343333338773
317.wav,317,0.004353320226073265,0.0591617114841938,0.02731352671980858,0.0016771379159763455,0.027788911014795303,0,0,1,0,2,0.004250833299010992,2,0.9496650960337815,0.9496650960337815
318.wav,318,2.3021697415970266e-05,0.00024233285512309521,7.466600891348207e-06,0.00013359441072680056,5.279045126371784e-06,3,1,1,1,3,4.963638730259845e-06,1,0.989590952910093,0.989590952910093
319.wav,319,0.05738009512424469,0.0746331438422203,0.028478510677814484,0.003955899737775326,0.031855348497629166,1,1,0,2,2,0.0611126571893692,0,0.9850420401313228,0.9850420401313228
320.wav,320,0.8919403553009033,0.0574197992682457,0.6653954386711121,0.6951839923858643,0.789787232875824,2,0,3,3,2,0.241379514336586,4,0.9914877499760901,0.9914877499760901
