stage,stage_name,auc_mean,auc_std,ci_lo,ci_hi,boot_draws,per_repeat,n,n_speakers
0,thinker_embeddings,0.5,0.0,0.5,0.5,2000,0.500000|0.500000|0.500000|0.500000|0.500000,1100,100
1,thinker_layer_1,0.876323,0.013008,0.81045,0.928768,2000,0.878139|0.868502|0.859299|0.877192|0.898483,1100,100
2,thinker_layer_2,0.879449,0.012649,0.81183,0.931124,2000,0.890185|0.862074|0.876983|0.871053|0.896950,1100,100
3,thinker_layer_3,0.890088,0.012329,0.823505,0.939929,2000,0.896965|0.886101|0.882554|0.874671|0.910149,1100,100
4,thinker_layer_4,0.892451,0.009756,0.825038,0.942454,2000,0.900236|0.887947|0.886917|0.880126|0.907026,1100,100
5,thinker_layer_5,0.891959,0.009907,0.824146,0.942667,2000,0.898749|0.891693|0.883557|0.879258|0.906540,1100,100
6,thinker_layer_6,0.889435,0.010542,0.821728,0.939685,2000,0.896640|0.891217|0.882646|0.873301|0.903370,1100,100
7,thinker_layer_7,0.887207,0.011261,0.81954,0.939323,2000,0.897342|0.887488|0.877374|0.872179|0.901653,1100,100
8,thinker_layer_8,0.884577,0.013168,0.817526,0.937295,2000,0.895321|0.890871|0.872139|0.865744|0.898808,1100,100
9,thinker_layer_9,0.884127,0.01257,0.816878,0.937268,2000,0.895676|0.887519|0.871592|0.867350|0.898499,1100,100
10,thinker_layer_10,0.888367,0.011103,0.824537,0.939228,2000,0.899180|0.885213|0.878347|0.875648|0.903445,1100,100
11,thinker_layer_11,0.88887,0.010555,0.823662,0.939502,2000,0.900425|0.886005|0.878319|0.877507|0.902094,1100,100
12,thinker_layer_12,0.888862,0.010971,0.824215,0.938832,2000,0.900506|0.886261|0.878866|0.875940|0.902739,1100,100
13,thinker_layer_13,0.892377,0.010556,0.828533,0.942137,2000,0.904650|0.890625|0.883140|0.879139|0.904329,1100,100
14,thinker_layer_14,0.890192,0.01031,0.825689,0.94116,2000,0.901800|0.886610|0.881180|0.878393|0.902979,1100,100
15,thinker_layer_15,0.896211,0.009476,0.832709,0.945194,2000,0.907954|0.890200|0.888476|0.886889|0.907534,1100,100
16,thinker_layer_16,0.893846,0.010486,0.829556,0.943726,2000,0.907704|0.885678|0.886453|0.883860|0.905534,1100,100
17,thinker_layer_17,0.892541,0.011829,0.829569,0.942051,2000,0.908460|0.884357|0.884603|0.880069|0.905218,1100,100
18,thinker_layer_18,0.894903,0.009663,0.832968,0.943782,2000,0.909246|0.890322|0.886686|0.884871|0.903388,1100,100
19,thinker_layer_19,0.895983,0.009974,0.834064,0.944978,2000,0.910347|0.893845|0.885774|0.885483|0.904468,1100,100
