clip,speaker,p_probe_rep0,p_probe_rep1,p_probe_rep2,p_probe_rep3,p_probe_rep4
AVPEPUDEAC0001_readtext.wav,AVPEPUDEAC0001,0.29979873,0.07832101,0.35795701,0.23161505,0.09899585
AVPEPUDEAC0003_readtext.wav,AVPEPUDEAC0003,0.99574727,0.94537675,0.99999833,0.99572808,0.99999142
AVPEPUDEAC0004_readtext.wav,AVPEPUDEAC0004,0.00510512,0.00677109,0.00427206,0.39412460,0.01487012
AVPEPUDEAC0005_readtext.wav,AVPEPUDEAC0005,0.00350014,0.85518962,0.08687841,0.08912664,0.97789067
AVPEPUDEAC0006_readtext.wav,AVPEPUDEAC0006,0.66484743,0.11912052,0.67570585,0.92633224,0.14575236
AVPEPUDEAC0007_readtext.wav,AVPEPUDEAC0007,0.10690770,0.00005818,0.09000485,0.00172059,0.10645477
AVPEPUDEAC0008_readtext.wav,AVPEPUDEAC0008,0.15846781,0.02402128,0.09260403,0.01482455,0.02082878
AVPEPUDEAC0010_readtext.wav,AVPEPUDEAC0010,0.00504847,0.47957769,0.19354229,0.07666073,0.01668503
AVPEPUDEAC0011_readtext.wav,AVPEPUDEAC0011,0.74236286,0.68160492,0.53962213,0.26101652,0.29768071
AVPEPUDEAC0012_readtext.wav,AVPEPUDEAC0012,0.00096879,0.14653054,0.02820078,0.00022360,0.01556680
AVPEPUDEAC0013_readtext.wav,AVPEPUDEAC0013,0.96442097,0.80802977,0.53423411,0.42753044,0.56732690
AVPEPUDEAC0014_readtext.wav,AVPEPUDEAC0014,0.17255352,0.00916194,0.17266592,0.16274998,0.00472864
AVPEPUDEAC0015_readtext.wav,AVPEPUDEAC0015,0.00070196,0.00227800,0.00351761,0.00685906,0.00353177
AVPEPUDEAC0016_readtext.wav,AVPEPUDEAC0016,0.28642631,0.07876816,0.02589343,0.37236336,0.11224527
AVPEPUDEAC0017_readtext.wav,AVPEPUDEAC0017,0.10090064,0.42642099,0.00020820,0.17880470,0.21900360
AVPEPUDEAC0018_readtext.wav,AVPEPUDEAC0018,0.00746678,0.36804053,0.03850980,0.60201323,0.00143563
AVPEPUDEAC0019_readtext.wav,AVPEPUDEAC0019,0.06650933,0.06329326,0.00840501,0.00043342,0.00403061
