clip,speaker,p_probe_rep0,p_probe_rep1,p_probe_rep2,p_probe_rep3,p_probe_rep4
conflict_Con_015-0_67805.wav,Control15,0.00587934,0.25754893,0.03681007,0.04025916,0.00034090
conflict_Con_015-1_4987.wav,Control15,0.49980778,0.04881169,0.35863113,0.82235539,0.99281150
conflict_Con_015-1_60159.wav,Control15,0.98800486,0.60521132,0.98486775,0.98576111,0.39225176
conflict_Con_017-4_6597.wav,Control17,0.00258883,0.18856634,0.00022514,0.00141360,0.00286289
conflict_Con_021-1_38448.wav,Control21,0.33603358,0.34215105,0.10146022,0.01492755,0.01512771
conflict_Con_034-1_7639.wav,Control34,0.10879985,0.79745257,0.09427108,0.01281171,0.38045514
conflict_Con_034-4_46285.wav,Control34,0.99594313,0.94341314,0.31353009,0.88370520,0.10025230
conflict_Con_042-2_2251.wav,Control42,0.48394340,0.17930177,0.95611078,0.00594773,0.88718021
conflict_Con_045-0_35325.wav,Control45,0.99278486,0.81310952,0.67396760,0.99151343,0.27325624
conflict_Con_045-2_39349.wav,Control45,0.85344195,0.97351080,0.71814567,0.89796281,0.99824238
conflict_Con_052-0_3822.wav,Control52,0.12821262,0.86821193,0.01707364,0.88063478,0.31003746
conflict_Con_068-0_1810.wav,Control68,0.00179772,0.04395436,0.89760786,0.30014423,0.00280659
conflict_Con_068-2_6578.wav,Control68,0.01410683,0.00353404,0.00027034,0.00355349,0.08812589
conflict_Con_068-3_1311.wav,Control68,0.17406072,0.07240850,0.36736301,0.07983878,0.91225111
conflict_Con_071-1_2091.wav,Control71,0.00000742,0.00152896,0.02146621,0.01272362,0.03628442
conflict_Con_073-3_37636.wav,Control73,0.99999535,0.89868599,0.98798776,0.81620115,0.98607266
conflict_Con_086-0_5140.wav,Control86,0.84295589,0.94105673,0.32848826,0.91975689,0.18481682
conflict_Con_086-0_37577.wav,Control86,0.75883240,0.98730218,0.92748362,0.75644964,0.06399260
conflict_Con_105-2_38053.wav,Control105,0.99981147,0.99997842,0.99999559,0.99996555,0.99999833
conflict_Con_121-0_64117.wav,Control121,0.01000542,0.00069424,0.20170121,0.00210600,0.00001032
conflict_Con_121-1_32497.wav,Control121,0.15649571,0.00251240,0.01676990,0.16569777,0.00028823
conflict_Con_124-1_36933.wav,Control124,0.45215601,0.86932021,0.78481191,0.99988043,0.97571009
conflict_Con_128-3_800.wav,Control128,0.99989462,0.70552677,0.97650993,0.72637212,0.99963081
conflict_Con_139-0_36206.wav,Control139,0.99970251,0.99974269,0.99951720,0.99558240,0.99999952
conflict_Con_140-0_35581.wav,Control140,0.25707385,0.04521471,0.47358692,0.11474381,0.85686082
conflict_Con_141-1_1470.wav,Control141,0.00262762,0.00521939,0.00086526,0.00051887,0.00001367
conflict_Con_158-3_2170.wav,Control158,0.84586525,0.80223483,0.52461779,0.66333812,0.33684167
conflict_Con_192-0_820.wav,Control192,0.39113036,0.62849921,0.38314164,0.00063832,0.17182958
conflict_Con_209-2_2013.wav,Control209,0.02664083,0.39424115,0.00424615,0.07192472,0.22537352
conflict_Con_210-1_35543.wav,Control210,0.99561739,0.99727160,0.99967718,0.99979621,0.99985874
conflict_Con_225-0_4203.wav,Control225,0.03437068,0.03192671,0.43949917,0.32854846,0.00605254
conflict_Con_227-0_460.wav,Control227,0.93212730,0.63107711,0.85696423,0.69794881,0.17430034
conflict_Con_229-1_1420.wav,Control229,0.38205844,0.39147034,0.96342945,0.73696780,0.07964075
conflict_Con_229-2_390.wav,Control229,0.68315226,0.40464208,0.91360819,0.45764744,0.91648376
conflict_Con_242-2_64112.wav,Control242,0.00659924,0.48762640,0.02558463,0.19210269,0.56004548
conflict_Con_243-0_73861.wav,Control243,0.15735331,0.18194947,0.67430556,0.64308792,0.89881170
conflict_Con_245-2_25300.wav,Control245,0.04965182,0.76516807,0.05188911,0.73021650,0.10918578
conflict_Con_256-1_5587.wav,Control256,0.99989021,0.99993181,0.99994314,0.99968803,0.99993920
conflict_Con_280-2_9925.wav,Control280,0.06154348,0.00136568,0.22176507,0.00542903,0.00662679
conflict_Con_297-2_1520.wav,Control297,0.02979260,0.00057608,0.01572658,0.11068960,0.03683285
conflict_Con_302-0_7124.wav,Control302,0.00650305,0.07257038,0.00904816,0.02410011,0.00116589
conflict_Con_323-0_39906.wav,Control323,0.73146021,0.99961948,0.99551976,0.99987149,0.01084569
conflict_Con_332-0_120.wav,Control332,0.93982953,0.00072719,0.91536218,0.10584594,0.97279727
conflict_Con_691-0_2463.wav,Control691,0.00063143,0.00015900,0.00000409,0.00015995,0.00010468
conflict_Con_709-2_760.wav,Control709,0.00005212,0.10593212,0.01231178,0.02113240,0.45934203
conflict_Dem_003-0_6255.wav,Dementia3,0.99916923,0.50240606,0.99611950,0.34954682,0.99829417
conflict_Dem_003-0_76644.wav,Dementia3,0.99348420,0.00233496,0.74906713,0.28957865,0.99950111
conflict_Dem_003-0_145294.wav,Dementia3,0.99956352,0.62910151,0.71584177,0.78407383,0.98879147
conflict_Dem_007-1_15997.wav,Dementia7,0.00621010,0.06135723,0.01788832,0.01951432,0.01980106
conflict_Dem_007-3_4014.wav,Dementia7,0.07218693,0.01223300,0.02355061,0.03269872,0.04552699
conflict_Dem_010-2_4647.wav,Dementia10,0.97338438,0.99918967,0.97693050,0.99838233,0.99912220
conflict_Dem_016-4_40791.wav,Dementia16,0.79657960,0.97230577,0.97057414,0.99042881,0.97308934
conflict_Dem_018-0_41994.wav,Dementia18,0.99968755,0.99999142,0.99999666,0.99999487,0.99999070
conflict_Dem_024-1_990.wav,Dementia24,0.10686662,0.00273906,0.00883553,0.00056060,0.04323726
conflict_Dem_029-0_41581.wav,Dementia29,0.97752255,0.99995267,0.99891806,0.99929214,0.98672998
conflict_Dem_030-0_38630.wav,Dementia30,0.11287096,0.00286908,0.84313911,0.01813725,0.00526917
