stage,stage_name,auc_mean,auc_std,ci_lo,ci_hi,boot_draws,per_repeat,n,n_speakers
0,audio_encoder_layer_0,0.661253,0.021265,0.601461,0.720351,2000,0.680017|0.621736|0.665808|0.659473|0.679233,468,228
1,audio_encoder_layer_1,0.671265,0.020543,0.609613,0.731071,2000,0.692154|0.635355|0.671678|0.666796|0.690343,468,228
2,audio_encoder_layer_2,0.676422,0.016835,0.615638,0.736041,2000,0.691466|0.645157|0.672956|0.684337|0.688193,468,228
3,audio_encoder_layer_3,0.670967,0.017062,0.610534,0.733001,2000,0.689084|0.640527|0.669769|0.685074|0.670380,468,228
4,audio_encoder_layer_4,0.678198,0.019276,0.617311,0.739364,2000,0.700697|0.646348|0.684057|0.692125|0.667764,468,228
5,audio_encoder_layer_5,0.703427,0.01811,0.642081,0.764757,2000,0.725688|0.673286|0.708117|0.715236|0.694808,468,228
6,audio_encoder_layer_6,0.692358,0.017637,0.626178,0.754383,2000,0.710122|0.659967|0.697724|0.704698|0.689277,468,228
7,audio_encoder_layer_7,0.688842,0.019014,0.625011,0.752103,2000,0.700726|0.653206|0.692019|0.708475|0.689781,468,228
8,audio_encoder_layer_8,0.701497,0.021649,0.63734,0.764551,2000,0.731906|0.666631|0.691592|0.707730|0.709628,468,228
9,audio_encoder_layer_9,0.705149,0.018147,0.641405,0.765135,2000,0.726027|0.673566|0.700523|0.718907|0.706722,468,228
10,audio_encoder_layer_10,0.715494,0.019187,0.651065,0.775454,2000,0.733553|0.684812|0.701143|0.727654|0.730308,468,228
11,audio_encoder_layer_11,0.715963,0.014565,0.653833,0.778868,2000,0.721968|0.694973|0.703419|0.724835|0.734618,468,228
12,audio_encoder_layer_12,0.715566,0.011271,0.65276,0.78003,2000,0.726036|0.695961|0.710267|0.720670|0.724893,468,228
13,audio_encoder_layer_13,0.743255,0.011466,0.683233,0.80361,2000,0.760103|0.724254|0.741302|0.745670|0.744944,468,228
14,audio_encoder_layer_14,0.751534,0.00464,0.690885,0.809562,2000,0.756645|0.743985|0.750601|0.756219|0.750223,468,228
15,audio_encoder_layer_15,0.754537,0.005822,0.697497,0.810315,2000,0.757226|0.743665|0.754078|0.760664|0.757052,468,228
16,audio_encoder_layer_16,0.761858,0.00391,0.703623,0.816541,2000,0.764374|0.760238|0.758427|0.768249|0.758001,468,228
17,audio_encoder_layer_17,0.765169,0.010056,0.707099,0.821416,2000,0.765818|0.752460|0.763754|0.783107|0.760703,468,228
18,audio_encoder_layer_18,0.779797,0.013115,0.723537,0.833041,2000,0.784308|0.759425|0.775591|0.799971|0.779688,468,228
19,audio_encoder_layer_19,0.798582,0.015971,0.745925,0.848802,2000,0.810655|0.775571|0.790856|0.821445|0.794382,468,228
20,audio_encoder_layer_20,0.795847,0.01429,0.74157,0.848327,2000,0.799884|0.778913|0.788038|0.821077|0.791321,468,228
21,audio_encoder_layer_21,0.790558,0.015219,0.735905,0.84431,2000,0.795370|0.777625|0.777557|0.818084|0.784153,468,228
22,audio_encoder_layer_22,0.786519,0.01092,0.731972,0.840142,2000,0.790992|0.777644|0.784812|0.804998|0.774148,468,228
23,audio_encoder_layer_23,0.798034,0.009493,0.744477,0.850092,2000,0.797288|0.787292|0.793578|0.815692|0.796319,468,228
24,audio_encoder_layer_24,0.815405,0.010363,0.764994,0.863487,2000,0.812137|0.811885|0.809851|0.835839|0.807313,468,228
25,audio_encoder_layer_25,0.80993,0.008776,0.760966,0.85831,2000,0.814210|0.799312|0.803216|0.824322|0.808592,468,228
26,audio_encoder_layer_26,0.812551,0.010258,0.764541,0.861247,2000,0.819062|0.795874|0.807555|0.825862|0.814403,468,228
27,audio_encoder_layer_27,0.814275,0.011159,0.766133,0.861941,2000,0.818365|0.797520|0.809037|0.831519|0.814936,468,228
28,audio_encoder_layer_28,0.812303,0.010812,0.762221,0.862209,2000,0.812108|0.795418|0.811914|0.829601|0.812476,468,228
29,audio_encoder_layer_29,0.826453,0.009808,0.776202,0.874785,2000,0.830192|0.812592|0.823053|0.842484|0.823944,468,228
30,audio_encoder_layer_30,0.827577,0.01177,0.776522,0.876001,2000,0.831064|0.812592|0.825920|0.847695|0.820612,468,228
31,audio_encoder_layer_31,0.813925,0.013254,0.759817,0.864305,2000,0.812883|0.793258|0.818917|0.834231|0.810335,468,228
