stage,stage_name,auc_mean,auc_std,ci_lo,ci_hi,boot_draws,per_repeat,n,n_speakers
0,thinker_embeddings,0.881544,0.011106,0.812131,0.936706,2000,0.887175|0.879288|0.878550|0.864458|0.898248,1100,100
1,thinker_layer_1,0.883196,0.01082,0.816861,0.937496,2000,0.884463|0.874428|0.880901|0.873033|0.903155,1100,100
2,thinker_layer_2,0.883125,0.010826,0.818585,0.937071,2000,0.882127|0.873469|0.883904|0.873188|0.902934,1100,100
3,thinker_layer_3,0.878939,0.011434,0.813066,0.933349,2000,0.880289|0.866458|0.881443|0.868208|0.898294,1100,100
4,thinker_layer_4,0.867453,0.012073,0.800293,0.92438,2000,0.870063|0.854174|0.871597|0.854792|0.886641,1100,100
5,thinker_layer_5,0.870964,0.010768,0.8038,0.927901,2000,0.872886|0.858281|0.873013|0.861663|0.888977,1100,100
6,thinker_layer_6,0.873234,0.011356,0.808984,0.928479,2000,0.875468|0.862202|0.873866|0.861757|0.892879,1100,100
7,thinker_layer_7,0.878269,0.0117,0.814314,0.932177,2000,0.884545|0.869339|0.877096|0.863499|0.896864,1100,100
8,thinker_layer_8,0.886063,0.011245,0.82478,0.938105,2000,0.888934|0.879017|0.885557|0.871625|0.905183,1100,100
9,thinker_layer_9,0.884478,0.01166,0.821695,0.936922,2000,0.887258|0.877823|0.883969|0.869094|0.904248,1100,100
10,thinker_layer_10,0.885454,0.011556,0.822768,0.936238,2000,0.886932|0.879555|0.887878|0.868805|0.904101,1100,100
11,thinker_layer_11,0.88481,0.011794,0.822873,0.936641,2000,0.886026|0.878848|0.885119|0.869021|0.905035,1100,100
12,thinker_layer_12,0.886981,0.012564,0.824705,0.938325,2000,0.886613|0.875638|0.890281|0.873661|0.908711,1100,100
13,thinker_layer_13,0.891244,0.011757,0.828418,0.942804,2000,0.890707|0.881036|0.895992|0.877716|0.910767,1100,100
14,thinker_layer_14,0.89597,0.01226,0.834128,0.946298,2000,0.895008|0.888268|0.900098|0.880018|0.916460,1100,100
15,thinker_layer_15,0.889799,0.012622,0.827339,0.940451,2000,0.886899|0.882980|0.895745|0.872988|0.910383,1100,100
16,thinker_layer_16,0.888882,0.011748,0.826857,0.939654,2000,0.886344|0.881788|0.894170|0.873792|0.908316,1100,100
17,thinker_layer_17,0.887893,0.012501,0.826093,0.938643,2000,0.887493|0.879694|0.893727|0.870888|0.907661,1100,100
