stage,stage_name,auc_mean,auc_std,ci_lo,ci_hi,boot_draws,per_repeat,n,n_speakers
0,thinker_embeddings,0.785616,0.010026,0.730098,0.837969,2000,0.782013|0.785490|0.780734|0.804562|0.775281,468,228
1,thinker_layer_1,0.797627,0.014574,0.742969,0.848569,2000,0.799923|0.788997|0.783485|0.824787|0.790943,468,228
2,thinker_layer_2,0.822654,0.013014,0.772556,0.869679,2000,0.822627|0.809880|0.808059|0.843258|0.829446,468,228
3,thinker_layer_3,0.836257,0.011179,0.787447,0.880978,2000,0.827354|0.829892|0.827063|0.856277|0.840701,468,228
4,thinker_layer_4,0.841263,0.011136,0.791244,0.88619,2000,0.827741|0.839481|0.835064|0.861081|0.842948,468,228
5,thinker_layer_5,0.846129,0.010701,0.796704,0.890841,2000,0.835781|0.844944|0.839403|0.866486|0.844033,468,228
6,thinker_layer_6,0.85086,0.012203,0.802218,0.894942,2000,0.836749|0.846920|0.846377|0.873441|0.850814,468,228
7,thinker_layer_7,0.851867,0.01251,0.805593,0.894783,2000,0.832371|0.851559|0.851046|0.871900|0.852460,468,228
8,thinker_layer_8,0.853685,0.010084,0.807833,0.89685,2000,0.839500|0.850349|0.857923|0.870070|0.850581,468,228
9,thinker_layer_9,0.843022,0.010471,0.79414,0.888853,2000,0.830182|0.837176|0.844150|0.861643|0.841960,468,228
10,thinker_layer_10,0.848472,0.008738,0.800698,0.893582,2000,0.837602|0.847307|0.849719|0.863929|0.843801,468,228
11,thinker_layer_11,0.855246,0.010545,0.807805,0.899317,2000,0.843084|0.853681|0.854262|0.874777|0.850426,468,228
12,thinker_layer_12,0.86055,0.008446,0.815463,0.903512,2000,0.849322|0.857439|0.861740|0.875281|0.858969,468,228
13,thinker_layer_13,0.863363,0.008489,0.817858,0.906241,2000,0.857168|0.855521|0.861914|0.879427|0.862786,468,228
14,thinker_layer_14,0.858127,0.008937,0.81331,0.902444,2000,0.849283|0.852751|0.856509|0.875107|0.856984,468,228
15,thinker_layer_15,0.854752,0.008744,0.8091,0.899135,2000,0.844595|0.850988|0.856180|0.870612|0.851385,468,228
16,thinker_layer_16,0.858464,0.007501,0.813795,0.902113,2000,0.848411|0.859105|0.858359|0.871426|0.855017,468,228
17,thinker_layer_17,0.8547,0.006916,0.809831,0.898223,2000,0.847540|0.856809|0.855695|0.866060|0.847394,468,228
18,thinker_layer_18,0.852269,0.006068,0.80659,0.89535,2000,0.848102|0.855386|0.853138|0.861197|0.843520,468,228
19,thinker_layer_19,0.841999,0.006392,0.794803,0.887625,2000,0.834037|0.843181|0.847385|0.850097|0.835296,468,228
20,thinker_layer_20,0.839936,0.007807,0.792114,0.886271,2000,0.828264|0.840062|0.844702|0.851162|0.835490,468,228
21,thinker_layer_21,0.846914,0.007872,0.800942,0.890524,2000,0.834347|0.847404|0.853545|0.856451|0.842823,468,228
22,thinker_layer_22,0.848572,0.006976,0.801754,0.893407,2000,0.837292|0.848034|0.855056|0.856693|0.845787,468,228
23,thinker_layer_23,0.847334,0.006739,0.801367,0.891844,2000,0.837970|0.843568|0.854746|0.855386|0.845002,468,228
24,thinker_layer_24,0.854709,0.005474,0.810216,0.898862,2000,0.846707|0.852460|0.861410|0.860325|0.852644,468,228
25,thinker_layer_25,0.858935,0.006958,0.815094,0.901249,2000,0.848092|0.860790|0.863929|0.867571|0.854291,468,228
26,thinker_layer_26,0.850852,0.006439,0.806822,0.894567,2000,0.839752|0.853545|0.856238|0.857013|0.847714,468,228
27,thinker_layer_27,0.852524,0.005261,0.808302,0.898195,2000,0.843317|0.852751|0.856238|0.858756|0.851559,468,228
28,thinker_layer_28,0.853644,0.005149,0.81047,0.897594,2000,0.847714|0.850058|0.855705|0.862495|0.852247,468,228
29,thinker_layer_29,0.855701,0.004071,0.812878,0.898978,2000,0.853894|0.851453|0.856761|0.863096|0.853303,468,228
30,thinker_layer_30,0.857478,0.004853,0.814448,0.901115,2000,0.851085|0.857458|0.858659|0.865653|0.854533,468,228
31,thinker_layer_31,0.857733,0.005749,0.814176,0.902656,2000,0.850077|0.856819|0.858175|0.867823|0.855773,468,228
32,thinker_layer_32,0.855738,0.00669,0.811399,0.899879,2000,0.847637|0.855289|0.855560|0.867842|0.852363,468,228
33,thinker_layer_33,0.855612,0.005808,0.811638,0.89974,2000,0.846775|0.855366|0.853700|0.864742|0.857478,468,228
34,thinker_layer_34,0.848551,0.005764,0.803776,0.893267,2000,0.842987|0.847985|0.845118|0.859551|0.847114,468,228
35,thinker_layer_35,0.843855,0.005762,0.798609,0.889902,2000,0.839461|0.841496|0.841592|0.855269|0.841457,468,228
36,thinker_layer_36,0.852462,0.004168,0.809396,0.896267,2000,0.851705|0.850978|0.851705|0.860248|0.847675,468,228
37,thinker_layer_37,0.854461,0.005153,0.811258,0.897466,2000,0.850697|0.853439|0.856296|0.863348|0.848528,468,228
38,thinker_layer_38,0.857904,0.006,0.814316,0.900948,2000,0.853836|0.863754|0.858969|0.864355|0.848605,468,228
39,thinker_layer_39,0.857272,0.005838,0.81404,0.899816,2000,0.850852|0.858214|0.861778|0.865091|0.850426,468,228
40,thinker_layer_40,0.85513,0.006168,0.811189,0.898106,2000,0.848411|0.853874|0.862108|0.862495|0.848760,468,228
41,thinker_layer_41,0.842778,0.005869,0.79759,0.886316,2000,0.840333|0.841108|0.847075|0.851201|0.834173,468,228
42,thinker_layer_42,0.839305,0.009827,0.793903,0.882861,2000,0.830899|0.841379|0.841563|0.855386|0.827296,468,228
43,thinker_layer_43,0.842084,0.008885,0.796776,0.885741,2000,0.831829|0.842096|0.845060|0.856993|0.834444,468,228
44,thinker_layer_44,0.844217,0.006428,0.799204,0.886697,2000,0.840285|0.843956|0.846222|0.854921|0.835703,468,228
45,thinker_layer_45,0.838696,0.006671,0.792912,0.882345,2000,0.834928|0.841253|0.840759|0.848198|0.828342,468,228
46,thinker_layer_46,0.842313,0.007216,0.795897,0.885068,2000,0.840953|0.841844|0.848005|0.850833|0.829930,468,228
47,thinker_layer_47,0.842898,0.007875,0.797015,0.884763,2000,0.840120|0.847792|0.845602|0.851879|0.829097,468,228
48,thinker_layer_48,0.847768,0.01003,0.804062,0.889712,2000,0.845176|0.851569|0.854901|0.857671|0.829523,468,228
