dataset,task,model,n,prevalence,auc,bal_naive,bal_median,bal_prevquant,bal_oracle,t_median,t_prevquant
dcaps,interview,audio-flamingo-3,275,0.24,0.858,0.772,0.768,0.741,0.797,0.3187,0.5791
dcaps,interview,kimi-audio,275,0.24,0.831,0.697,0.748,0.731,0.77,0.7305,0.934
dcaps,interview,qwen2-audio,275,0.24,0.643,0.564,0.589,0.591,0.617,0.8387,0.9479
dcaps,interview,qwen2.5-omni,275,0.24,0.835,0.767,0.748,0.721,0.788,0.053,0.6302
italian,read,audio-flamingo-3,236,0.449,0.683,0.624,0.637,0.657,0.663,0.5313,0.5486
italian,read,kimi-audio,236,0.449,0.816,0.757,0.731,0.735,0.78,0.3992,0.435
italian,read,qwen2-audio,236,0.449,0.792,0.5,0.714,0.726,0.754,0.9519,0.9566
italian,read,qwen2.5-omni,236,0.449,0.741,0.5,0.688,0.683,0.692,0.0519,0.0548
italian,vowel,qwen2-audio,495,0.556,0.514,0.508,0.521,0.525,0.546,0.9274,0.9099
italian,vowel,qwen2.5-omni,495,0.556,0.453,0.5,0.456,0.46,0.53,0.0691,0.0666
kcl,read,audio-flamingo-3,37,0.432,0.652,0.661,0.653,0.67,0.67,0.508,0.5192
kcl,read,kimi-audio,37,0.432,0.682,0.57,0.708,0.67,0.732,0.2465,0.2953
kcl,read,qwen2-audio,37,0.432,0.604,0.5,0.543,0.56,0.616,0.9885,0.9902
kcl,read,qwen2.5-omni,37,0.432,0.759,0.5,0.708,0.67,0.699,0.0391,0.0396
neurovoz,vowel,audio-flamingo-3,1035,0.54,0.525,0.499,0.516,0.518,0.522,0.2878,0.2846
neurovoz,vowel,kimi-audio,1035,0.54,0.513,0.49,0.516,0.51,0.522,0.3159,0.3007
neurovoz,vowel,qwen2-audio,1035,0.54,0.573,0.512,0.567,0.559,0.569,0.9073,0.8985
neurovoz,vowel,qwen2.5-omni,1035,0.54,0.604,0.5,0.576,0.568,0.574,0.0927,0.0908
pcgita,read,audio-flamingo-3,1117,0.501,0.549,0.513,0.544,0.545,0.55,0.3962,0.3962
pcgita,read,kimi-audio,1117,0.501,0.616,0.565,0.573,0.572,0.581,0.4485,0.4483
pcgita,read,qwen2-audio,1117,0.501,0.539,0.5,0.514,0.515,0.532,0.9928,0.9927
pcgita,read,qwen2.5-omni,1117,0.501,0.636,0.5,0.609,0.61,0.608,0.0354,0.0354
pcgita,vowel,audio-flamingo-3,2000,0.5,0.559,0.5,0.533,0.533,0.55,0.3041,0.3041
pcgita,vowel,kimi-audio,2000,0.5,0.526,0.522,0.506,0.506,0.525,0.4497,0.4497
pcgita,vowel,qwen2-audio,2000,0.5,0.553,0.501,0.535,0.535,0.554,0.9571,0.9571
pcgita,vowel,qwen2.5-omni,2000,0.5,0.498,0.5,0.504,0.504,0.516,0.0656,0.0656
