source,dataset,task,model,window,n_clips,n_spk,prevalence,mean_p,yes_rate_at_0p5,auc_clip,auc_spk,balacc_naive,acc_naive,f1_naive,balacc_nested_thr,acc_nested_thr,f1_nested_thr,balacc_nested_platt,thr_mean,thr_sd,gain_balacc,gain_ci_lo,gain_ci_hi,shuffle_balacc,shuffle_sd
dcaps|interview|audio-flamingo-3|30s,dcaps,interview,audio-flamingo-3,30s,275,275,0.24,0.536,0.622,0.589,0.589,0.53,0.458,0.371,0.55,0.607,0.349,0.5,0.606,0.044,0.02,-0.04,0.076,0.506,0.045
dcaps|interview|audio-flamingo-3|300s,dcaps,interview,audio-flamingo-3,300s,275,275,0.24,0.385,0.298,0.858,0.858,0.772,0.804,0.635,0.731,0.749,0.571,0.747,0.468,0.095,-0.041,-0.091,0.008,0.505,0.028
dcaps|interview|kimi-audio|30s,dcaps,interview,kimi-audio,30s,275,275,0.24,0.635,0.698,0.624,0.624,0.599,0.469,0.434,0.593,0.538,0.42,0.498,0.614,0.053,-0.006,-0.058,0.043,0.51,0.03
dcaps|interview|kimi-audio|300s,dcaps,interview,kimi-audio,300s,275,275,0.24,0.646,0.64,0.831,0.831,0.697,0.571,0.512,0.732,0.735,0.568,0.669,0.843,0.033,0.035,-0.025,0.091,0.511,0.042
dcaps|interview|qwen2-audio|abl,dcaps,interview,qwen2-audio,abl,275,275,0.24,0.733,0.796,0.643,0.643,0.564,0.393,0.414,0.553,0.556,0.371,0.495,0.839,0.071,-0.012,-0.078,0.055,0.509,0.035
dcaps|interview|qwen2.5-omni|abl,dcaps,interview,qwen2.5-omni,abl,275,275,0.24,0.285,0.276,0.835,0.835,0.767,0.811,0.634,0.752,0.756,0.594,0.672,0.2,0.122,-0.015,-0.046,0.023,0.5,0.03
italian|read|audio-flamingo-3|30s,italian,read,audio-flamingo-3,30s,236,65,0.449,0.518,0.619,0.683,0.819,0.624,0.61,0.635,0.655,0.661,0.612,0.643,0.554,0.002,0.031,-0.023,0.084,0.498,0.035
italian|read|kimi-audio|30s,italian,read,kimi-audio,30s,236,65,0.449,0.468,0.377,0.816,0.896,0.757,0.767,0.718,0.771,0.784,0.727,0.765,0.523,0.006,0.014,-0.013,0.037,0.505,0.041
italian|read|qwen2-audio|abl,italian,read,qwen2-audio,abl,236,65,0.449,0.929,1.0,0.792,0.84,0.5,0.449,0.62,0.736,0.75,0.681,0.733,0.974,0.002,0.236,0.158,0.314,0.499,0.037
italian|read|qwen2.5-omni|abl,italian,read,qwen2.5-omni,abl,236,65,0.449,0.073,0.0,0.741,0.792,0.5,0.551,0.0,0.671,0.674,0.638,0.657,0.055,0.004,0.171,0.084,0.256,0.505,0.055
italian|vowel|qwen2-audio|abl,italian,vowel,qwen2-audio,abl,495,50,0.556,0.869,0.968,0.514,0.565,0.508,0.56,0.711,0.529,0.558,0.665,0.488,0.811,0.013,0.021,-0.028,0.069,0.509,0.036
italian|vowel|qwen2.5-omni|abl,italian,vowel,qwen2.5-omni,abl,495,50,0.556,0.072,0.0,0.453,0.471,0.5,0.444,0.0,0.517,0.471,0.171,0.474,0.102,0.004,0.017,-0.012,0.045,0.514,0.037
kcl|read|audio-flamingo-3|30s,kcl,read,audio-flamingo-3,30s,37,37,0.432,0.521,0.568,0.652,0.652,0.661,0.649,0.649,0.622,0.622,0.588,0.53,0.508,0.012,-0.039,-0.139,0.048,0.481,0.062
kcl|read|kimi-audio|30s,kcl,read,kimi-audio,30s,37,37,0.432,0.311,0.108,0.682,0.682,0.57,0.622,0.3,0.732,0.73,0.706,0.64,0.25,0.0,0.162,-0.003,0.31,0.499,0.079
kcl|read|qwen2-audio|abl,kcl,read,qwen2-audio,abl,37,37,0.432,0.985,1.0,0.604,0.604,0.5,0.432,0.604,0.576,0.595,0.483,0.624,0.989,0.012,0.076,-0.077,0.233,0.492,0.078
kcl|read|qwen2.5-omni|abl,kcl,read,qwen2.5-omni,abl,37,37,0.432,0.043,0.0,0.759,0.759,0.5,0.568,0.0,0.699,0.676,0.7,0.57,0.035,0.0,0.199,0.063,0.333,0.515,0.086
neurovoz|vowel|audio-flamingo-3|30s,neurovoz,vowel,audio-flamingo-3,30s,1035,107,0.54,0.288,0.001,0.525,0.555,0.499,0.459,0.0,0.498,0.502,0.545,0.507,0.277,0.027,-0.001,-0.072,0.066,0.499,0.014
neurovoz|vowel|kimi-audio|30s,neurovoz,vowel,kimi-audio,30s,1035,107,0.54,0.325,0.043,0.513,0.523,0.49,0.453,0.063,0.508,0.512,0.551,0.498,0.304,0.026,0.019,-0.022,0.058,0.503,0.02
neurovoz|vowel|qwen2-audio|abl,neurovoz,vowel,qwen2-audio,abl,1035,107,0.54,0.855,0.954,0.573,0.621,0.512,0.548,0.697,0.544,0.542,0.55,0.501,0.909,0.023,0.033,-0.008,0.074,0.497,0.019
neurovoz|vowel|qwen2.5-omni|abl,neurovoz,vowel,qwen2.5-omni,abl,1035,107,0.54,0.094,0.0,0.604,0.667,0.5,0.46,0.0,0.56,0.57,0.631,0.574,0.087,0.004,0.06,0.014,0.106,0.502,0.024
pcgita|read|audio-flamingo-3|30s,pcgita,read,audio-flamingo-3,30s,1117,117,0.501,0.411,0.23,0.549,0.607,0.513,0.512,0.333,0.543,0.543,0.561,0.543,0.384,0.007,0.031,0.004,0.057,0.496,0.012
pcgita|read|kimi-audio|30s,pcgita,read,kimi-audio,30s,1117,117,0.501,0.457,0.346,0.616,0.669,0.565,0.565,0.486,0.56,0.56,0.57,0.565,0.443,0.035,-0.005,-0.039,0.027,0.509,0.02
pcgita|read|qwen2-audio|30s,pcgita,read,qwen2-audio,30s,1117,117,0.501,0.985,1.0,0.539,0.626,0.5,0.501,0.668,0.523,0.524,0.624,0.523,0.978,0.006,0.023,-0.009,0.051,0.496,0.013
pcgita|read|qwen2.5-omni|full,pcgita,read,qwen2.5-omni,full,1117,117,0.501,0.045,0.0,0.636,0.728,0.5,0.499,0.0,0.605,0.605,0.567,0.603,0.042,0.002,0.105,0.063,0.147,0.502,0.02
pcgita|vowel|audio-flamingo-3|30s,pcgita,vowel,audio-flamingo-3,30s,2000,100,0.5,0.308,0.002,0.559,0.608,0.5,0.5,0.004,0.545,0.545,0.419,0.532,0.328,0.002,0.045,0.002,0.087,0.499,0.018
pcgita|vowel|kimi-audio|30s,pcgita,vowel,kimi-audio,30s,2000,100,0.5,0.448,0.32,0.526,0.542,0.522,0.522,0.417,0.506,0.506,0.271,0.502,0.547,0.041,-0.016,-0.051,0.02,0.496,0.021
pcgita|vowel|qwen2-audio|abl,pcgita,vowel,qwen2-audio,abl,2000,100,0.5,0.917,0.984,0.553,0.582,0.501,0.501,0.664,0.554,0.554,0.467,0.534,0.975,0.0,0.053,0.02,0.086,0.498,0.016
pcgita|vowel|qwen2.5-omni|abl,pcgita,vowel,qwen2.5-omni,abl,2000,100,0.5,0.071,0.0,0.498,0.491,0.5,0.5,0.0,0.499,0.499,0.602,0.458,0.045,0.02,-0.001,-0.049,0.049,0.494,0.017
