prompt_id,conflict_balacc_nested,conflict_majority_baseline,mean_p_conflict,mean_p_agreement,auc_conflict,auc_agreement,thr_mean,thr_sd,conflict_acc_nested,conflict_acc_ci_lo,conflict_acc_ci_hi,follows_words,agreement_acc_nested,pred_dep_rate_conflict,answer_mass,shuffle_acc,delta_vs_baseline,delta_ci_lo,delta_ci_hi,significant
P00_baseline,0.348,0.708,0.064,0.278,0.297,0.868,0.038,0.004,0.303,0.238,0.377,0.697,0.805,0.328,0.98,0.506,0.0,0.0,0.0,False
P01_voice,0.365,0.708,0.07,0.238,0.298,0.872,0.049,0.017,0.349,0.283,0.421,0.651,0.774,0.405,0.95,0.504,0.046,0.0,0.092,False
P02_ignore_words,0.3,0.708,0.125,0.296,0.279,0.896,0.102,0.007,0.272,0.214,0.338,0.728,0.836,0.349,0.961,0.502,-0.031,-0.079,0.014,False
P03_words_misleading,0.329,0.708,0.108,0.304,0.291,0.868,0.08,0.01,0.297,0.237,0.367,0.703,0.841,0.354,0.971,0.506,-0.005,-0.052,0.039,False
P04_acoustic_list,0.33,0.708,0.084,0.265,0.295,0.871,0.071,0.005,0.277,0.212,0.355,0.723,0.81,0.303,0.974,0.5,-0.026,-0.072,0.018,False
P05_clinician,0.349,0.708,0.131,0.236,0.32,0.824,0.142,0.01,0.297,0.231,0.37,0.703,0.733,0.313,0.937,0.515,-0.005,-0.061,0.051,False
P06_foreign_language,0.343,0.708,0.086,0.286,0.293,0.866,0.056,0.012,0.318,0.257,0.389,0.682,0.79,0.374,0.959,0.499,0.015,-0.023,0.055,False
P07_prosody_not_semantics,0.338,0.708,0.058,0.161,0.294,0.856,0.042,0.004,0.333,0.268,0.402,0.667,0.8,0.421,0.949,0.499,0.031,-0.031,0.085,False
P08_symptom_acoustic,0.387,0.708,0.255,0.337,0.339,0.8,0.267,0.01,0.379,0.307,0.459,0.621,0.718,0.436,0.972,0.498,0.078,0.005,0.144,True
P09_polarity_flip,0.256,0.708,0.47,0.685,0.174,0.967,0.556,0.028,0.246,0.189,0.31,0.754,0.944,0.374,0.924,0.513,-0.057,-0.113,0.0,False
P10_balanced_prior,0.369,0.708,0.097,0.28,0.337,0.859,0.088,0.014,0.318,0.254,0.391,0.682,0.79,0.323,0.982,0.508,0.015,-0.022,0.053,False
P11_ignore_words_prior,0.329,0.708,0.207,0.312,0.313,0.891,0.203,0.01,0.313,0.256,0.377,0.687,0.795,0.39,0.967,0.508,0.01,-0.046,0.065,False
