model,source,target,t_source,bal_target,bal_target_naive,bal_target_oracle,gain_vs_naive
audio-flamingo-3,italian|read,kcl|read,0.555,0.607,0.661,0.67,-0.054
audio-flamingo-3,italian|read,neurovoz|vowel,0.555,0.5,0.499,0.522,0.001
audio-flamingo-3,italian|read,pcgita|vowel,0.555,0.499,0.5,0.55,-0.001
audio-flamingo-3,italian|read,pcgita|read,0.555,0.504,0.513,0.55,-0.009
audio-flamingo-3,kcl|read,italian|read,0.515,0.621,0.624,0.663,-0.003
audio-flamingo-3,kcl|read,neurovoz|vowel,0.515,0.5,0.499,0.522,0.001
audio-flamingo-3,kcl|read,pcgita|vowel,0.515,0.499,0.5,0.55,-0.001
audio-flamingo-3,kcl|read,pcgita|read,0.515,0.508,0.513,0.55,-0.005
audio-flamingo-3,neurovoz|vowel,italian|read,0.305,0.52,0.624,0.663,-0.104
audio-flamingo-3,neurovoz|vowel,kcl|read,0.305,0.524,0.661,0.67,-0.137
audio-flamingo-3,neurovoz|vowel,pcgita|vowel,0.305,0.532,0.5,0.55,0.032
audio-flamingo-3,neurovoz|vowel,pcgita|read,0.305,0.519,0.513,0.55,0.006
audio-flamingo-3,pcgita|vowel,italian|read,0.33,0.515,0.624,0.663,-0.109
audio-flamingo-3,pcgita|vowel,kcl|read,0.33,0.548,0.661,0.67,-0.113
audio-flamingo-3,pcgita|vowel,neurovoz|vowel,0.33,0.5,0.499,0.522,0.001
audio-flamingo-3,pcgita|vowel,pcgita|read,0.33,0.531,0.513,0.55,0.018
audio-flamingo-3,pcgita|read,italian|read,0.375,0.537,0.624,0.663,-0.087
audio-flamingo-3,pcgita|read,kcl|read,0.375,0.548,0.661,0.67,-0.113
audio-flamingo-3,pcgita|read,neurovoz|vowel,0.375,0.5,0.499,0.522,0.001
audio-flamingo-3,pcgita|read,pcgita|vowel,0.375,0.516,0.5,0.55,0.016
kimi-audio,italian|read,kcl|read,0.52,0.57,0.57,0.732,0.0
kimi-audio,italian|read,neurovoz|vowel,0.52,0.493,0.49,0.522,0.003
kimi-audio,italian|read,pcgita|vowel,0.52,0.518,0.522,0.525,-0.004
kimi-audio,italian|read,pcgita|read,0.52,0.572,0.565,0.581,0.007
kimi-audio,kcl|read,italian|read,0.25,0.578,0.757,0.78,-0.179
kimi-audio,kcl|read,neurovoz|vowel,0.25,0.512,0.49,0.522,0.022
kimi-audio,kcl|read,pcgita|vowel,0.25,0.506,0.522,0.525,-0.016
kimi-audio,kcl|read,pcgita|read,0.25,0.515,0.565,0.581,-0.05
kimi-audio,neurovoz|vowel,italian|read,0.285,0.625,0.757,0.78,-0.132
kimi-audio,neurovoz|vowel,kcl|read,0.285,0.701,0.57,0.732,0.131
kimi-audio,neurovoz|vowel,pcgita|vowel,0.285,0.508,0.522,0.525,-0.014
kimi-audio,neurovoz|vowel,pcgita|read,0.285,0.535,0.565,0.581,-0.03
kimi-audio,pcgita|vowel,italian|read,0.49,0.762,0.757,0.78,0.005
kimi-audio,pcgita|vowel,kcl|read,0.49,0.577,0.57,0.732,0.007
kimi-audio,pcgita|vowel,neurovoz|vowel,0.49,0.487,0.49,0.522,-0.003
kimi-audio,pcgita|vowel,pcgita|read,0.49,0.575,0.565,0.581,0.01
kimi-audio,pcgita|read,italian|read,0.485,0.771,0.757,0.78,0.014
kimi-audio,pcgita|read,kcl|read,0.485,0.577,0.57,0.732,0.007
kimi-audio,pcgita|read,neurovoz|vowel,0.485,0.486,0.49,0.522,-0.004
kimi-audio,pcgita|read,pcgita|vowel,0.485,0.523,0.522,0.525,0.001
qwen2-audio,pcgita|read,italian|read,0.975,0.754,0.5,0.754,0.254
qwen2-audio,pcgita|read,italian|vowel,0.975,0.487,0.508,0.546,-0.021
qwen2-audio,pcgita|read,kcl|read,0.975,0.525,0.5,0.616,0.025
qwen2-audio,pcgita|read,neurovoz|vowel,0.975,0.538,0.512,0.569,0.026
qwen2-audio,pcgita|read,pcgita|vowel,0.975,0.554,0.501,0.554,0.053
qwen2-audio,italian|read,pcgita|read,0.975,0.532,0.5,0.532,0.032
qwen2-audio,italian|read,italian|vowel,0.975,0.487,0.508,0.546,-0.021
qwen2-audio,italian|read,kcl|read,0.975,0.525,0.5,0.616,0.025
qwen2-audio,italian|read,neurovoz|vowel,0.975,0.538,0.512,0.569,0.026
qwen2-audio,italian|read,pcgita|vowel,0.975,0.554,0.501,0.554,0.053
qwen2-audio,italian|vowel,pcgita|read,0.815,0.499,0.5,0.532,-0.001
qwen2-audio,italian|vowel,italian|read,0.815,0.532,0.5,0.754,0.032
qwen2-audio,italian|vowel,kcl|read,0.815,0.5,0.5,0.616,0.0
qwen2-audio,italian|vowel,neurovoz|vowel,0.815,0.523,0.512,0.569,0.011
qwen2-audio,italian|vowel,pcgita|vowel,0.815,0.507,0.501,0.554,0.006
qwen2-audio,kcl|read,pcgita|read,0.995,0.511,0.5,0.532,0.011
qwen2-audio,kcl|read,italian|read,0.995,0.575,0.5,0.754,0.075
qwen2-audio,kcl|read,italian|vowel,0.995,0.49,0.508,0.546,-0.018
qwen2-audio,kcl|read,neurovoz|vowel,0.995,0.505,0.512,0.569,-0.007
qwen2-audio,kcl|read,pcgita|vowel,0.995,0.52,0.501,0.554,0.019
qwen2-audio,neurovoz|vowel,pcgita|read,0.905,0.5,0.5,0.532,0.0
qwen2-audio,neurovoz|vowel,italian|read,0.905,0.645,0.5,0.754,0.145
qwen2-audio,neurovoz|vowel,italian|vowel,0.905,0.524,0.508,0.546,0.016
qwen2-audio,neurovoz|vowel,kcl|read,0.905,0.5,0.5,0.616,0.0
qwen2-audio,neurovoz|vowel,pcgita|vowel,0.905,0.51,0.501,0.554,0.009
qwen2-audio,pcgita|vowel,pcgita|read,0.975,0.532,0.5,0.532,0.032
qwen2-audio,pcgita|vowel,italian|read,0.975,0.754,0.5,0.754,0.254
qwen2-audio,pcgita|vowel,italian|vowel,0.975,0.487,0.508,0.546,-0.021
qwen2-audio,pcgita|vowel,kcl|read,0.975,0.525,0.5,0.616,0.025
qwen2-audio,pcgita|vowel,neurovoz|vowel,0.975,0.538,0.512,0.569,0.026
qwen2.5-omni,pcgita|read,italian|read,0.04,0.596,0.5,0.692,0.096
qwen2.5-omni,pcgita|read,italian|vowel,0.04,0.493,0.5,0.53,-0.007
qwen2.5-omni,pcgita|read,kcl|read,0.04,0.638,0.5,0.699,0.138
qwen2.5-omni,pcgita|read,neurovoz|vowel,0.04,0.502,0.5,0.574,0.002
qwen2.5-omni,pcgita|read,pcgita|vowel,0.04,0.493,0.5,0.516,-0.007
qwen2.5-omni,italian|read,pcgita|read,0.06,0.573,0.5,0.608,0.073
qwen2.5-omni,italian|read,italian|vowel,0.06,0.436,0.5,0.53,-0.064
qwen2.5-omni,italian|read,kcl|read,0.06,0.594,0.5,0.699,0.094
qwen2.5-omni,italian|read,neurovoz|vowel,0.06,0.519,0.5,0.574,0.019
qwen2.5-omni,italian|read,pcgita|vowel,0.06,0.506,0.5,0.516,0.006
qwen2.5-omni,italian|vowel,pcgita|read,0.1,0.53,0.5,0.608,0.03
qwen2.5-omni,italian|vowel,italian|read,0.1,0.631,0.5,0.692,0.131
qwen2.5-omni,italian|vowel,kcl|read,0.1,0.531,0.5,0.699,0.031
qwen2.5-omni,italian|vowel,neurovoz|vowel,0.1,0.567,0.5,0.574,0.067
qwen2.5-omni,italian|vowel,pcgita|vowel,0.1,0.487,0.5,0.516,-0.013
qwen2.5-omni,kcl|read,pcgita|read,0.035,0.603,0.5,0.608,0.103
qwen2.5-omni,kcl|read,italian|read,0.035,0.571,0.5,0.692,0.071
qwen2.5-omni,kcl|read,italian|vowel,0.035,0.499,0.5,0.53,-0.001
qwen2.5-omni,kcl|read,neurovoz|vowel,0.035,0.5,0.5,0.574,0.0
qwen2.5-omni,kcl|read,pcgita|vowel,0.035,0.496,0.5,0.516,-0.004
qwen2.5-omni,neurovoz|vowel,pcgita|read,0.09,0.537,0.5,0.608,0.037
qwen2.5-omni,neurovoz|vowel,italian|read,0.09,0.629,0.5,0.692,0.129
qwen2.5-omni,neurovoz|vowel,italian|vowel,0.09,0.506,0.5,0.53,0.006
qwen2.5-omni,neurovoz|vowel,kcl|read,0.09,0.531,0.5,0.699,0.031
qwen2.5-omni,neurovoz|vowel,pcgita|vowel,0.09,0.487,0.5,0.516,-0.013
qwen2.5-omni,pcgita|vowel,pcgita|read,0.055,0.58,0.5,0.608,0.08
qwen2.5-omni,pcgita|vowel,italian|read,0.055,0.683,0.5,0.692,0.183
qwen2.5-omni,pcgita|vowel,italian|vowel,0.055,0.471,0.5,0.53,-0.029
qwen2.5-omni,pcgita|vowel,kcl|read,0.055,0.594,0.5,0.699,0.094
qwen2.5-omni,pcgita|vowel,neurovoz|vowel,0.055,0.512,0.5,0.574,0.012
