stage,auc,bacc
projector,0.573,0.509
llm_00,0.573,0.509
llm_01,0.57,0.507
llm_02,0.57,0.517
llm_03,0.566,0.531
llm_04,0.575,0.534
llm_05,0.572,0.523
llm_06,0.57,0.547
llm_07,0.57,0.527
llm_08,0.566,0.527
llm_09,0.547,0.521
llm_10,0.559,0.506
llm_11,0.576,0.509
llm_12,0.554,0.515
llm_13,0.565,0.515
llm_14,0.56,0.513
llm_15,0.559,0.52
llm_16,0.558,0.534
llm_17,0.565,0.538
llm_18,0.556,0.529
llm_19,0.562,0.531
llm_20,0.556,0.533
llm_21,0.558,0.513
llm_22,0.558,0.54
llm_23,0.568,0.534
llm_24,0.547,0.51
llm_25,0.531,0.511
llm_26,0.524,0.514
llm_27,0.508,0.518
llm_28,0.514,0.517
llm_29,0.529,0.496
llm_30,0.532,0.493
llm_31,0.531,0.501
llm_32,0.549,0.527
