layer,balacc_mean,balacc_std,auc_mean,auc_std
0,0.7552469468240894,0.032453764166401396,0.8490406910882241,0.03775177304875878
1,0.763540788721172,0.048366503086247556,0.8493022390886086,0.052164523084897205
2,0.7741703111359766,0.0373776031831295,0.8525181509254874,0.046361662821574764
3,0.7850693092771477,0.03953897003466962,0.8617143130731177,0.045266667442676156
4,0.793950923250445,0.03380524205445437,0.8700942097163182,0.039559337574854234
5,0.8027795262546105,0.01730336163110483,0.8830600648813268,0.023697328954226497
6,0.7989951942727689,0.010402800566287946,0.8881299481561085,0.021979419491140868
7,0.790171145409463,0.03507395834577482,0.8831377908298714,0.02969117903477459
8,0.8065392271137111,0.02025452104518868,0.8902344175495717,0.03357877864134285
9,0.8225173296052251,0.028966924985585722,0.9030385184778325,0.027755163788734865
10,0.8197113132112372,0.03062604640176031,0.90323299243248,0.03703613164473607
11,0.8350944476390506,0.03881845936912813,0.9150596813088197,0.03796923889008486
12,0.8374912539320393,0.022823884435961804,0.9241270447236533,0.03601252026065336
13,0.8370342055328722,0.03187868989510396,0.9211021785364288,0.036467706089433886
14,0.8340027714206844,0.038465556490164046,0.9202356198883942,0.04266008824002878
15,0.8363606693675593,0.04738505869577066,0.9172822944290246,0.046019549849878744
16,0.8482780172680414,0.058544414668374234,0.9271035135224974,0.04407304347462255
17,0.8513317607057761,0.060274587093249926,0.9326570668905539,0.041086672482407244
18,0.86281762585084,0.051527505554250924,0.9401960386567524,0.03706899430011131
19,0.8658761066448246,0.04721496616109374,0.9401761374415492,0.037438546237351565
20,0.8662939594506673,0.05548407816306363,0.9419562886386597,0.03944282486087715
21,0.8775936572650321,0.03904585215042642,0.9422319222932725,0.029241850749711876
22,0.876050137480536,0.030777250886305226,0.9446209016504055,0.0274410298852414
23,0.8619804060673557,0.04313064661393098,0.9397897681291093,0.02234675297559891
24,0.8690889363170626,0.02986711522588476,0.9483599456359236,0.0203854883405154
25,0.8705218565248541,0.03848374707859318,0.945587886599332,0.022283296591960457
26,0.8719674283831329,0.035673435655158806,0.9434895461137762,0.026537769132598914
27,0.8539593986987398,0.027640456501713637,0.9350708203884064,0.02077273029976163
28,0.8615311177423898,0.03681614452004437,0.9385591333727842,0.019690739201911348
29,0.8574555652805668,0.0435092781395463,0.9306715369602493,0.03918231939711174
30,0.8735152181706045,0.045333965599150934,0.9430656862743456,0.03882876833871416
31,0.8452216738282866,0.04787136971471521,0.923800344707433,0.04751782116148607
32,0.8475464340265949,0.05098770580474663,0.9191735005190054,0.05195850881077738
