layer,balacc,auc
0,0.5818577648766328,0.703410740203193
1,0.5269230769230769,0.7092162554426705
2,0.5145137880986937,0.7328737300435414
3,0.5050798258345428,0.6809869375907112
4,0.5290275761973875,0.6922351233671988
5,0.5288824383164006,0.6444121915820029
6,0.48991291727140784,0.5992017416545719
7,0.5138606676342525,0.6722060957910015
8,0.5477503628447025,0.7195936139332366
9,0.5468795355587809,0.7753265602322207
10,0.5558055152394775,0.7769230769230768
11,0.541654571843251,0.736211901306241
12,0.5827285921625545,0.7482583454281567
13,0.5812046444121917,0.7449927431059506
14,0.6231494920174165,0.779245283018868
15,0.6205370101596517,0.7521044992743106
16,0.6142235123367199,0.7670537010159652
17,0.814078374455733,0.8011611030478956
18,0.7875181422351234,0.8052975326560232
19,0.7230043541364296,0.7636429608127722
20,0.6866473149492017,0.7470972423802613
21,0.6751814223512337,0.6749637155297533
22,0.652322206095791,0.6912917271407837
23,0.5939767779390421,0.6615384615384615
24,0.49390420899854864,0.5015965166908563
25,0.5428156748911466,0.5891146589259797
26,0.5341074020319303,0.6817126269956458
27,0.5729317851959361,0.7235849056603774
28,0.6586357039187227,0.7639332365747461
29,0.662989840348331,0.7973149492017416
30,0.6514513788098694,0.8052975326560232
31,0.6227866473149493,0.780478955007257
32,0.6846879535558781,0.7671988388969522
