layer,balacc_mean,balacc_std,auc_mean,auc_std
0,0.64,0.1733974240485327,0.8,0.13540064007726602
1,0.7016666666666665,0.07386173268720116,0.9,0.06236095644623237
2,0.7933333333333333,0.09507307131301108,0.8333333333333334,0.11785113019775792
3,0.8099999999999999,0.07699206308300735,0.8833333333333332,0.12472191289246473
4,0.7433333333333334,0.08188745664358829,0.8833333333333334,0.06666666666666668
5,0.8133333333333335,0.10442966798547028,0.9166666666666666,0.074535599249993
6,0.7966666666666666,0.07612124831112826,0.9333333333333333,0.08164965809277261
7,0.8300000000000001,0.12434271635729657,0.95,0.040824829046386284
8,0.885,0.069602043392737,0.9333333333333332,0.062360956446232345
9,0.86,0.09963823451756751,0.95,0.040824829046386284
10,0.885,0.069602043392737,0.9166666666666666,0.074535599249993
11,0.7983333333333335,0.09809292646374775,0.9333333333333332,0.062360956446232345
12,0.7566666666666666,0.13605554421305704,0.9333333333333333,0.08164965809277258
13,0.8066666666666666,0.1057250101810247,0.9333333333333333,0.08164965809277258
14,0.8066666666666666,0.1057250101810247,0.9333333333333333,0.08164965809277258
15,0.8266666666666665,0.1586750698054921,0.9333333333333333,0.08164965809277258
16,0.8016666666666665,0.04841946348777982,0.95,0.06666666666666665
17,0.8433333333333334,0.05995368582868317,0.9666666666666668,0.06666666666666665
18,0.905,0.09273618495495704,0.9666666666666668,0.06666666666666665
19,0.885,0.10198039027185568,0.9166666666666667,0.10540925533894598
20,0.86,0.0845576726264388,0.9,0.1224744871391589
21,0.885,0.10198039027185568,0.9166666666666667,0.10540925533894598
22,0.8516666666666666,0.08472176684759224,0.9166666666666667,0.10540925533894598
23,0.8550000000000001,0.05953523699830586,0.8833333333333332,0.1130388330520878
24,0.9083333333333334,0.0927960727138337,0.9166666666666667,0.10540925533894598
25,0.925,0.09999999999999999,0.9333333333333333,0.08164965809277258
26,0.9,0.09354143466934853,0.9333333333333333,0.08164965809277258
27,0.925,0.09999999999999999,0.9166666666666667,0.10540925533894598
28,0.7383333333333334,0.18024674446127698,0.8166666666666668,0.17795130420052188
29,0.825,0.21473497877875208,0.85,0.1855921454276674
30,0.8416666666666666,0.14043582955293932,0.9166666666666667,0.12909944487358055
31,0.825,0.17159383568311667,0.9,0.12247448713915889
32,0.8416666666666666,0.18333333333333335,0.85,0.15275252316519466
