stage,auc,bacc
projector,0.85,0.772
llm_00,0.85,0.772
llm_01,0.867,0.772
llm_02,0.85,0.772
llm_03,0.867,0.772
llm_04,0.85,0.772
llm_05,0.85,0.772
llm_06,0.85,0.822
llm_07,0.867,0.822
llm_08,0.867,0.808
llm_09,0.883,0.805
llm_10,0.867,0.805
llm_11,0.867,0.805
llm_12,0.883,0.805
llm_13,0.883,0.825
llm_14,0.883,0.755
llm_15,0.85,0.735
llm_16,0.833,0.805
llm_17,0.833,0.755
llm_18,0.833,0.755
llm_19,0.833,0.73
llm_20,0.85,0.755
llm_21,0.867,0.755
llm_22,0.833,0.73
llm_23,0.85,0.713
llm_24,0.85,0.71
llm_25,0.867,0.685
llm_26,0.85,0.685
llm_27,0.833,0.685
llm_28,0.817,0.705
llm_29,0.833,0.705
llm_30,0.85,0.743
llm_31,0.833,0.78
llm_32,0.883,0.78
