row,part,task,id,paper_role,sampled,value_verified,lo,hi,n,file,resolved,method,config,check_value,check_lo,check_hi,value_status,ci_status,note
2,16,EDAICFULL,edaic_full_zeroshot_answer,PAPER VALUE,paper value,0.8278,0.7703,0.8822,275,EDAICFULL/edaic_full_gap.csv,<local data dir>/release/edaic_rerun/part16/EDAICFULL/edaic_full_gap.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/EDAICFULL/edaic_full_gap.csv,,,,FOUND IN FILE,CI ends found in file,
6,16,EDAICFULL,edaic_full_probe_ans,SUPERSEDED / NOT USED,random 10%,0.7748,0.7041,0.8387,275,EDAICFULL/edaic_full_gap.csv,<local data dir>/release/edaic_rerun/part16/EDAICFULL/edaic_full_gap.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/EDAICFULL/edaic_full_gap.csv,,,,FOUND IN FILE,CI ends found in file,
9,16,EDAICFULL,edaic_full_gap_ans_minus_answer,SUPERSEDED / NOT USED,random 10%,-0.053,-0.1046,-0.0049,275,EDAICFULL/edaic_full_gap.csv,<local data dir>/release/edaic_rerun/part16/EDAICFULL/edaic_full_gap.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/EDAICFULL/edaic_full_gap.csv,,,,FOUND IN FILE,CI ends found in file,
12,16,EDAICFULL,edaic_first30_probe_enc,RELEASED ONLY,random 10%,0.6324,0.552,0.7104,275,EDAICFULL/edaic_full_gap.csv,<local data dir>/release/edaic_rerun/part16/EDAICFULL/edaic_full_gap.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/EDAICFULL/edaic_full_gap.csv,,,,FOUND IN FILE,CI ends found in file,
17,16,M1,M1_audio_all468,PAPER VALUE,paper value,0.6578,0.6033,0.7125,468,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.6578,0.6033,0.7125,MATCH (recomputed),CI MATCH,
18,16,M1,M1_audio_conflict,PAPER VALUE,paper value,0.5322,0.4216,0.6447,146,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc conflict [p_yes],0.5322,0.4216,0.6447,MATCH (recomputed),CI MATCH,
19,16,M1,M1_audio_agreement,PAPER VALUE,paper value,0.7054,0.6431,0.7658,322,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc agreement [p_yes],0.7054,0.6431,0.7658,MATCH (recomputed),CI MATCH,
21,16,M1,M1_audio_conflict_minus_agreement,PAPER VALUE,paper value,-0.1731,-0.2958,-0.0392,468,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc conflict [p_yes] MINUS auc agreement [p_yes],-0.1731,-0.2958,-0.0392,MATCH (recomputed),CI MATCH,
25,16,M1,M1_ALT_text_all468,PAPER VALUE,paper value,0.6629,0.5983,0.7245,468,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.6629,0.5983,0.7245,MATCH (recomputed),CI MATCH,
26,16,M1,M1_ALT_text_conflict,PAPER VALUE,paper value,0.5560,0.4516,0.6680,146,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv,per-clip recompute (own Mann-Whitney),auc conflict [p_yes],0.5560,0.4516,0.6680,MATCH (recomputed),CI MATCH,
27,16,M1,M1_ALT_text_agreement,PAPER VALUE,paper value,0.7078,0.6381,0.7696,322,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv,per-clip recompute (own Mann-Whitney),auc agreement [p_yes],0.7078,0.6381,0.7696,MATCH (recomputed),CI MATCH,
28,16,M10,M10#01:MDVR_KCL_Qwen2.5_Omni_transcript_only_answer_AUC,PAPER VALUE,paper value,0.7634,0.5936,0.9118,37,<local data dir>/release/overnight2/text_new/o25_kcl_text.csv,<local data dir>/release/overnight2/text_new/o25_kcl_text.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.7634,0.5936,0.9118,MATCH (recomputed),CI MATCH,
29,16,M10,M10#02:MDVR_KCL_Qwen2.5_Omni_audio_zero_shot_answer_AUC,PAPER VALUE,paper value,0.7143,0.5210,0.8810,37,<local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.7143,0.5210,0.8810,MATCH (recomputed),CI MATCH,
30,16,M10,M10#03:MDVR_KCL_Qwen2.5_Omni_encoder_probe_AUC_single_saved_OOF_repeat,PAPER VALUE,paper value,0.7768,0.5994,0.9265,37,<local data dir>/release/omni_final/omni_kcl_enc_nested_oof.csv,<local data dir>/release/omni_final/omni_kcl_enc_nested_oof.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe],0.7768,0.5994,0.9265,MATCH (recomputed),CI MATCH,
31,16,M10,M10#04:MDVR_KCL_paired_transcript_minus_audio_answer_AUC,PAPER VALUE,paper value,0.0491,-0.1827,0.2818,37,<local data dir>/release/edaic_rerun/part16/M10_kcl_transcript.csv,<local data dir>/release/edaic_rerun/part16/M10_kcl_transcript.csv,per-clip recompute (own Mann-Whitney),auc all [p_text] MINUS auc all [p_audio],0.0491,-0.1827,0.2818,MATCH (recomputed),CI MATCH,
32,16,M10,M10#05:MDVR_KCL_paired_transcript_minus_encoder_probe_AUC,PAPER VALUE,paper value,-0.0134,-0.2383,0.2381,37,<local data dir>/release/edaic_rerun/part16/M10_kcl_transcript.csv,<local data dir>/release/edaic_rerun/part16/M10_kcl_transcript.csv,per-clip recompute (own Mann-Whitney),auc all [p_text] MINUS auc all [p_enc],-0.0134,-0.2383,0.2381,MATCH (recomputed),CI MATCH,
33,16,M11,M11#01:A_asr_reproduction_wer_vs_paper_transcript,RELEASED ONLY,random 10%,0.0000,,,37,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,per-clip recompute (own Mann-Whitney),<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.json,,,,FOUND ONLY IN SIBLING FILE,,closest natural statistic: 0.3899 (auc all [window_start_s]); 0.4390 (auc all [n_ref_words_local])
39,16,M11,M11#07:B_xsys_disagree_auc_alone,RELEASED ONLY,random 10%,0.6220,,,37,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,per-clip recompute (own Mann-Whitney),auc all [xsys_disagree],0.6220,,,MATCH (recomputed),,
46,16,M11,M11#14:C_compression_ratio_mean_PD,RELEASED ONLY,random 10%,1.5938,1.4484,1.7269,37,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,custom recompute from per-clip file (own code),mean of compression_ratio over PD rows of M11_kcl_wer.csv,1.5938,1.4484,1.7269,MATCH (recomputed),CI MATCH,
52,16,M11,M11#20:D_n_words_30s_mean_PD,RELEASED ONLY,random 10%,59.1875,46.1875,71.9375,37,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv,custom recompute from per-clip file (own code),mean of n_words_30s over PD rows of M11_kcl_wer.csv,59.1875,46.1875,71.9375,MATCH (recomputed),CI MATCH,
59,16,M11,M11#27:auc_text_condition_recomputed,PAPER VALUE,paper value,0.7634,,,37,<local data dir>/release/podE_final/out/o25_kcl_text.csv,<local data dir>/release/podE_final/out/o25_kcl_text.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.7634,,,MATCH (recomputed),,
60,16,M11,M11#28:auc_audio_condition_recomputed,PAPER VALUE,paper value,0.7143,,,37,<local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.7143,,,MATCH (recomputed),,
61,16,M11,M11#29:F_wer_vs_local_copy_mean_PD,RELEASED ONLY,random 10%,0.3123,0.1974,0.4388,37,<local data dir>/paper1_local_runs/kcl_read30b_text.csv,<local data dir>/paper1_local_runs/kcl_read30b_text.csv,custom recompute from per-clip file (own code),mean of wer_local over PD rows of M11_kcl_wer.csv,0.3123,0.1974,0.4388,MATCH (recomputed),CI MATCH,cited path is stale (<local data dir>/paper1_local_runs/kcl_read30b_text.csv); resolved under <local data dir>/
74,16,M2,M2.label_elig.kappa,RELEASED ONLY,random 10%,0.2510,0.2377,0.2653,5523,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,,,,FOUND IN FILE,CI ends found in file,
79,16,M2,M2.arm_rule_matched.agreement,RELEASED ONLY,random 10%,0.7290,0.7128,0.7460,5523,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,,,,FOUND IN FILE,CI ends found in file,
86,16,M2,M2.speakers,RELEASED ONLY,random 10%,162,,,2668,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,,,,FOUND IN FILE,,
88,16,M3,M3_pitt_clip,PAPER VALUE,paper value,0.6578,0.6033,0.7125,468,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.6578,0.6033,0.7125,MATCH (recomputed),CI MATCH,
91,16,M3,M3_pcgita_clip,PAPER VALUE,paper value,0.5635,0.4931,0.6331,1100,<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.5635,0.4931,0.6331,MATCH (recomputed),CI MATCH,
94,16,M3,M3_neurovoz_clip,PAPER VALUE,paper value,0.6951,0.6356,0.7519,1270,<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.6951,0.6356,0.7519,MATCH (recomputed),CI MATCH,
97,16,M4,M4#01:yes_rate_Qwen2.5_Omni_conflict,PAPER VALUE,paper value,0.2236,0.1792,0.2736,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5 in arm conflict, <local data dir>/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv",0.2236,0.1792,0.2736,MATCH (recomputed),CI MATCH,
