part,task/pod,id,what,value_computed,value_verified,lo,hi,n,n_spk,file,agree_4dp,paper_role,paper_sentence,printed_check,note,fragment,agree_4dp_v1,lo_verified,hi_verified,ci_check,twin_file,twin_where,twin_source,twin_note
16,EDAICFULL,edaic_full_zeroshot_answer,Qwen2.5-Omni zero-shot answer AUC,0.8278,0.8278,0.7703,0.8822,275,275,EDAICFULL/edaic_full_gap.csv,yes (twin file),PAPER VALUE,"Table 1 row ""E-DAIC & 275 (275) & 0.83 & 0.82 & 0.64"" | On E-DAIC the best probe is 0.69, at the language model, below the answer of 0.83. | 23 Sep addition, wording to be matched to the final tex (topic: E-DAIC probe values 0.7001 / 0.5884 (mean of five) with paired intervals against 0.8278)","printed 0.83, verified rounds to 0.83: MATCH","rebuild run, 300 s processor cut; the original run 0.8285 also prints 0.83",<local data dir>/release/edaic_rerun/part16/rows/EDAICFULL.tsv,verified in fragment,0.7703,0.8822,same,release/edaic_rerun/part17/verify/T7_verify.json,/cells/answer_p_yes,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_probe_enc,encoder probe AUC (per-clip OOF averaged over repeats),0.5916,0.5916,0.511,0.6706,275,275,EDAICFULL/edaic_full_gap.csv,yes (twin file),SUPERSEDED / NOT USED,,,AUC of probabilities averaged over five repeats; decision by the authors 23 Sep: not used (paper uses mean of five per-repeat AUCs),<local data dir>/release/edaic_rerun/part16/rows/EDAICFULL.tsv,verified in fragment,0.5110,0.6706,same,release/edaic_rerun/part17/verify/T7_verify.json,/cells/pub_enc_aucofmean,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_probe_proj,projector probe AUC (per-clip OOF averaged over repeats),0.5631,0.5631,0.479,0.6478,275,275,EDAICFULL/edaic_full_gap.csv,yes (twin file),SUPERSEDED / NOT USED,,,AUC of probabilities averaged over five repeats; decision by the authors 23 Sep: not used (paper uses mean of five per-repeat AUCs),<local data dir>/release/edaic_rerun/part16/rows/EDAICFULL.tsv,verified in fragment,0.4790,0.6478,same,release/edaic_rerun/part17/verify/T7_verify.json,/cells/pub_proj_aucofmean,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_probe_llm,LM probe AUC (per-clip OOF averaged over repeats),0.7088,0.7088,0.6232,0.7874,275,275,EDAICFULL/edaic_full_gap.csv,yes (twin file),SUPERSEDED / NOT USED,,,AUC of probabilities averaged over five repeats; decision by the authors 23 Sep: not used (paper uses mean of five per-repeat AUCs),<local data dir>/release/edaic_rerun/part16/rows/EDAICFULL.tsv,verified in fragment,0.6232,0.7874,same,release/edaic_rerun/part17/verify/T7_verify.json,/cells/pub_llm_aucofmean,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_probe_ans,answer-state probe AUC (per-clip OOF averaged over repeats),0.7748,0.7748,0.7041,0.8387,275,275,EDAICFULL/edaic_full_gap.csv,yes (twin file),SUPERSEDED / NOT USED,,,AUC of probabilities averaged over five repeats; decision by the authors 23 Sep: not used (paper uses mean of five per-repeat AUCs),<local data dir>/release/edaic_rerun/part16/rows/EDAICFULL.tsv,verified in fragment,0.7041,0.8387,same,release/edaic_rerun/part17/verify/T7_verify.json,/cells/pub_ans_aucofmean,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_gap_llm_minus_answer,LM probe minus zero-shot answer (paired),-0.119,-0.1190,-0.1995,-0.0478,275,275,EDAICFULL/edaic_full_gap.csv,yes (twin file),SUPERSEDED / NOT USED,,,AUC of probabilities averaged over five repeats; decision by the authors 23 Sep: not used (paper uses mean of five per-repeat AUCs),<local data dir>/release/edaic_rerun/part16/rows/EDAICFULL.tsv,verified in fragment,-0.1995,-0.0478,same,release/edaic_rerun/part17/verify/T4_verify.log,line 16,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_gap_enc_minus_answer,encoder probe minus zero-shot answer (paired),-0.2361,-0.2361,-0.3272,-0.1394,275,275,EDAICFULL/edaic_full_gap.csv,yes (twin file),SUPERSEDED / NOT USED,,,AUC of probabilities averaged over five repeats; decision by the authors 23 Sep: not used (paper uses mean of five per-repeat AUCs),<local data dir>/release/edaic_rerun/part16/rows/EDAICFULL.tsv,verified in fragment,-0.3272,-0.1394,same,release/edaic_rerun/part17/verify/T4_verify.log,line 17,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_gap_ans_minus_answer,answer-state probe minus zero-shot answer (paired),-0.053,-0.0530,-0.1046,-0.0049,275,275,EDAICFULL/edaic_full_gap.csv,yes (twin file),SUPERSEDED / NOT USED,,,AUC of probabilities averaged over five repeats; decision by the authors 23 Sep: not used (paper uses mean of five per-repeat AUCs),<local data dir>/release/edaic_rerun/part16/rows/EDAICFULL.tsv,verified in fragment,-0.1046,-0.0049,same,release/edaic_rerun/part17/verify/T7b_verify_out/T7b_verify.json,/cells/task_ans_avgprob_vs_answer_NOTUSED,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_gap_proj_minus_answer,projector probe minus zero-shot answer (paired),-0.2646,-0.2646,-0.3575,-0.1667,275,275,EDAICFULL/edaic_full_gap.csv,yes (twin file),SUPERSEDED / NOT USED,,,AUC of probabilities averaged over five repeats; decision by the authors 23 Sep: not used (paper uses mean of five per-repeat AUCs),<local data dir>/release/edaic_rerun/part16/rows/EDAICFULL.tsv,verified in fragment,-0.3575,-0.1667,same,release/edaic_rerun/part17/verify/T7b_verify_out/T7b_verify.json,/cells/task_proj_avgprob_vs_answer_NOTUSED,Mac verifier (verify folder),
16,EDAICFULL,edaic_first30_zeroshot_answer,"Qwen2.5-Omni zero-shot answer AUC, FIRST 30 s window",0.662,0.6620,0.5831,0.7315,275,275,EDAICFULL/edaic_full_gap.csv,yes (twin file),RELEASED ONLY,,,"E-DAIC window rerun (first/middle 30 s or middle 300 s); PART 21 brief from the authors lists it as released, not in the paper",<local data dir>/release/edaic_rerun/part16/rows/EDAICFULL.tsv,verified in fragment,0.5831,0.7315,same,release/edaic_rerun/part16/verify/MEDAIC_verify_results.json,/MEDAIC_w30_answer,Mac verifier (verify folder),
