id,speaker,arm,p_yes,answer_mass,wav_sha256_1mb,n_samples_scored,prompt
c000036,302,conflict,0.5623963515,0.9957788885,25a2e989d2958b604bddbac0968b6ec1be2c998dd8a1fcf413dd6c16233db90a,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000148,306,conflict,0.2690877660,0.9962471128,cc63eca24f1d70cd97eb22f0a728eb8db8ed283a966098ae0668bcd96df2c3c4,302400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000162,307,conflict,0.1260051020,0.9951797575,833daaad15842eb9e81b226c5ddfcc29e34989c8b2c1cf23c4d99461946fb169,288000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000185,308,conflict,0.3487798908,0.9957261682,eb56a28bf4c4aad787548665fd12e25ef1602222504496fc275de97eed32b08f,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000260,312,conflict,0.4075557796,0.9952333272,86e8a22ac1cd7c873bde3e9716d61cd870d88b61bd0eddf65d8b11119c34335c,177600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000312,314,conflict,0.7774896914,0.9969234020,e0003b0fdd848824040fa73f97ffd9c6e6967ae7515058855b376b8ce5e7df0c,153600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000337,315,conflict,0.3209932247,0.9959764779,efbb44766ff6d7267b9df09567bc90da55ec31b696e613d17b360348e8d629b0,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000428,321,conflict,0.0804306555,0.9975729212,03704290ad6e78728e13d140789bfce742c240b2c8ce21cf7d4d809a9bf75ef9,385600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000480,323,conflict,0.5002973272,0.9973293543,74008b64f899c15a82d4a85abd6d51eaba97f78a941fbcd694ac01e5e24a3936,270400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000564,328,conflict,0.1403977500,0.9951585829,255b01cf0723b27cd2fda7343e7d63c9d2dfeac9abc6c7eeb85971e08503a35b,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000649,332,conflict,0.9784242331,0.9988724682,b40eec7415f231699fc1df3ac3f20730d48baa5de4a7a5a57c37160d073eafe9,366400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000820,338,conflict,0.0601473146,0.9981187023,a442626496cd7a1958afdf6cbf60a5302bebece50f9d49ccbae6465ba8579b2e,452800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000825,338,conflict,0.0566821424,0.9980438538,12510efde3fe46d771b31c616d8df8ecddb4630b99da933ed9a0f269dae9cdcd,310400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000935,345,conflict,0.3210221035,0.9956547916,a6f1694d240eefa9543849ca7dab772b98495429f17f73c889d97f1e9ed4b09e,344000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000942,345,conflict,0.0675777842,0.9978619218,6d869003085356d21eb3d3aeac18ed8cc1405c08b66ff34e605fb10e28da7c77,296000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000952,345,conflict,0.8873119025,0.9973123893,fde0040bc8d9927770b9ea01f6c5ac8d72f1992a088e66a433ae7d66cc724a1c,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000957,346,conflict,0.1920742889,0.9962174743,bb60f00078c87d5f05a7d771c7eb77038b87a6e4b728e18f27f0af586695ad20,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000982,346,conflict,0.2452732830,0.9960652888,86200aa7898ce96d78f3f7544649bbd310fdd2a9aa14b972850e88b50e93140f,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000986,346,conflict,0.1330902508,0.9974954426,3cc6006938a02ba4c3b9ef57cc40fc983c976967043e531f931af78e0121b9f4,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000995,347,conflict,0.1825682542,0.9965206236,8deb23b933f0f9f74541c87754477400dd5b8ad0ed9d61a1fd8a38f3ecd3998e,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001006,348,conflict,0.1920727082,0.9963722229,9420d3a8f7fdeb0989c140acf4e318960e8e9275a90c20195ddbfb5db94f6dba,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001129,354,conflict,0.2451961598,0.9963040203,088d68049ccfa5f2cd3e503f12d013a3357ff0620bff66780847a8650d4f84c9,320000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001263,362,conflict,0.2570138708,0.9917464256,e879c3a240f95fdd4dde70e7663b4f20e7ef164d7b2584dbe676474aa1b00171,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
