id,speaker,arm,p_yes,answer_mass,wav_sha256_1mb,n_samples_scored,prompt
c000006,300,conflict,0.2122914563,0.9959274977,aa05dc187fa77b47c33f271df9917f8748a8a9b2a6a52b68c0bc7ee81b4f39e3,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000012,301,conflict,0.2121549104,0.9972393960,6abd73c6eea6fb4576b6e65885ac2c6b7829c2886f5c56e1986f91163dd0fc24,315200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000017,301,conflict,0.2815109631,0.9960885346,9a2fa985a3314fdd8ddc40ae54bbc8e348136e0434e38f17ef83fc3ba4227445,187200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000023,301,conflict,0.2815137962,0.9969742298,6004a182e1648483130f9fef95ab65d725f39c727b2166829044468b6cdad9e3,299200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000035,302,conflict,0.2019626757,0.9971563965,d686836a87dff3687aecd9015927e4572d1ef363de3072cba78e88eaa1e5e951,419200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000058,303,conflict,0.2815501031,0.9956451058,e353c7c27d9ea084240cc3482b051dc8ee7f898b88070ce5842ff4f8e248fe7a,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000064,303,conflict,0.4690428138,0.9954947829,88871b8eb1e06a2bd67a337bd8fd64ee707b1cdd52e70c0c6dce4947f4a9d7cc,267200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000144,306,conflict,0.2228572095,0.9961657971,952f4cc4df6d1254941f35a4817610bb97fce9cf6d75a2a5b65091aae425017f,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000157,307,conflict,0.6793480290,0.9963560104,087023331fd5680d09f8b1a8606ade7cb52679cebeedd461702fcd0404be7bf6,392000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000162,307,conflict,0.1260051020,0.9951797575,833daaad15842eb9e81b226c5ddfcc29e34989c8b2c1cf23c4d99461946fb169,288000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000171,307,conflict,0.2452348437,0.9954251200,956658e5d5f02c917a94fc4a9453ecf52e85bb07ee9a5cfd71b3ff9ed0cacae2,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000175,307,conflict,0.3075251645,0.9947037399,8c0eeb8347e75a9394ab6db7e2f23bdea92453a32357fa434d1a0b9a19361179,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000186,308,conflict,0.1920096468,0.9971811622,da0e5a5a18efb0bf3424e9fdad2efee42e9acf51fc5ef4a407372ee6c278f8b5,304000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000201,309,conflict,0.1128838913,0.9967280477,7623bf049e1083c1dc32cd8c3386d7d536f0aaa10eba30933d61a9fab4e91dbc,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000213,309,conflict,0.1481738841,0.9956465214,161065ef82ab641b132697cfa73fefe589c07882f9b23f8905588b27fd639f2b,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000219,310,conflict,0.1481571386,0.9937925786,0965de7740f2d6058ae2687cdc01fa74254ed2a25a594d6a6ba70a2207e10f21,320000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000227,310,conflict,0.2570989370,0.9925554395,bbc3c36f05bf8ea37ceaf7053cf61e5323e7bbb752f4211e055e2245e618182f,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000233,310,conflict,0.1825770953,0.9956017733,9d06cef3f4eb228ab4276e669aa9161e38923a953fed53af7470ad12927db980,419200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000239,311,conflict,0.1128876219,0.9977664202,d2ab60952c073a9f8b4dea2dffe339da30a9e300a897f23efe36464d1855f2ba,467200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000253,312,conflict,0.1482153673,0.9970527589,9d0b07221adeb084ce5322cb032e762053b34d5ea21cbfde01b91dd642d6110b,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000258,312,conflict,0.1128957206,0.9960365817,ad5c30e63208e2e96b07246bf2abaf5580f21a8bade2e170459387a367293b4c,348800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000263,312,conflict,0.1734364421,0.9953032881,b3340de136a807589ac1fc680fbaaf4d1163f306766e79b5912c8f2c0d7b2328,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
