id,speaker,arm,p_yes,answer_mass,wav_sha256_1mb,n_samples_scored,prompt
c000040,302,conflict,0.5470537078,0.9950176477,2ddb7286324938af4094b4e2cd19f1c5d10d703d2aec157506a9c45e047bb957,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000149,306,conflict,0.5469392571,0.9942168295,2b21ed37c481d928f3d621a4eb83b7e9cffbfb406fdfad290879c662e7625daa,352000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000176,307,conflict,0.5314355118,0.9967579246,07c1e983c59c89212742b1c01c362380c02d6e6daedecfb95f0d7f7b6454417e,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000186,308,conflict,0.1920096468,0.9971811622,da0e5a5a18efb0bf3424e9fdad2efee42e9acf51fc5ef4a407372ee6c278f8b5,304000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000291,314,conflict,0.1481779267,0.9947180152,123b5d10ed14d322c7ef06e8b065eb64576c4eb21c0998dbc400c8d815247ff4,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000325,314,conflict,0.1404432975,0.9963552058,b163d5243b7ce65271cbca45e9114e8d929baaf215b9dfb97476beecb320f88c,260800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000344,315,conflict,0.5470253991,0.9944185317,15cce452d849c68a61c311b3e14179da001973304f899f8ff1e9d740a6ff4c48,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000434,321,conflict,0.0901486459,0.9977561608,f5981b405a79626139dc79c7eec8cf39c5c6caebd4be48619e15576cfc8f83ae,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000548,327,conflict,0.2570246787,0.9965461493,1156a38e95524b6b3fd2ad0a330e2912bfccf9c3742d14b663a3933f1a3878c2,385600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000589,329,conflict,0.0954161576,0.9957703725,32a28c1d3cb70be1baa097ff6ee22f931c637dd7a159a65adb5fa63cada08f96,454400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000654,332,conflict,0.1330484925,0.9964456111,74479c93d5b4d6eaf8dc73196a3b07d0720df57ba78a73ed1e8c64c0b740819e,291200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000821,338,conflict,0.7187012485,0.9969712496,1ee90119fc03d151a1b85f97d5bf62cb1aa60f8f5750050dac145c046c0b9cc9,156800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000847,340,conflict,0.1921246224,0.9959712178,112a5f3f238db7f7943285f9f8e01d0166dbf262d28f62470dd3c945f0b4e7a5,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000939,345,conflict,0.1481472513,0.9968612194,6fb5bca25a0c26919d4b69472ae191ef5e0282fdecda636b776ce7f662b0b4b4,400000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000947,345,conflict,0.8933825674,0.9968479574,2c086716342795a9799da1c31016d5baa4d0771b26ac3e74178d051109101939,366400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000953,345,conflict,0.0851452606,0.9969711751,0ea4ac54696550a2721ef7af033136d9367d7d7526072ca7da20ad18b4b44717,371200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000971,346,conflict,0.2019337826,0.9975560904,3384af1b26533977ec973ac1d37d77d0d47a10b4162adcacb7e9d30692148df8,353600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000983,346,conflict,0.4534101690,0.9968535602,aa94802bae20388226d80b813d5ff20c499b03fb9dde8c357748e4d88a15e868,192000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000988,347,conflict,0.1193340757,0.9968121797,f79ebb4905c8b9e098b57714cc22c5a1ccdda2bee7e6f860e96cceee91373ee5,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001000,348,conflict,0.1129367002,0.9960250109,6ca6ab6ae77182dc7bbdb40ce658b28a5f4202e17e6a164a9409510f17e75357,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001007,348,conflict,0.0901503591,0.9982825816,e415f8fcc22131b3f2bc024b2def49e13938e4a5a761e4c843feaf803e559396,310400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001131,354,conflict,0.2122199209,0.9972292334,9e0593c147c5099eef3cf0be742aa909f0e993e7ca874a57eb5efc4f8b3698bd,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001265,362,conflict,0.2228181039,0.9972450584,89eb9ed0c7cd8cd6b8af00e2e49b90b60c64137e7d4df7b8471ba7faee73708b,329600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001278,363,conflict,0.1562235002,0.9973152727,94846e8998a676746e15d3f44902e26582b97efed284c4852abfdccab7a89a3c,236800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001290,363,conflict,0.5624825554,0.9958893955,9a10c019b70ada1dcdaa93895db8301fd9648315a05e45551d06f8f302174f83,457600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001308,364,conflict,0.2019337180,0.9963811189,daa83d2202e7a254d7bab3a1b36bb18e964aa26205a77a9f2f3c4a114ea17367,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001417,366,conflict,0.1920972293,0.9934149384,dfcab4ec57e14fb9e9d043047d1e745607d8897a178ee613b18d9dfbddd5ef40,401600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001447,367,conflict,0.0851423625,0.9982110485,4e76caae1d8c90e9c120fbcb77f01ecabe1c4dc02fa6703fb8ba71c05f9cb3aa,348800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001477,367,conflict,0.1259850368,0.9971794784,8829ae3d90887968b0e4d2ba5ef5ffea48d310a24d1873595443750ce32998ed,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001551,370,conflict,0.1920113385,0.9950913042,688cf1437538b0ef6c58ef9d0ba03ec4c89fb893b712a7f8c09b0a640645a431,224000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001668,374,conflict,0.4380202779,0.9962442219,d1f8f3edc9abfc2317fd30a23106c62cc4d1ddcddf732c89d000f150aec83839,424000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001676,374,conflict,0.4076560627,0.9960573912,a9c27f806dc91e8593829147fd62210e73d19f202c361a897c0f70172102202b,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001738,377,conflict,0.1009540533,0.9974535704,81d8b25fd249bc4b454c09c1459eb74cf9be417239c448a3b902e4dd10e8f6f3,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001754,377,conflict,0.1404124879,0.9961615354,b74bdbd17d5fb56248206499316e56a32d4bc196d975d34014d700f189aa7147,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001803,379,conflict,0.2690400680,0.9938111603,fd0001bb8dda94dd54674a68fb1bc584e81c521c5962d8146cd35cf6226c4a1e,288000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
