id,speaker,arm,p_yes,answer_mass,wav_sha256_1mb,n_samples_scored,prompt
c000004,300,conflict,0.2339275884,0.9944170415,50363412d5509af52c465cde247902ca4a1dc3cb607c759b63657ada712d8c64,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000011,301,conflict,0.1561987901,0.9963762462,1c9ab90c5fa49d7d982952126ff5d43a4d684f6841f6110ff17f156dc31872a4,448000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000016,301,conflict,0.3210146308,0.9953685403,7283d99dc79ab3c6c0e7454dee5cc45fb546f9d200110998386391db2cf0e6ef,401600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000022,301,conflict,0.3632037656,0.9938786030,0c040063c9f21f14896e0cf265309f9162e626aeb027ffcc8574ee897de5741f,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000028,301,conflict,0.2569734650,0.9969286919,d63c456b035923568c7c35da2f9b7a5c34cade7577ac1f8b239d9e553227a138,251200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000056,303,conflict,0.3777136468,0.9956152737,33f3f6a39f62a4a097a5b7bef9e8b85cf7c5c138baa2a8071eddfff4741d1acb,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000063,303,conflict,0.4381468154,0.9952012897,9c5585127d59cca7603be433374b2ec11c7c0fe222408e044000a36bff1da95e,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000143,306,conflict,0.1259817980,0.9969820380,991285725a897fc5506263e1f836f8452665a46e2a35fedebc53013a0e89a6c7,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000149,306,conflict,0.5469392571,0.9942168295,2b21ed37c481d928f3d621a4eb83b7e9cffbfb406fdfad290879c662e7625daa,352000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000161,307,conflict,0.1481820160,0.9951997995,5d8b6391e74e6a8fb2f02e4ca450017cba027b3d25461a5ee17422997830b07c,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000170,307,conflict,0.8934070414,0.9974272326,ac640c9eac3d4a76aadfe88c62b1ebfbdf3ff402ff9c78ed7c4f25499f5e5858,329600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000174,307,conflict,0.1259977495,0.9946427196,1c8585d820da35dfde224e0202e5ade3f7f22356223a8040484bb9689a35967c,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000182,308,conflict,0.1562217528,0.9943871498,cecb11a0f59bd525c5a61b813d0fb0e33fd20be95c103c84406ec706ee423daa,302400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000198,308,conflict,0.5314599217,0.9966073930,21a885c509db8de5302df8241cc9b2468d2e439ce5fab1809da27825cd2ce58e,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000212,309,conflict,0.3926589019,0.9972931147,867fe67ce3d442ec82feca8711b352ba116916a9822b8bd38f5896e55291a751,441600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000218,310,conflict,0.1481766630,0.9949631244,9a4890b3ec7e2d10ad7f8f9356408b3ab7b9f67d8aecea4c2b16e614b6b6543d,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000225,310,conflict,0.1481867547,0.9962585121,2ea3ed533bb8f7eae04140fe7064b0a77fa7be1b6f300af1fca2247203871038,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000232,310,conflict,0.3076763236,0.9937758744,9a799dd9da43a240733b5e94a28833ec9adbbd607d428291beaf1c1875bc81fd,371200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000237,311,conflict,0.0851756213,0.9972743914,d232c30a6a57ab08cef4793abe58c01eef1f6c8ac790a29d26eb0c00d3a1768f,182400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000251,311,conflict,0.2570056434,0.9978745282,b99e8605d0dad1ac757f311f8d8213f57fdd753af7ed4a7a96bac30dbca0ee63,336000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000257,312,conflict,0.1192940415,0.9950524420,d6deb882303f074fb7cdb1179122b4d3b6fbc82a9c2e8a964b195df3e1fe7f26,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000261,312,conflict,0.4381516236,0.9959559143,03becc7d11e9f504deb44d5a0a62b27a0bfd500ce611a31c22ce12fafc26614f,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000266,312,conflict,0.1331073773,0.9953407198,d80f060c4caacba355fd7ba51e711a6a2c0fa8064cc915c1872fa9e528833c08,452800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000296,314,conflict,0.1404194781,0.9953032136,322042cdc502555857d4c87c6f4fef0c3cb931b89732db54304b362940687e07,350400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
