id,speaker,arm,p_yes,answer_mass,wav_sha256_1mb,n_samples_scored,prompt
c000010,301,conflict,0.1646126341,0.9973136634,956a9a400ee15d6db2077ab75358d4b804e6518c6ceeeb17f62e94220e7bc4ba,435200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000064,303,conflict,0.4690428138,0.9954947829,88871b8eb1e06a2bd67a337bd8fd64ee707b1cdd52e70c0c6dce4947f4a9d7cc,267200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000157,307,conflict,0.6793480290,0.9963560104,087023331fd5680d09f8b1a8606ade7cb52679cebeedd461702fcd0404be7bf6,392000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000181,308,conflict,0.1330859902,0.9970047176,5b1755982d6e700f480a17ffc569809657cd97961e686b409fae32c3b5467c85,336000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000187,308,conflict,0.2122097077,0.9978075922,8d84f8fbee2e22af530253685c1eaa7da6be142bbbd280da4d5fca502d05d687,332800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000293,314,conflict,0.2944177588,0.9960667491,5578af9976646289b6cdb8d43b3f8fced4738709c64cd24bc9eb8714ce4262ca,475200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000333,315,conflict,0.2338637465,0.9950051159,ffaa17fef54e0db8efd8e9560b92f5f61f4ce8e9f012b2bdcd3d324da236bba8,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000345,315,conflict,0.3632256843,0.9948526919,32c447af7d5998b2c3cc4021244dc649f426a705818949da8b7688f44710516a,446400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000441,321,conflict,0.2815890803,0.9959961474,6a33f8eb1e41c5c7b4c8543cb7f2b05c5fb08f8bb3bdfdad49784023c6964a21,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000562,328,conflict,0.1260041631,0.9969932288,baa7296e3cd914f617ff26cbabdf2323ca21b4abf4763d8eada6a81c08d782f9,476800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000642,332,conflict,0.3211565135,0.9972026944,c166500e2f0920f7d2a80c4045936bd10e715ce69253b7caf74771dc66c18156,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000656,332,conflict,0.0503816231,0.9965300784,0869aa1bedb8c2821f111e80215dfa700ab3ddac98f5fac58eee0fcef73e9c85,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000822,338,conflict,0.0901728481,0.9966409579,0936eeafc75f4ba50467c9d93b250ca0362811e9cbfd4cc143b543fcb824c4fe,369600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000931,345,conflict,0.0637711271,0.9968283549,7dc63f7f3bf5761090e95aad3f64f35c3a07bede6c0894a77d4055155588cfca,398400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000940,345,conflict,0.0675798528,0.9982548431,d0d74241479cc6cedfdedb7bd629f5509eaf7b2c1b68567b6ee174b5efad70eb,374400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000948,345,conflict,0.1128552021,0.9966929257,39babb01893ff15a6e1142a15c8e858f3eff4bf2e6a6d88c7954221f46424f3b,187200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000954,346,conflict,0.1009767887,0.9953611940,18c541bbb91c0b4d04e96b703ecc2ffcd204b11b1e4ddc2f6c0e79f0760a3afa,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000972,346,conflict,0.4380742507,0.9951718450,109882e3112c104bdbc981f342358695e0ed5bdd26c517fe941e96bbe5c0662e,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000984,346,conflict,0.1646319985,0.9955525696,475064a50236dd7b4ad842dc470621f34c263c8486fae0ede28299d06fd136fe,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000990,347,conflict,0.1481765363,0.9960809350,c9d5034b3195a3aa00200c28a9046dd533315d1a8d726effa44e5796c21c4f18,366400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001001,348,conflict,0.1481766438,0.9966794699,db419d0d79bc70a9360b2666270cfec26922b7558ede3b67375420a38938b7c5,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001013,348,conflict,0.0503577100,0.9983993061,66747d344c02abfe6e639dbb30f814cbf9ec254ad1e77190a214214b74d911a5,211200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001137,354,conflict,0.1404531634,0.9978231490,f71524bbf8eacb4aeacabb998e1bb57e97ba12befed6a6a168bd8cd2560bdf1b,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001266,362,conflict,0.1921069951,0.9960833937,ef4191a61cdf55f1e1502b78093079ed3754b76026a84f477a2fc0c8f0edb570,388800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001284,363,conflict,0.1192748814,0.9960370809,7ff194a5fae9c057a6492b682893e5b9727a9124a8cc9f0f00011aa14f55e30c,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001295,363,conflict,0.8933940204,0.9979344755,72003d994588f57a0fd536d1248654c5ef03f68d796df0ea9284dd51035536b7,296000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001309,364,conflict,0.1330292363,0.9970629960,02b49d360d0785543e97623a88286a10006467773e799d2e23d286df956b3058,377600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001423,366,conflict,0.2569446007,0.9973312318,71555696bc9c4c7dc6c128066c4a365c172c7cae0c18e5144962e7447c0b37ec,145600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001473,367,conflict,0.3209789049,0.9965476394,0e5a3b2a89477dd99837317b9f3a15c37c283edb7e3fd2d2ed751028247b4dcd,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001478,367,conflict,0.2452415531,0.9965006411,b4f13c2a5f686e67b30100d4a8dce4a57e96f2f9c1dbd31ee6cefe62151d34a6,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001553,370,conflict,0.3777604997,0.9957436919,3452e6beb92e45a33a787342916571a743bdbfbf4d6637829e95fe2f221339f6,352000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001669,374,conflict,0.4076614297,0.9923068285,192733237696f17c045e363e17d1bf1a6639e9124ca5a6ab8e2b1bee7dde6180,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001684,374,conflict,0.1562200290,0.9959711283,41ca5537f3262cc8acf5b0d0611a2f5a568c03e7753049aa81adc97eb1a22efb,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001739,377,conflict,0.1920483309,0.9973864108,e97b729e87642ddde9e9613ae86d4212c610bf920b5d8d2beea2320d787b1105,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001763,377,conflict,0.7188756120,0.9981329143,117f9a7324ef61061da6f0f64b5cbe8df1e5775c3b60f548e8d3879146f404af,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001811,379,conflict,0.1646362471,0.9961606264,a2fb455d2b8305c45a28455b6629d8b4fa869ff0a240e69e50760d288d41722f,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001895,381,conflict,0.1009583072,0.9976262227,66ecd48cab38df476f6afabc14fa6a6ac2d593dcdbba001c63f89eb1ba3be4d5,356800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
