pid,win_dur_s,capped,ref_p_yes_answer,def_p_yes,def_mass,def_n_audio_tok,def_seq_len,def_peak_gib,def_sec,lift_p_yes,lift_mass,lift_n_audio_tok,lift_seq_len,lift_feat_frames,lift_fit,lift_peak_gib,lift_sec,inputs_identical,wave_samples,def_p_yes_rule,def_mass_rule,lift_p_yes_rule,lift_mass_rule
300,759.8001,0,0.09012648339238387,0.09012648339238387,0.9957385584712029,7500,7548,19.538,1.408,0.06753350315699054,0.9975392892956734,18995,19043,75980,1,25.739,2.032,0,12156801,0.09012651808097825,0.9957411512732506,0.06753355621361606,0.9975412636995316
301,900.0,1,0.06016855039552881,0.06016855039552881,0.995842132717371,7500,7548,19.538,0.417,0.04467341247324274,0.9957545734941959,22500,22548,90000,1,27.63,2.429,0,14400000,0.060168625518316914,0.9958438612520695,0.044673476986140326,0.9957563877105713
302,900.0001,1,0.7435209353838056,0.7435209353838056,0.9960575997829437,7500,7548,19.538,0.639,0.651822265212759,0.9871441125869751,22500,22548,90000,1,27.63,1.993,0,14400000,0.7435207268791079,0.9960600435733795,0.6518222554343297,0.9871461391448975
303,900.0,1,0.11285464954183343,0.11285464954183343,0.9954324141144753,7500,7548,19.538,0.739,0.06758263614051808,0.9968612566590309,22500,22548,90000,1,27.63,2.276,0,14400000,0.11285472616903496,0.9954342469573021,0.06758268550578084,0.9968628436326981
304,900.0,1,0.10104801554062459,0.10104801554062459,0.995765283703804,7500,7548,19.538,0.672,0.037372065025138596,0.9972425885498524,22500,22548,90000,1,27.63,2.683,0,14400000,0.10104810313210436,0.9957673698663712,0.037372122891604034,0.9972441345453262
305,900.0,1,0.577617711052789,0.577617711052789,0.9939565360546112,7500,7548,19.538,0.824,0.17333602924119174,0.9959503561258316,22500,22548,90000,1,27.63,2.25,0,14400000,0.5776175768305111,0.9939588308334351,0.17333608509280538,0.9959524422883987
306,619.1,0,0.1330681257374996,0.1330681257374996,0.9964426010847092,7500,7548,19.538,0.679,0.26927824228365216,0.9956004023551941,15477,15525,61910,1,23.845,1.566,0,9905600,0.1330681642009648,0.9964447766542435,0.2692782882281561,0.9956026673316956
307,900.0,1,0.2814599320204971,0.2814599320204971,0.9912126064300537,7500,7548,19.538,0.752,0.17300270017727234,0.9923797100782394,22500,22548,90000,1,27.63,1.777,0,14400000,0.28145996367607545,0.9912139773368835,0.17300283169397476,0.9923814535140991
308,369.4999,0,0.9797597912407012,0.9797597912407012,0.9987677279859781,7500,7548,19.538,0.755,0.9809116351259443,0.9986141808331013,9237,9285,36949,1,20.477,0.726,0,5911998,0.9797597489706592,0.9987692311406136,0.9809115918058922,0.9986156225204468
309,192.7,0,0.919738222881649,0.919738222881649,0.9981622397899628,4817,4865,18.103,0.491,0.919738222881649,0.9981622397899628,4817,4865,19270,1,18.103,0.429,1,3083200,0.9197381656314807,0.9981636628508568,0.9197381656314807,0.9981636628508568
310,297.8,0,0.13309448181473538,0.13309448181473538,0.9952801913022995,7445,7493,19.505,0.808,0.13309448181473538,0.9952801913022995,7445,7493,29780,1,19.505,0.754,1,4764800,0.13309452710575848,0.9952817559242249,0.13309452710575848,0.9952817559242249
311,217.7999,0,0.962769944795067,0.962769944795067,0.9989214539527893,5445,5493,18.437,0.332,0.962769944795067,0.9989214539527893,5445,5493,21780,1,18.437,0.632,1,3484798,0.9627699003164369,0.9989228621125221,0.9627699003164369,0.9989228621125221
312,340.3999,0,0.20187502343729055,0.20187502343729055,0.9950004816055298,7500,7548,19.538,0.685,0.0954695656509147,0.9968730211257935,8510,8558,34039,1,20.084,0.858,0,5446398,0.20187503216097746,0.9950022101402283,0.09546962620403984,0.9968743398785591
313,900.0,1,0.9604508699757056,0.9604508699757056,0.9979637376964092,7500,7548,19.538,0.729,0.9671362096269956,0.9976702556014061,22500,22548,90000,1,27.63,2.01,0,14400000,0.9604507831732377,0.9979655034840107,0.9671361678002465,0.9976715929806232
314,900.0,1,0.0421119496451602,0.0421119496451602,0.9958034344017506,7500,7548,19.538,0.707,0.3921704572601277,0.9935106337070465,22500,22548,90000,1,27.63,2.212,0,14400000,0.042111986965575096,0.9958050288259983,0.39217037724099885,0.9935126602649689
315,900.0,1,0.1564032860619084,0.1564032860619084,0.9959374368190765,7500,7548,19.538,0.907,0.11300819634530762,0.9965813308954239,22500,22548,90000,1,27.63,2.288,0,14400000,0.1564032927153887,0.995939776301384,0.11300822018991982,0.9965827688574791
316,226.3,0,0.8521614216716071,0.8521614216716071,0.9984191507101059,5657,5705,18.548,0.637,0.8521614216716071,0.9984191507101059,5657,5705,22630,1,18.548,0.493,1,3620800,0.852161250902517,0.9984208196401596,0.852161250902517,0.9984208196401596
317,233.9999,0,0.8671903128800207,0.8671903128800207,0.9982839971780777,5850,5898,18.653,0.479,0.8671903128800207,0.9982839971780777,5850,5898,23400,1,18.653,0.55,1,3743998,0.8671901248922643,0.9982857257127762,0.8671901248922643,0.9982857257127762
318,249.5999,0,0.08526213365983773,0.08526213365983773,0.9965317249298096,6240,6288,18.857,0.646,0.08526213365983773,0.9965317249298096,6240,6288,24960,1,18.857,0.616,1,3993598,0.08526221505382679,0.9965340942144394,0.08526221505382679,0.9965340942144394
319,900.0001,1,0.8806649218562822,0.8806649218562822,0.9969523996114731,7500,7548,19.538,0.742,0.899091209355534,0.997382141649723,22500,22548,90000,1,27.63,2.232,0,14400000,0.8806647191054967,0.9969552010297775,0.8990910027798114,0.9973841607570648
320,249.1,0,0.39341839853750976,0.39341839853750976,0.9949171841144562,6227,6275,18.85,0.575,0.39341839853750976,0.9949171841144562,6227,6275,24910,1,18.85,0.387,1,3985600,0.39341850515903354,0.9949197173118591,0.39341850515903354,0.9949197173118591
321,311.5999,0,0.9604729336203143,0.9604729336203143,0.9983805529773235,7500,7548,19.538,0.637,0.9756546634745623,0.9990125689655542,7790,7838,31159,1,19.695,0.789,0,4985598,0.9604728634220117,0.9983825497329235,0.9756546277581698,0.9990140106528997
322,537.0999,0,0.8740518173693616,0.8740518173693616,0.9975352734327316,7500,7548,19.538,0.723,0.9151700684182587,0.9982591569423676,13427,13475,53709,1,22.739,1.253,0,8593598,0.8740516695770532,0.9975369423627853,0.9151699453887773,0.9982613101601601
323,417.3001,0,0.033098375503478564,0.033098375503478564,0.997425988316536,7500,7548,19.538,0.82,0.03310067212675485,0.9977970570325851,10432,10480,41730,1,21.117,0.754,0,6676801,0.033098396648096044,0.9974274896085262,0.03310069850260036,0.9977986253798008
324,275.7001,0,0.039715089549936806,0.039715089549936806,0.9967982955276966,6893,6941,19.211,0.651,0.039715089549936806,0.9967982955276966,6893,6941,27571,1,19.211,0.414,1,4411201,0.039715158216787026,0.9968000426888466,0.039715158216787026,0.9968000426888466
325,528.2,0,0.8518310263448929,0.8518310263448929,0.9958511888980865,7500,7548,19.538,0.654,0.8991084322012811,0.9978313967585564,13205,13253,52820,1,22.613,1.367,0,8451200,0.8518308939275392,0.9958528131246567,0.899108343245708,0.9978329539299011
326,196.3,0,0.03518169085762004,0.03518169085762004,0.9980143792927265,4907,4955,18.143,0.269,0.03518169085762004,0.9980143792927265,4907,4955,19630,1,18.143,0.464,1,3140800,0.035181727463712405,0.9980157762765884,0.035181727463712405,0.9980157762765884
327,900.0,1,0.9400456304672126,0.9400456304672126,0.9980965107679367,7500,7548,19.538,0.763,0.8811532322069564,0.9976413175463676,22500,22548,90000,1,27.63,2.482,0,14400000,0.9400455657417821,0.9980982914566994,0.8811531520379045,0.9976429641246796
328,679.2,0,0.07596407369299396,0.07596407369299396,0.9958632290363312,7500,7548,19.538,0.382,0.047445863645149466,0.9975015968084335,16980,17028,67920,1,24.652,1.699,0,10867200,0.07596412413737307,0.9958654120564461,0.04744589232190568,0.9975028783082962
329,365.4,0,0.026025573638909977,0.026025573638909977,0.9974339753389359,7500,7548,19.538,0.498,0.025990501762220952,0.9980904217809439,9135,9183,36540,1,20.422,0.902,0,5846400,0.026025614259561188,0.997435424476862,0.02599052862082178,0.9980916120111942
330,181.6,0,0.636897729444262,0.636897729444262,0.9964182078838348,4540,4588,17.947,0.456,0.636897729444262,0.9964182078838348,4540,4588,18160,1,17.947,0.453,1,2905600,0.6368975763481687,0.996419757604599,0.6368975763481687,0.996419757604599
