perm_seed,auc_probe,auc_wo_trainz,auc_wo_foldz
0,0.8004455637349864,0.8011817125145293,0.7966485858194499
1,0.8102867105772956,0.8128826036419993,0.7983727237504843
2,0.7915342890352577,0.7963386284385897,0.7986826811313444
3,0.8197597830298334,0.8220069740410694,0.8271212708252615
4,0.79726850058117,0.8016079039132119,0.7788066640836885
5,0.7848895776830686,0.7874079814025572,0.7943626501356064
6,0.8210577295621851,0.8204571871367687,0.8233630375823324
7,0.8113909337466099,0.8160790391321193,0.8167183262301434
8,0.809938008523828,0.8171251452925222,0.7993800852382797
9,0.7954475009686168,0.7974622239442076,0.8003487020534676
10,0.7909337466098412,0.792309182487408,0.7922898101511042
11,0.8017047655947307,0.81474234792716,0.7931809376210771
12,0.8230337078651685,0.8239248353351414,0.8182874854707478
13,0.7926191398682682,0.7990507555211158,0.7930259589306471
14,0.791747384734599,0.790468810538551,0.7889577683068578
15,0.7899457574583495,0.7938395970554049,0.7831848120883379
16,0.8076327005036807,0.8129213483146067,0.7901007361487795
17,0.82340178225494,0.8237117396358,0.8271212708252615
18,0.815865943432778,0.8162921348314607,0.8141611778380473
19,0.7886671832623015,0.7998450213095699,0.7886284385896939
20,0.8133087950406819,0.8160015497869043,0.8216970166602092
21,0.803680743897714,0.803603254552499,0.7985664471135219
22,0.7988182874854708,0.8081363812475785,0.7913793103448276
23,0.8050755521115847,0.8132506780317706,0.8149360712901976
24,0.8238279736536226,0.8219876017047656,0.825087175513367
25,0.7995931809376211,0.8020340953118946,0.8014722975590857
26,0.8259783029833397,0.8252034095311894,0.8216970166602092
27,0.8174351026733824,0.8218907400232468,0.8192754746222395
28,0.7931034482758621,0.7933359163115071,0.7931615652847733
29,0.7989926385122046,0.8020922123208059,0.7736342502905851
30,0.8110809763657497,0.814180550174351,0.8077489345215033
31,0.8035063928709802,0.8087562960092988,0.7955443626501356
32,0.8105191786129408,0.8117590081363812,0.8079426578845409
33,0.8099573808601317,0.8138512204571872,0.8095311894614491
34,0.7990701278574196,0.8038938395970554,0.7969197985277024
35,0.7924060441689268,0.7973072452537776,0.7966873304920573
36,0.8076327005036807,0.8085044556373499,0.805443626501356
37,0.8082138705927935,0.8087562960092988,0.8087950406819062
38,0.8117202634637737,0.8152072839984502,0.8107516466485858
39,0.7979077876791941,0.8052305308020147,0.7842696629213484
40,0.8009104998062766,0.7986826811313444,0.7953700116234018
41,0.8083688492832236,0.8129019759783029,0.8053080201472298
42,0.8023440526927548,0.8037388609066254,0.7960867880666408
43,0.7877179387834172,0.7906819062378923,0.7892289810151104
44,0.8188880278961643,0.8168539325842696,0.8190430065865943
45,0.8225493994575745,0.8201472297559086,0.8191979852770244
46,0.782932971716389,0.7844052692754746,0.782448663308795
47,0.7966679581557535,0.7975009686168152,0.7956218519953506
48,0.7976946919798528,0.8088337853545138,0.7823518016272762
49,0.8030608291359937,0.8024602867105773,0.8001549786904301
50,0.8174544750096862,0.8186555598605192,0.815149166989539
51,0.808330104610616,0.810732274312282,0.801762882603642
52,0.8099961255327393,0.8150716776443239,0.7867493219682293
53,0.8139093374660984,0.8156915924060442,0.8089306470360326
54,0.8079232855482371,0.8127663696241767,0.7932777993025959
55,0.7950794265788454,0.7990120108485084,0.7905850445563735
56,0.7975009686168152,0.7984308407593956,0.7917861294072065
57,0.8141418055017435,0.8135218907400232,0.8112359550561797
58,0.8000581170089113,0.802963967454475,0.797520340953119
59,0.7944013948082139,0.7999612553273925,0.7937814800464936
60,0.785974428516079,0.7885703215807827,0.7914567996900426
61,0.7878922898101511,0.7937814800464936,0.7997094149554437
62,0.7933940333204185,0.7979271600154979,0.7781480046493607
63,0.8051917861294072,0.8030220844633863,0.798237117396358
64,0.7933746609841147,0.7960867880666408,0.7888027896164277
65,0.8168733049205734,0.8186943045331267,0.8116427741185587
66,0.8067222006974041,0.8067996900426191,0.8069159240604417
67,0.8003487020534676,0.8077683068578071,0.7814606741573034
68,0.7851995350639287,0.7850833010461061,0.7888996512979465
69,0.801840371948857,0.8054242541650523,0.8035063928709802
70,0.812340178225494,0.8093374660984115,0.8092793490895002
71,0.8204765594730724,0.8274312282061217,0.8225300271212709
72,0.8086981790003874,0.8102479659046881,0.8101511042231693
73,0.7838628438589694,0.7915924060441689,0.7876791941108098
74,0.7716582719876017,0.782448663308795,0.7510073614877955
75,0.7890546299883766,0.795834947694692,0.7890933746609841
76,0.7821387059279349,0.7862843858969392,0.763541263076327
77,0.8017435102673383,0.8061604029445951,0.7988376598217745
78,0.8084850833010461,0.8093374660984115,0.8133281673769857
79,0.8081557535838823,0.8128051142967841,0.8052692754746222
80,0.8071096474234792,0.8101123595505618,0.7933552886478109
81,0.8301433552886478,0.8309957380860131,0.8285354513754358
82,0.8005811700891128,0.8015304145679969,0.7953700116234018
83,0.7922510654784967,0.7933552886478109,0.7897907787679194
84,0.8090856257264626,0.8098605191786129,0.8068771793878342
85,0.7788066640836885,0.7793684618364974,0.766505230530802
86,0.7742541650523053,0.779407206509105,0.7872917473847346
