stage,auc_mean,auc_std,auc_oof,ref_auc_mean,ref_auc_oof
0,0.5941782945736434,0.1115957921073045,0.5902566333188343,0.5950620155038759,0.5895316804407713
1,0.6032093023255813,0.12117368507811972,0.5984486008409453,0.6008217054263566,0.596636218645788
2,0.6026124031007752,0.1139628894503148,0.6009859359141656,0.603108527131783,0.6005509641873278
3,0.613031007751938,0.12024013090971346,0.6096853704509206,0.6112015503875969,0.6095403798753081
4,0.620953488372093,0.11348257811278388,0.6170798898071626,0.6206744186046512,0.6154849934754242
5,0.6437054263565891,0.0925418765658782,0.6336088154269972,0.6407131782945736,0.6317964332318398
6,0.5961550387596899,0.08373680369186834,0.5896041757285776,0.5925503875968993,0.5868493547919386
7,0.6227596899224805,0.08385158624805569,0.613962592431492,0.6209922480620154,0.6115702479338843
8,0.676891472868217,0.0731439792752931,0.6648542844715094,0.6745581395348836,0.6633318834275772
9,0.6721627906976744,0.08813974760155138,0.6670291431056982,0.6741007751937984,0.6673916195447296
10,0.7211860465116279,0.0856585415123933,0.7078439901406408,0.7162480620155038,0.7043642163259388
11,0.7136899224806201,0.05866994435015153,0.7125561838480499,0.7113023255813953,0.7101638393504422
12,0.7247131782945736,0.06928308006708936,0.7209656372335799,0.7264883720930233,0.7232854864433812
13,0.7443875968992248,0.06454223902959355,0.7409743366681165,0.7404496124031008,0.7398869073510222
14,0.7657519379844961,0.053172331123127206,0.7612730172538785,0.7662558139534884,0.7630129041612296
15,0.7688837209302325,0.06682419373413385,0.7635928664636799,0.7649457364341086,0.7613455125416848
16,0.7543023255813953,0.043416486345411856,0.7575757575757576,0.7547984496124032,0.7577207481513702
17,0.7350697674418605,0.03476955823931967,0.7404668696534725,0.7346821705426356,0.7382195157314775
18,0.7421627906976744,0.059149513810981394,0.748006379585327,0.7405581395348838,0.7463389879657822
19,0.7224418604651163,0.06636836090613679,0.7310424822386545,0.7200077519379846,0.7287951283166595
20,0.7246124031007752,0.07228790863118659,0.7346672466289691,0.7217286821705426,0.7327098738581991
21,0.7143410852713178,0.06772150878589792,0.7232129911555749,0.7145116279069768,0.7221980571262868
22,0.7222015503875969,0.07576011229999721,0.7240104393214442,0.7165426356589147,0.7214006089604176
23,0.7267286821705425,0.06347150583814899,0.7293025953313035,0.7219612403100776,0.7251703639263448
24,0.7194496124031008,0.06684294523856184,0.7220530665506742,0.7203333333333333,0.7209656372335799
25,0.7157286821705426,0.0676941569730207,0.7144410613310135,0.715062015503876,0.7124836885602436
26,0.7189767441860465,0.07530490313247282,0.71059881107728,0.7144883720930232,0.7075540089894158
27,0.7137209302325581,0.06959176417513177,0.71059881107728,0.7156124031007751,0.7098738581992171
28,0.71884496124031,0.07815070979524058,0.7176308539944903,0.7201240310077519,0.7156009859359141
