stage,auc_mean,per_repeat
0,0.500000,0.500000|0.500000|0.500000|0.500000|0.500000
1,0.741403,0.759066|0.718907|0.744266|0.743442|0.741331
2,0.779738,0.787670|0.754039|0.787766|0.798024|0.771193
3,0.784684,0.783795|0.769634|0.775097|0.799884|0.795012
4,0.789157,0.799700|0.770961|0.783785|0.800794|0.790546
5,0.784624,0.787495|0.774361|0.784173|0.792522|0.784570
6,0.782344,0.784144|0.770050|0.782507|0.794644|0.780376
7,0.785108,0.779640|0.782003|0.790924|0.783747|0.789229
8,0.780296,0.788202|0.770467|0.786691|0.771542|0.784580
9,0.780595,0.792571|0.771406|0.788977|0.769634|0.780386
10,0.788880,0.799022|0.777683|0.799312|0.780860|0.787524
11,0.778094,0.792009|0.763231|0.786769|0.774409|0.774051
12,0.794773,0.803109|0.773683|0.806432|0.792222|0.798421
13,0.791279,0.792435|0.770767|0.810267|0.787640|0.795283
14,0.792334,0.794576|0.776269|0.803952|0.787660|0.799215
15,0.791364,0.791728|0.773499|0.815808|0.783843|0.791941
16,0.785544,0.779620|0.770060|0.798121|0.786817|0.793103
17,0.788247,0.790759|0.773131|0.802693|0.784299|0.790353
18,0.806397,0.808059|0.797637|0.817493|0.801153|0.807642
19,0.809442,0.804969|0.801453|0.816234|0.811217|0.813338
20,0.804024,0.805076|0.804669|0.802693|0.797956|0.809725
21,0.823749,0.822114|0.822007|0.824642|0.818946|0.831034
22,0.831081,0.827422|0.834008|0.831945|0.820031|0.841999
23,0.830591,0.828468|0.837737|0.825843|0.825417|0.835490
24,0.839711,0.838067|0.847191|0.844663|0.830453|0.838183
25,0.835107,0.839481|0.837379|0.837708|0.832952|0.828012
26,0.848473,0.850852|0.849613|0.850000|0.851046|0.840856
27,0.828162,0.835364|0.822259|0.838648|0.826230|0.818307
28,0.828218,0.832216|0.824506|0.841147|0.819508|0.823712
29,0.836126,0.832642|0.837427|0.848082|0.827702|0.834773
30,0.835260,0.829465|0.839946|0.846726|0.827780|0.832381
31,0.829200,0.825504|0.825145|0.832487|0.829194|0.833669
32,0.830819,0.822821|0.834212|0.822627|0.838260|0.836178
33,0.838781,0.827954|0.841631|0.831306|0.846920|0.846096
34,0.845967,0.836633|0.847947|0.838609|0.857943|0.848702
35,0.836548,0.825571|0.838958|0.834696|0.847985|0.835529
36,0.839093,0.829572|0.839510|0.834599|0.853313|0.838473
37,0.833797,0.818781|0.836478|0.835122|0.846678|0.831926
38,0.834256,0.822850|0.836033|0.836866|0.847520|0.828012
39,0.828789,0.823441|0.830182|0.831054|0.840459|0.818811
40,0.823534,0.818171|0.827974|0.826714|0.833785|0.811023
41,0.820134,0.817474|0.818539|0.823334|0.830850|0.810471
42,0.820544,0.823160|0.820360|0.818200|0.831877|0.809124
43,0.812704,0.813406|0.814549|0.811003|0.823770|0.800794
44,0.806463,0.810151|0.806064|0.810761|0.811304|0.794033
45,0.809738,0.815798|0.813115|0.811682|0.811662|0.796435
46,0.802590,0.808136|0.808524|0.798973|0.812127|0.785190
47,0.809398,0.814800|0.807972|0.809376|0.818404|0.796435
48,0.807358,0.820922|0.806674|0.805870|0.816922|0.786401
