id,printed,value,lo,hi,file,what,closes,recomputed,r_lo,r_hi,check,ci_check,method
edaic_zs_300s,0.83,0.8278,0.7703,0.8822,A2,"Qwen2.5-Omni zero-shot AUC, E-DAIC first 300 s (abstract, Table 1, text)",B1; B8,0.8278,0.7703,0.8822,agree_4dp,ci_agree_4dp,AUC of p_yes_300s_T7b
edaic_zs_whole,"(0.84, not printed)",0.8366,0.7786,0.8866,A2,"zero-shot AUC, cut lifted, 900 s cap (PART 23 item 2)",B1; LEFT authors 5 (window choice),0.8366,0.7786,0.8866,agree_4dp,ci_agree_4dp,AUC of p_yes_whole
edaic_whole_minus_300s,"+0.01 [-0.03, 0.05]",0.0088,-0.0320,0.0510,A2,"whole minus 300 s zero-shot, paired speaker bootstrap",B1; LEFT authors 5; brief E-DAIC rule,0.0088,-0.0320,0.0510,agree_4dp,ci_agree_4dp,"paired, same speaker draws"
edaic_n_cut_300s,217 of the 275,217,,,A2,windows longer than 300 s (cut by the Qwen2.5-Omni processor),B1,217,,,agree_4dp,,count win_dur_s > 300 s
edaic_n_capped_900s,15 minute cap,89,,,A2,windows capped at 900 s in the whole run (max heard 900 s),B1,89,,,agree_4dp,,count capped; max win_dur_s 900.0001
edaic_whole_enc_minus_zs,still beats both probes,-0.2385,-0.3244,-0.1505,A3,"whole window: encoder mean-of-5 minus whole zero-shot, paired",B1; brief 'gap survives',-0.2385,-0.3244,-0.1505,agree_4dp,ci_agree_4dp,"mean of five per-repeat AUCs minus whole zero-shot, paired"
edaic_whole_llm_minus_zs,still beats both probes,-0.0929,-0.1609,-0.0257,A3,"whole window: LM mean-of-5 minus whole zero-shot, paired",B1; brief 'gap survives',-0.0929,-0.1609,-0.0257,agree_4dp,ci_agree_4dp,"mean of five per-repeat AUCs minus whole zero-shot, paired"
edaic_llm_meanof5,0.70,0.7001,,,T7b,"E-DAIC 300 s LM probe, mean of five per-repeat AUCs",M11; B8,0.7001,,,agree_4dp,,mean of five per-repeat AUCs
edaic_enc_meanof5,0.59,0.5884,,,T7b,"E-DAIC 300 s encoder probe, mean of five",M11; B8,0.5884,,,agree_4dp,,mean of five per-repeat AUCs
edaic_ans_meanof5,0.74,0.7435,,,T7b,"E-DAIC 300 s answer-state probe, mean of five",M11,0.7435,,,agree_4dp,,mean of five per-repeat AUCs
edaic_llm_minus_answer,"-0.13 [-0.20, -0.06]",-0.1276,-0.1993,-0.0629,T7b,"LM probe minus answer, paired",M11; M15,-0.1276,-0.1993,-0.0629,agree_4dp,ci_agree_4dp,"mean of five minus answer, paired"
edaic_enc_minus_answer,"-0.24 [-0.32, -0.16]",-0.2394,-0.32,-0.16,T7b,"encoder probe minus answer, paired",M11; M15,-0.2394,-0.3188,-0.1572,agree_4dp,ci_agree_4dp,"mean of five minus answer, paired"
q3o_edaic_cut,Qwen3-Omni hears up to 15 minutes,0,,,CTRUNC,Qwen3-Omni windows cut (max heard 900 s),M21,0,,,agree_4dp,,q3o max heard 900.0 s
af3_edaic_cut,Audio Flamingo 3 hears up to 10,136,,,CTRUNC,AF3 windows cut at 600 s,M21,136,,,agree_4dp,,af3 max heard 600.0 s
q3o_edaic_full,0.87,0.8741,,,Q3OFULL,Qwen3-Omni zero-shot on the same E-DAIC windows,M21,0.8741,,,agree_4dp,,"AUC of p_yes, n=275"
af3_edaic_full,0.86,0.8565,,,AF3FULL,AF3 zero-shot on the same E-DAIC windows,M21,0.8565,,,agree_4dp,,"AUC of p_yes, n=275"
q2a_edaic_full,0.63,0.633,,,Q2AFULL,Qwen2-Audio zero-shot on the same E-DAIC windows,M21,0.6330,,,agree_3dp (claim given at 3 dp),,"AUC of p_yes, n=275"
pitt_n_segments,468,468,,,PITTMAN,Pitt conflict-set segments,B9,468,,,agree_4dp,,
pitt_n_participants,227 participants,227,,,PITTMAN,distinct participant numbers,M20,227,,,agree_4dp,,
pitt_n_speaker_labels,228 speaker labels,228,,,PITTMAN,distinct group+participant labels,M20; B9,228,,,agree_4dp,,
pitt_n_conflict,146,146,,,PITTMAN,conflict segments,B9; B7,146,,,agree_4dp,,
pitt_n_agreement,322,322,,,PITTMAN,agreement segments,B9,322,,,agree_4dp,,
pitt_spk_conflict,100,100,,,PITTMAN,speakers in the conflict arm,B9,100,,,agree_4dp,,
pitt_spk_agreement,175,175,,,PITTMAN,speakers in the agreement arm,B9,175,,,agree_4dp,,
pitt_spk_both,47,47,,,PITTMAN,speakers in both arms,B9,47,,,agree_4dp,,
pitt_dur_min,30,30.0,,,PITTMAN,shortest segment (s),B6,30.0000,,,agree_1dp (claim given at 1 dp),,
pitt_dur_median,33,33.3,,,PITTMAN,median segment (s),B6,33.3000,,,agree_1dp (claim given at 1 dp),,
pitt_dur_max,56,55.6,,,PITTMAN,longest segment (s),B6,55.6000,,,agree_1dp (claim given at 1 dp),,
pitt_rate_auc,0.71,0.7082,,,PITTALL,"speaking rate alone, direction free, 468 segments",B5,0.7082,,,agree_4dp,,n=468 raw 0.2918; all 708: 0.6970
pitt_age_gap_per_speaker,7.5 years,7.54,,,PITTMAN,"dementia minus control mean age, one value per speaker label",M22; m11,7.5386,,,agree_2dp (claim given at 2 dp),,per clip 6.58
pitt_inv_windows,at least 158 of the 468,158,,,PITTINV,windows with interviewer speech inside the heard window,M6,158,,,agree_4dp,,"mean inv ms dementia 853, control 186; column inv_ms_win of pitt_no_interviewer.csv"
edaic_n_conflict_pool,488,488,,,M2SEG,conflict segments before pairing,B7,488,,,agree_4dp,,arm_roberta == conflict (pool before pairing)
edaic_n_pairs,483,483,,,T1,pairs (sum of agreement repeats),B7,483,,,agree_4dp,,
edaic_pair_speakers,138,138,,,T1,speakers in the pairs,B7,138,,,agree_4dp,,
edaic_n_distinct_agree,311,311,,,T1,distinct agreement segments,B7,311,,,agree_4dp,,
