id	what	POD4_value	VERIFIER_value	agree_4dp	POD4_lo	POD4_hi	VERIFIER_lo	VERIFIER_hi	ci_agree	note
POD4_4b_pub_zs	Pitt published zero-shot	0.6578	0.6578	YES	0.6033	0.7125	0.6033	0.7125	YES	n=468 draws=2000
POD4_4b_pub_enc	Pitt published encoder probe	0.7969	0.7969	YES	0.7412	0.8512	0.7412	0.8512	YES	n=468 draws=2000
POD4_4b_A_zs	arm A original cut zero-shot	0.6497	0.6497	YES	0.5959	0.7056	0.5959	0.7056	YES	n=468 draws=2000
POD4_4b_A_enc	arm A original cut encoder	0.7949	0.7949	YES	0.7431	0.8446	0.7431	0.8446	YES	n=468 draws=2000
POD4_4b_B_zs	arm B interviewer removed zs	0.723	0.723	YES	0.6664	0.7753	0.6664	0.7753	YES	n=468 draws=2000
POD4_4b_B_enc	arm B interviewer removed enc	0.7497	0.7497	YES	0.694	0.8035	0.694	0.8035	YES	n=468 draws=2000
POD4_4b_C_zs	arm C duration-matched zs	0.6145	0.6145	YES	0.5582	0.6683	0.5582	0.6683	YES	n=468 draws=2000
POD4_4b_C_enc	arm C duration-matched enc	0.798	0.798	YES	0.7448	0.8489	0.7448	0.8489	YES	n=468 draws=2000
POD4_4b_A_zs_conf	arm A zs conflict	0.5298	0.5298	YES	0.4189	0.6386	0.4189	0.6386	YES	n=146 spk=100 draws=2000
POD4_4b_A_enc_conf	arm A enc conflict	0.6161	0.6161	YES	0.506	0.7281	0.506	0.7281	YES	n=146 spk=100 draws=2000
POD4_4b_A_zs_agr	arm A zs agreement	0.6952	0.6952	YES	0.6327	0.756	0.6327	0.756	YES	n=322 spk=175 draws=2000
POD4_4b_A_enc_agr	arm A enc agreement	0.8674	0.8674	YES	0.8201	0.9096	0.8201	0.9096	YES	n=322 spk=175 draws=2000
POD4_4b_B_zs_conf	arm B zs conflict	0.5408	0.5408	YES	0.4245	0.6622	0.4245	0.6622	YES	n=146 spk=100 draws=2000
POD4_4b_B_enc_conf	arm B enc conflict	0.6295	0.6295	YES	0.5111	0.7345	0.5111	0.7345	YES	n=146 spk=100 draws=2000
POD4_4b_B_zs_agr	arm B zs agreement	0.8007	0.8007	YES	0.75	0.8501	0.75	0.8501	YES	n=322 spk=175 draws=2000
POD4_4b_B_enc_agr	arm B enc agreement	0.8037	0.8037	YES	0.7452	0.8539	0.7452	0.8539	YES	n=322 spk=175 draws=2000
POD4_4b_pd_zs_AB	zs A->B	0.0732	0.0732	YES	0.0312	0.1165	0.0312	0.1165	YES	draws=2000
