file,model,dataset,score_cols,mass_col,has_mass,header
<local data dir>/paper1_local_runs/af2_adress2020_audio.csv,Audio Flamingo 2,adress2020,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/af2_results/af2_adress2020.csv,Audio Flamingo 2,adress2020,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass"
<local data dir>/paper1_local_runs/af2_adresso_audio.csv,Audio Flamingo 2,adresso,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/af2_results/af2_adresso237.csv,Audio Flamingo 2,adresso237,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass"
<local data dir>/paper1_local_runs/af2_results/af2_edaic275.csv,Audio Flamingo 2,edaic275,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass"
<local data dir>/Desktop/release/edaic_conflict_new/af2/af2_edaic_conflict_30s.csv,Audio Flamingo 2,edaic_conflict,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass"
<local data dir>/paper1_local_runs/af2_kcl_audio.csv,Audio Flamingo 2,kcl,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/af2_kcl30b_audio.csv,Audio Flamingo 2,kcl30b,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/af2_results/af2_kcl37.csv,Audio Flamingo 2,kcl37,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass"
<local data dir>/paper1_local_runs/af2_results/af2_neurovoz1270.csv,Audio Flamingo 2,neurovoz1270,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass"
<local data dir>/paper1_local_runs/af2_results/af2_pcgita1100.csv,Audio Flamingo 2,pcgita1100,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass"
<local data dir>/paper1_local_runs/af2_pitt_audio.csv,Audio Flamingo 2,pitt,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/af2_results/af2_pitt468.csv,Audio Flamingo 2,pitt468,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass"
<local data dir>/paper1_local_runs/af2_smoke.csv,Audio Flamingo 2,smoke,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/Desktop/release/edaic_conflict_new/af2/perclip_390rows_af2.csv,Audio Flamingo 2,unknown,p_yes,answer_mass,True,"set,seg_uid,speaker_id,label,p_yes,answer_mass"
<local data dir>/Desktop/release/overnight2/af3_new/af3_adress2020.csv,Audio Flamingo 3,adress2020,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/Desktop/release/podE_final/out/af3_adress2020.csv,Audio Flamingo 3,adress2020,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/paper1_local_runs/af3_adress2020_audio.csv,Audio Flamingo 3,adress2020,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/af3_adress2020_rerun.csv,Audio Flamingo 3,adress2020,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass"
<local data dir>/paper1_local_runs/af3_adress2020_text.csv,Audio Flamingo 3,adress2020,p_yes,mass,True,"id,speaker,label,set,p_yes,mass"
<local data dir>/Desktop/release/overnight2/af3_new/af3_adresso.csv,Audio Flamingo 3,adresso,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/Desktop/release/podE_final/out/af3_adresso.csv,Audio Flamingo 3,adresso,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/paper1_local_runs/af3_adresso_audio.csv,Audio Flamingo 3,adresso,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/af3_adresso_text.csv,Audio Flamingo 3,adresso,p_yes,mass,True,"id,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/af3_conflict_text.csv,Audio Flamingo 3,conflict,p_yes,mass,True,"id,speaker,label,set,p_yes,mass"
<local data dir>/Desktop/release/overnight2/final/af3_edaic.csv,Audio Flamingo 3,edaic,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/Desktop/release/overnight2/part10/af3_edaic.csv,Audio Flamingo 3,edaic,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/paper1_local_runs/af3_edaic30_text.csv,Audio Flamingo 3,edaic30,p_yes,mass,True,"id,speaker,label,set,p_yes,mass"
<local data dir>/Desktop/release/edaic_conflict_new/af3_edaic_conflict.csv,Audio Flamingo 3,edaic_conflict,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/Desktop/release/podE_final/out/af3_edaic_conflict.csv,Audio Flamingo 3,edaic_conflict,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/paper1_local_runs/af3_edaicfull_text.csv,Audio Flamingo 3,edaicfull,p_yes,mass,True,"id,speaker,label,set,p_yes,mass"
<local data dir>/Desktop/release/overnight2/af3_new/af3_kcl.csv,Audio Flamingo 3,kcl,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/Desktop/release/overnight2/part3/af3_kcl.csv,Audio Flamingo 3,kcl,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/Desktop/release/podE_final/out/af3_kcl.csv,Audio Flamingo 3,kcl,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/paper1_local_runs/af3_kcl_audio.csv,Audio Flamingo 3,kcl,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/af3_kcl30b_audio.csv,Audio Flamingo 3,kcl30b,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/af3_kcl37_verify.csv,Audio Flamingo 3,kcl37,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass"
<local data dir>/Desktop/release/overnight2/af3_new/af3_neurovoz.csv,Audio Flamingo 3,neurovoz,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/Desktop/release/podE_final/out/af3_neurovoz.csv,Audio Flamingo 3,neurovoz,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/Desktop/release/overnight2/part3/af3_pcgita.csv,Audio Flamingo 3,pcgita,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/paper1_local_runs/af3_pcgita40_control.csv,Audio Flamingo 3,pcgita40,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,his_p_yes"
<local data dir>/Desktop/release/overnight2/final/af3_pitt.csv,Audio Flamingo 3,pitt,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/Desktop/release/overnight2/part10/af3_pitt.csv,Audio Flamingo 3,pitt,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/Desktop/release/overnight2/part3/af3_pitt.csv,Audio Flamingo 3,pitt,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/paper1_local_runs/af3_pitt_audio.csv,Audio Flamingo 3,pitt,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/af3_pitt_text.csv,Audio Flamingo 3,pitt,p_yes,mass,True,"id,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/af3_pitt468_rerun.csv,Audio Flamingo 3,pitt468,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass"
<local data dir>/paper1_local_runs/af3_smoke_audio.csv,Audio Flamingo 3,smoke,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
scores/pitt_all/af3_full.csv,Audio Flamingo 3,unknown,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
scores/edaic_windows/af3_full.csv,Audio Flamingo 3,unknown,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
scores/edaic_windows/af3_mid30.csv,Audio Flamingo 3,unknown,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
scores/edaic_windows/af3_mid300.csv,Audio Flamingo 3,unknown,p_yes,answer_mass,True,"speaker_id,clip_path,label,p_yes,answer_mass,prompt"
<local data dir>/Desktop/release/overnight2/kimi_new/kimi_adress2020_zeroshot_scores.csv,Kimi-Audio,adress2020,p_yes,mass,True,"clip,speaker,label,p_yes,mass,prompt"
<local data dir>/Desktop/release/podD2_final/out/kimi_adress2020_zeroshot_scores.csv,Kimi-Audio,adress2020,p_yes,mass,True,"clip,speaker,label,p_yes,mass,prompt"
<local data dir>/paper1_local_runs/kimi_adress2020_audio.csv,Kimi-Audio,adress2020,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/kimi_adress2020_text.csv,Kimi-Audio,adress2020,p_yes,mass,True,"id,speaker,label,set,p_yes,mass"
<local data dir>/Desktop/release/overnight2/kimi_new/kimi_adresso_zeroshot_scores.csv,Kimi-Audio,adresso,p_yes,mass,True,"clip,speaker,label,p_yes,mass,prompt"
<local data dir>/Desktop/release/podD2_final/out/kimi_adresso_zeroshot_scores.csv,Kimi-Audio,adresso,p_yes,mass,True,"clip,speaker,label,p_yes,mass,prompt"
<local data dir>/paper1_local_runs/kimi_adresso_audio.csv,Kimi-Audio,adresso,p_yes,mass,True,"path,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/kimi_adresso_text.csv,Kimi-Audio,adresso,p_yes,mass,True,"id,speaker,label,set,p_yes,mass"
<local data dir>/paper1_local_runs/kimi_conflict_text.csv,Kimi-Audio,conflict,p_yes,mass,True,"id,speaker,label,set,p_yes,mass"
<local data dir>/Desktop/release/overnight2/kimi/kimi_edaic_zeroshot_scores.csv,Kimi-Audio,edaic,p_yes,mass,True,"clip,speaker,label,p_yes,mass,prompt"
<local data dir>/Desktop/release/overnight2/part3/kimi_edaic_zeroshot_scores.csv,Kimi-Audio,edaic,p_yes,mass,True,"clip,speaker,label,p_yes,mass,prompt"
<local data dir>/paper1_local_runs/kimi_edaic30_text.csv,Kimi-Audio,edaic30,p_yes,mass,True,"id,speaker,label,set,p_yes,mass"
<local data dir>/Desktop/release/edaic_conflict_new/kimi/kimi_edaic_conflict_zeroshot_scores.csv,Kimi-Audio,edaic_conflict,p_yes,mass,True,"clip,speaker,label,p_yes,mass,prompt"
<local data dir>/paper1_local_runs/kimi_edaicfull_text.csv,Kimi-Audio,edaicfull,p_yes,mass,True,"id,speaker,label,set,p_yes,mass"
<local data dir>/Desktop/release/overnight2/kimi_new/kimi_kcl_zeroshot_scores.csv,Kimi-Audio,kcl,p_yes,mass,True,"clip,speaker,label,p_yes,mass,prompt"
<local data dir>/Desktop/release/podD2_final/out/kimi_kcl_zeroshot_scores.csv,Kimi-Audio,kcl,p_yes,mass,True,"clip,speaker,label,p_yes,mass,prompt"
