model,dataset,stream,n,n_speakers,median_mass,p10_mass,share_below_0.01,share_below_0.15,mass_column_used,lo,hi,boot_usable,master_auc,resolved,file
Audio Flamingo 2,adress2020,zero shot answer,156,156,0.9675679206848145,0.9538246989250182,0.0,0.0,answer_mass,0.9663505904376507,0.9689018428325652,2000,0.6179,as listed,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_adress2020.csv
Audio Flamingo 2,adresso,zero shot answer,237,237,0.9613619148731232,0.9523787677288056,0.0,0.0,answer_mass,0.960740715265274,0.9628241062164308,2000,0.5911,as listed,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_adresso237.csv
Audio Flamingo 2,edaic,zero shot answer,275,275,0.9392204284667968,0.9245920777320862,0.0,0.0,answer_mass,0.9382904767990112,0.940692812204361,2000,0.5602,as listed,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_edaic275.csv
Audio Flamingo 2,edaic_conflict,zero shot answer,390,74,0.9452540427446365,0.9340953648090362,0.0,0.0,answer_mass,0.9437142428010703,0.9478808343410492,2000,0.5363,as listed,/Users/chaitanyaparwatkar/Desktop/release/edaic_conflict_new/af2/af2_edaic_conflict_30s.csv
Audio Flamingo 2,edaic_conflict_v2,zero shot answer,966,138,0.9423083662986755,0.928677886724472,0.0,0.0,answer_mass,0.9408701166510581,0.9433914870023727,2000,0.5678,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_af2.csv
Audio Flamingo 2,kcl,zero shot answer,37,37,0.9304426610469818,0.923946064710617,0.0,0.0,answer_mass,0.9284619688987732,0.9341270327568054,2000,0.8185,as listed,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_kcl37.csv
Audio Flamingo 2,neurovoz,zero shot answer,1270,107,0.9412429481744766,0.9323609709739684,0.0,0.0,answer_mass,0.9397729635238647,0.9426969926804305,2000,0.5792,as listed,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_neurovoz1270.csv
Audio Flamingo 2,pcgita,zero shot answer,1100,100,0.9400466978549957,0.9323404699563981,0.0,0.0,answer_mass,0.9390302896499634,0.9412746839225292,2000,0.5771,as listed,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_pcgita1100.csv
Audio Flamingo 2,pitt,zero shot answer,468,228,0.9625724405050278,0.9508032828569413,0.0,0.0,answer_mass,0.9614134132862092,0.9639105755835772,2000,0.5724,as listed,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_pitt468.csv
Audio Flamingo 3,adress2020,zero shot answer,156,156,0.9457225352525711,0.9171235263347626,0.0,0.0,answer_mass,0.9415399134159088,0.9476649910211564,2000,0.4929,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/overnight2/af3_new/af3_adress2020.csv
Audio Flamingo 3,adresso,zero shot answer,237,237,0.9578540325164796,0.921510249376297,0.0,0.0,answer_mass,0.9540943503379822,0.9613748341798782,2000,0.5451,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/overnight2/af3_new/af3_adresso.csv
Audio Flamingo 3,edaic,zero shot answer,275,275,0.9272385239601136,0.8869627714157104,0.0,0.0,answer_mass,0.922580987215042,0.9328084290027618,2000,0.5975,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/overnight2/part10/af3_edaic.csv
Audio Flamingo 3,edaic_conflict,zero shot answer,390,74,0.9332423061132431,0.8719659507274627,0.0,0.0,answer_mass,0.9239302804693581,0.9434760063886642,2000,0.641,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/edaic_conflict_new/af3_edaic_conflict.csv
Audio Flamingo 3,edaic_conflict_v2,zero shot answer,966,138,0.9310977533459663,0.8636986687779427,0.0,0.0,answer_mass,0.9270942977629602,0.936091803573072,2000,0.6283,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_af3.csv
Audio Flamingo 3,edaic_full,zero shot answer,275,275,0.9413084536790848,0.8851350545883179,0.0,0.0,answer_mass,0.9342255890369416,0.947627693414688,2000,0.8565,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/af3_full.csv
Audio Flamingo 3,edaic_mid30,zero shot answer,275,275,0.9266144931316376,0.8681938290596009,0.0,0.0,answer_mass,0.9192087650299072,0.9333370625972748,2000,0.6949,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/af3_mid30.csv
Audio Flamingo 3,edaic_mid300,zero shot answer,275,275,0.9398461580276488,0.8872427761554718,0.0,0.0,answer_mass,0.933415412902832,0.944109171628952,2000,0.8374,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/af3_mid300.csv
Audio Flamingo 3,kcl,zero shot answer,37,37,0.9434018433094024,0.9203962504863739,0.0,0.0,answer_mass,0.937390685081482,0.950111359357834,2000,0.6339,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/overnight2/part3/af3_kcl.csv
Audio Flamingo 3,neurovoz,zero shot answer,1270,107,0.913163885474205,0.851852086186409,0.0,0.0,answer_mass,0.9076384346932173,0.9176657797768712,2000,0.6006,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/overnight2/af3_new/af3_neurovoz.csv
Audio Flamingo 3,pcgita,zero shot answer,1100,100,0.89680315554142,0.8419533684849739,0.0,0.0,answer_mass,0.8921155773103238,0.9012947380542756,2000,0.5508,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/overnight2/part3/af3_pcgita.csv
Audio Flamingo 3,pitt,zero shot answer,468,228,0.948676809668541,0.9133042812347412,0.0,0.0,answer_mass,0.9462639093399048,0.950527360662818,2000,0.5885,sibling of the listed json,/Users/chaitanyaparwatkar/Desktop/release/overnight2/part3/af3_pitt.csv
Kimi-Audio,adress2020,LM probe,156,0,,,,,"n/a - probe score, not an answer distribution",,,0,0.92,probe stream - no per-clip answer distribution,/Users/chaitanyaparwatkar/Desktop/release/overnight2/kimi_new/kimi_adress2020_nested_repeats.json
Kimi-Audio,adresso,LM probe,237,0,,,,,"n/a - probe score, not an answer distribution",,,0,0.8993,probe stream - no per-clip answer distribution,/Users/chaitanyaparwatkar/Desktop/release/overnight2/kimi_new/kimi_adresso_nested_repeats.json
Kimi-Audio,edaic,LM probe,275,0,,,,,"n/a - probe score, not an answer distribution",,,0,0.484,probe stream - no per-clip answer distribution,/Users/chaitanyaparwatkar/Desktop/release/overnight2/part3/kimi_edaic_nested_repeats.json
Kimi-Audio,kcl,LM probe,37,0,,,,,"n/a - probe score, not an answer distribution",,,0,0.731,probe stream - no per-clip answer distribution,/Users/chaitanyaparwatkar/Desktop/release/overnight2/kimi_new/kimi_kcl_nested_repeats.json
Kimi-Audio,neurovoz,LM probe,1270,0,,,,,"n/a - probe score, not an answer distribution",,,0,0.9334,probe stream - no per-clip answer distribution,/Users/chaitanyaparwatkar/Desktop/release/overnight2/kimi_new/kimi_neurovoz_nested_repeats.json
Kimi-Audio,pcgita,LM probe,1100,0,,,,,"n/a - probe score, not an answer distribution",,,0,0.8715,probe stream - no per-clip answer distribution,/Users/chaitanyaparwatkar/Desktop/release/overnight2/part3/kimi_pcgita_nested_repeats.json
Kimi-Audio,pitt,LM probe,468,0,,,,,"n/a - probe score, not an answer distribution",,,0,0.8374,probe stream - no per-clip answer distribution,/Users/chaitanyaparwatkar/Desktop/release/overnight2/part3/kimi_pitt_nested_repeats.json
Kimi-Audio,adress2020,answer-state probe,156,0,,,,,"n/a - probe score, not an answer distribution",,,0,0.8812,probe stream - no per-clip answer distribution,/Users/chaitanyaparwatkar/Desktop/release/overnight2/kimi_new/kimi_adress2020_nested_repeats.json
Kimi-Audio,adresso,answer-state probe,237,0,,,,,"n/a - probe score, not an answer distribution",,,0,0.8651,probe stream - no per-clip answer distribution,/Users/chaitanyaparwatkar/Desktop/release/overnight2/kimi_new/kimi_adresso_nested_repeats.json
Kimi-Audio,edaic,answer-state probe,275,0,,,,,"n/a - probe score, not an answer distribution",,,0,0.4916,probe stream - no per-clip answer distribution,/Users/chaitanyaparwatkar/Desktop/release/overnight2/part3/kimi_edaic_nested_repeats.json
Kimi-Audio,kcl,answer-state probe,37,0,,,,,"n/a - probe score, not an answer distribution",,,0,0.7292,probe stream - no per-clip answer distribution,/Users/chaitanyaparwatkar/Desktop/release/overnight2/kimi_new/kimi_kcl_nested_repeats.json
