id,pid,label_y,roberta_label,roberta_score,roberta_p_neg,roberta_p_neu,distilbert_label,distilbert_score,distilbert_p_neg,arm_roberta,arm_distilbert,arm_roberta_selected,arm_distilbert_selected
0,300,0,positive,0.974005,0.0038575046,0.0221375,positive,0.9997361302375793,0.0002638697624206543,agreement,agreement,none,none
1,300,0,neutral,0.20767489,0.018581038,0.77374405,negative,0.08121683448553085,0.9187831655144691,none,conflict,none,conflict
2,300,0,neutral,0.66155124,0.034939434,0.3035093,positive,0.9724642634391785,0.027535736560821533,none,agreement,none,agreement
3,300,0,neutral,0.6653653,0.044638675,0.28999606,positive,0.9953723549842834,0.004627645015716553,none,agreement,none,agreement
4,300,0,neutral,0.3832855,0.019800218,0.59691435,negative,0.03102540597319603,0.968974594026804,none,conflict,none,conflict
5,300,0,neutral,0.5680369,0.03347211,0.398491,positive,0.9764403700828552,0.023559629917144775,none,agreement,none,agreement
6,300,0,neutral,0.53564465,0.11823776,0.3461176,negative,0.024210257455706596,0.9757897425442934,none,conflict,none,conflict
7,300,0,neutral,0.0547678,0.58726966,0.3579625,negative,0.14164410531520844,0.8583558946847916,none,conflict,none,conflict
9,301,0,positive,0.9522451,0.0056620515,0.042092897,positive,0.9997994303703308,0.00020056962966918945,agreement,agreement,none,none
10,301,0,negative,0.12625249,0.7065296,0.16721787,negative,0.07972539216279984,0.9202746078372002,conflict,conflict,conflict,conflict
11,301,0,neutral,0.15945846,0.10335337,0.73718816,negative,0.027621246874332428,0.9723787531256676,none,conflict,none,conflict
12,301,0,neutral,0.30279785,0.1262809,0.5709212,negative,0.013318602927029133,0.9866813970729709,none,conflict,none,conflict
13,301,0,neutral,0.047573872,0.35742286,0.5950033,negative,0.13709890842437744,0.8629010915756226,none,conflict,none,conflict
14,301,0,neutral,0.40650722,0.05247526,0.54101753,positive,0.9826217889785767,0.01737821102142334,none,agreement,none,agreement
15,301,0,negative,0.011159804,0.92074144,0.06809877,negative,0.0002974084054585546,0.9997025915945414,conflict,conflict,conflict,conflict
16,301,0,neutral,0.0736654,0.5770146,0.34931996,negative,0.001015692250803113,0.9989843077491969,none,conflict,none,conflict
17,301,0,neutral,0.03743134,0.38435572,0.578213,negative,0.16126659512519836,0.8387334048748016,none,conflict,none,conflict
18,301,0,positive,0.7962374,0.0071344855,0.19662808,positive,0.998852014541626,0.0011479854583740234,agreement,agreement,agreement,agreement
20,301,0,neutral,0.067630835,0.5245832,0.40778592,negative,0.0006796148954890668,0.9993203851045109,none,conflict,none,conflict
21,301,0,neutral,0.4098606,0.1081185,0.4820209,negative,0.001937743742018938,0.9980622562579811,none,conflict,none,conflict
22,301,0,neutral,0.2966256,0.15837279,0.5450016,negative,0.0070825256407260895,0.9929174743592739,none,conflict,none,conflict
23,301,0,neutral,0.08293709,0.38017553,0.5368874,negative,0.03764866292476654,0.9623513370752335,none,conflict,none,conflict
24,301,0,neutral,0.15335962,0.19679724,0.64984316,negative,0.004239891655743122,0.9957601083442569,none,conflict,none,conflict
25,301,0,neutral,0.48824713,0.117931165,0.3938217,negative,0.0038330170791596174,0.9961669829208404,none,conflict,none,conflict
26,301,0,neutral,0.6886657,0.064717375,0.24661689,positive,0.9936442375183105,0.006355762481689453,none,agreement,none,none
27,301,0,positive,0.9023421,0.015018273,0.08263961,positive,0.9883047342300415,0.011695265769958496,agreement,agreement,none,agreement
28,301,0,neutral,0.08310907,0.3231781,0.59371275,negative,0.006803824566304684,0.9931961754336953,none,conflict,none,conflict
29,301,0,neutral,0.30514196,0.2877155,0.40714255,positive,0.8074473738670349,0.1925526261329651,none,agreement,none,agreement
30,301,0,positive,0.9154748,0.011809802,0.07271538,positive,0.9924615025520325,0.007538497447967529,agreement,agreement,agreement,agreement
31,301,0,neutral,0.4478824,0.048021797,0.50409573,neutral,0.31129565834999084,0.6887043416500092,none,none,none,none
32,302,0,positive,0.84873945,0.007899386,0.1433612,positive,0.9996249675750732,0.0003750324249267578,agreement,agreement,none,none
33,302,0,positive,0.96460366,0.0058109695,0.029585423,positive,0.9523966908454895,0.0476033091545105,agreement,agreement,agreement,agreement
34,302,0,neutral,0.6424898,0.058153573,0.29935667,positive,0.9983301758766174,0.0016698241233825684,none,agreement,none,agreement
35,302,0,neutral,0.10823313,0.11727124,0.77449554,negative,0.012188528664410114,0.9878114713355899,none,conflict,none,conflict
36,302,0,negative,0.020679394,0.7368703,0.24245037,neutral,0.3780234754085541,0.6219765245914459,conflict,none,conflict,none
38,302,0,neutral,0.09577348,0.14232826,0.76189816,positive,0.9826166033744812,0.0173833966255188,none,agreement,none,none
39,302,0,neutral,0.054007452,0.66403097,0.28196165,negative,0.0021114833652973175,0.9978885166347027,none,conflict,none,conflict
40,302,0,negative,0.013793661,0.7042564,0.28194994,negative,0.003349004779011011,0.996650995220989,conflict,conflict,conflict,conflict
41,302,0,positive,0.79568243,0.04785132,0.15646619,positive,0.8686268925666809,0.1313731074333191,agreement,agreement,none,none
43,302,0,neutral,0.63583654,0.056523383,0.30764008,positive,0.9976239800453186,0.0023760199546813965,none,agreement,none,agreement
