model,dataset,n,n_speakers,median_mass,p10_mass,min_mass,share_below_0.01,share_below_0.15,mass_column_used,file
Audio Flamingo 2,kcl30b,37,37,0.8661956191062927,0.8434171855449677,0.8355233371257782,0.0,0.0,mass,<local data dir>/paper1_local_runs/af2_kcl30b_audio.csv
Audio Flamingo 2,kcl,37,37,0.8692581206560135,0.8305831879377366,0.7957277968525887,0.0,0.0,mass,<local data dir>/paper1_local_runs/af2_kcl_audio.csv
Audio Flamingo 2,smoke,3,3,0.8694102317094803,0.8620700508356094,0.8602350056171417,0.0,0.0,mass,<local data dir>/paper1_local_runs/af2_smoke.csv
Qwen2.5-Omni,kcl30b,37,37,0.8866126649081707,0.872691143117845,0.8625209257006645,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_kcl30b_audio.csv
Audio Flamingo 3,pcgita,1100,100,0.89680315554142,0.8419533684849739,0.7507123351097107,0.0,0.0,answer_mass,<local data dir>/Desktop/release/overnight2/part3/af3_pcgita.csv
unattributed,pcgita1100,1100,100,0.8974962383508682,0.845315358042717,0.7346421778202057,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/runpod_results/pcgita1100_af3.csv
Audio Flamingo 2,adresso,237,237,0.8983031809329987,0.8688084304332733,0.8443357199430466,0.0,0.0,mass,<local data dir>/paper1_local_runs/af2_adresso_audio.csv
Audio Flamingo 3,pcgita40,40,40,0.9000676870346069,0.8617089584469795,0.8130543828010559,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/af3_pcgita40_control.csv
Audio Flamingo 3,kcl,37,37,0.9019507169723512,0.8595228612422943,0.8148707449436188,0.0,0.0,mass,<local data dir>/paper1_local_runs/af3_kcl_audio.csv
Audio Flamingo 2,pitt,468,228,0.9043519198894501,0.8836810916662217,0.8437738418579102,0.0,0.0,mass,<local data dir>/paper1_local_runs/af2_pitt_audio.csv
Audio Flamingo 2,adress2020,156,156,0.904718279838562,0.8825097382068634,0.8488394320011139,0.0,0.0,mass,<local data dir>/paper1_local_runs/af2_adress2020_audio.csv
Qwen2-Audio,adresso,237,237,0.9109534621238708,0.7951909348368644,0.5272713899612427,0.0,0.0,mass,<local data dir>/paper1_local_runs/qwen2audio_adresso_text.csv
Audio Flamingo 3,adress2020,156,156,0.9115000367164612,0.8528097122907639,0.791933536529541,0.0,0.0,mass,<local data dir>/paper1_local_runs/af3_adress2020_text.csv
Audio Flamingo 3,neurovoz,1270,107,0.913163885474205,0.851852086186409,0.7900493144989014,0.0,0.0,answer_mass,<local data dir>/Desktop/release/overnight2/af3_new/af3_neurovoz.csv
Audio Flamingo 3,neurovoz,1270,107,0.913163885474205,0.851852086186409,0.7900493144989014,0.0,0.0,answer_mass,<local data dir>/Desktop/release/podE_final/out/af3_neurovoz.csv
unattributed,neurovoz1270,1270,107,0.9133096635341644,0.8530131876468658,0.7910874485969543,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/runpod_results/neurovoz1270_af3.csv
Audio Flamingo 3,pitt,468,228,0.91733218729496,0.8506651282310486,0.7154479920864105,0.0,0.0,mass,<local data dir>/paper1_local_runs/af3_pitt_text.csv
Audio Flamingo 3,unknown,275,275,0.9266144931316376,0.8681938290596009,0.7764758467674255,0.0,0.0,answer_mass,scores/edaic_windows/af3_mid30.csv
Audio Flamingo 3,edaic,275,275,0.9272385239601136,0.8869627714157104,0.8288556784391403,0.0,0.0,answer_mass,<local data dir>/Desktop/release/overnight2/final/af3_edaic.csv
Audio Flamingo 3,edaic,275,275,0.9272385239601136,0.8869627714157104,0.8288556784391403,0.0,0.0,answer_mass,<local data dir>/Desktop/release/overnight2/part10/af3_edaic.csv
Qwen2-Audio,pitt,468,228,0.930038794875145,0.7991005212068558,0.4424881786108017,0.0,0.0,mass,<local data dir>/paper1_local_runs/qwen2audio_pitt_text.csv
Audio Flamingo 2,kcl37,37,37,0.9304426610469818,0.923946064710617,0.9143491089344024,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/af2_results/af2_kcl37.csv
unattributed,unknown,966,138,0.9310977533459663,0.8636986687779427,0.6233386248350143,0.0,0.0,answer_mass,scores/edaic_conflict_v2/p14_af3.csv
Audio Flamingo 3,edaic_conflict,390,74,0.9332423061132431,0.8719659507274627,0.7536211907863617,0.0,0.0,answer_mass,<local data dir>/Desktop/release/edaic_conflict_new/af3_edaic_conflict.csv
Audio Flamingo 3,edaic_conflict,390,74,0.9332423061132431,0.8719659507274627,0.7536211907863617,0.0,0.0,answer_mass,<local data dir>/Desktop/release/podE_final/out/af3_edaic_conflict.csv
Qwen2.5-Omni,pitt,20,13,0.9341611862182616,0.9197134166955948,0.9172996133565904,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_pitt_text_v1s.csv
Audio Flamingo 2,edaic275,275,275,0.9392204284667968,0.9245920777320862,0.9038091897964478,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/af2_results/af2_edaic275.csv
Audio Flamingo 3,kcl37,37,37,0.9398329854011536,0.9260631561279297,0.8941052258014679,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/af3_kcl37_verify.csv
Audio Flamingo 3,unknown,275,275,0.9398461580276488,0.8872427761554718,0.8150552809238434,0.0,0.0,answer_mass,scores/edaic_windows/af3_mid300.csv
Audio Flamingo 2,pcgita1100,1100,100,0.9400466978549957,0.9323404699563981,0.9215295612812042,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/af2_results/af2_pcgita1100.csv
Qwen2.5-Omni,pitt,20,13,0.9406844526529312,0.9263309642672538,0.9188309013843536,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_pitt_text_v4s.csv
Audio Flamingo 2,neurovoz1270,1270,107,0.9412429481744766,0.9323609709739684,0.9219017922878264,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/af2_results/af2_neurovoz1270.csv
Audio Flamingo 3,unknown,275,275,0.9413084536790848,0.8851350545883179,0.6766101717948914,0.0,0.0,answer_mass,scores/edaic_windows/af3_full.csv
Audio Flamingo 3,unknown,275,275,0.9413084536790848,0.8851350545883179,0.6766101717948914,0.0,0.0,answer_mass,scores/pitt_all/af3_full.csv
unattributed,unknown,966,138,0.9423083662986755,0.928677886724472,0.9091677665710448,0.0,0.0,answer_mass,scores/edaic_conflict_v2/p14_af2.csv
Qwen2.5-Omni,pitt,468,228,0.9423086047172546,0.9214904680848122,0.903411015868187,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_pitt_text_v1s_strip.csv
Qwen2-Audio,adress2020,156,156,0.9424025788903236,0.8551567308604717,0.6859629899263382,0.0,0.0,mass,<local data dir>/paper1_local_runs/qwen2audio_adress2020_text.csv
unattributed,kcl37,37,37,0.9424661993980408,0.9151164710521698,0.8130976557731628,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/runpod_results/kcl37_recut_af3.csv
unattributed,edaic275,275,275,0.9426113963127136,0.8861295580863953,0.7835180461406708,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/runpod_results/edaic275_af3.csv
Qwen2.5-Omni,pitt,20,13,0.943361297249794,0.9319439128041268,0.923069193959236,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_pitt_text_v2s.csv
Audio Flamingo 3,kcl,37,37,0.9434018433094024,0.9203962504863739,0.813214510679245,0.0,0.0,answer_mass,<local data dir>/Desktop/release/overnight2/af3_new/af3_kcl.csv
Audio Flamingo 3,kcl,37,37,0.9434018433094024,0.9203962504863739,0.813214510679245,0.0,0.0,answer_mass,<local data dir>/Desktop/release/podE_final/out/af3_kcl.csv
