model,arm,n,n_spk,yes_count,yes_rate,lo,hi,median_answer_mass,boot_usable,low_mass_flag,p_yes_sd
Qwen2.5-Omni,conflict,483,138,108,0.2236,0.1792,0.2736,0.9965,2000,0,0.2221
Qwen2.5-Omni,agreement,483,138,141,0.2919,0.2073,0.3771,0.9969,2000,0,0.2954
Qwen2-Audio,conflict,483,138,454,0.94,0.9199,0.9612,0.999,2000,0,0.1969
Qwen2-Audio,agreement,483,138,419,0.8675,0.8159,0.9102,0.9988,2000,0,0.2556
Qwen3-Omni-30B-A3B,conflict,483,138,188,0.3892,0.3347,0.45,0.9996,2000,0,0.3494
Qwen3-Omni-30B-A3B,agreement,483,138,202,0.4182,0.3188,0.5097,0.9998,2000,0,0.4176
AudioFlamingo2,conflict,483,138,469,0.971,0.9502,0.9887,0.9424,2000,0,0.0532
AudioFlamingo2,agreement,483,138,475,0.9834,0.9629,0.9979,0.9423,2000,0,0.0437
AudioFlamingo3,conflict,483,138,340,0.7039,0.6533,0.7554,0.9249,2000,0,0.2212
AudioFlamingo3,agreement,483,138,323,0.6687,0.5937,0.7371,0.9403,2000,0,0.2631
Kimi-Audio,conflict,483,138,404,0.8364,0.7976,0.8727,0.9992,2000,0,0.231
Kimi-Audio,agreement,483,138,366,0.7578,0.6869,0.8221,0.9992,2000,0,0.2904
