id	claimed	recomputed	verified
M7mo5_adresso_gap	0.2602 [0.1773, 0.3379]	0.2602 [0.1773, 0.3379]	yes
M7mo5_adress2020_gap	0.1802 [0.0722, 0.2858]	0.1802 [0.0722, 0.2858]	yes
M7mo5_pcgita_gap	0.3306 [0.2489, 0.4127]	0.3306 [0.2489, 0.4127]	yes
M7mo5_neurovoz_gap	0.2262 [0.1714, 0.2836]	0.2262 [0.1714, 0.2836]	yes
M7mo5_kcl_gap	0.0363 [-0.2075, 0.2638]	0.0363 [-0.2075, 0.2638]	yes
VAL_neurovoz_pod6_reextract_exact	0.2267 [0.1742, 0.2851]	0.2267 [0.1742, 0.2851]	yes
VAL_adress2020_pod4b_reextract_exact	0.1783 [0.0750, 0.2770]	0.1783 [0.0750, 0.2770]	yes
M11fix_B_xsys_disagree_mean_PD	0.3049 [0.1301, 0.4944]	0.3049 [0.1301, 0.4944]	yes
M11fix_B_xsys_disagree_mean_control	0.4779 [0.0917, 1.1479]	0.4779 [0.0917, 1.1479]	yes
M11fix_C_mean_token_logprob_mean_PD	-0.1103 [-0.1502, -0.0739]	-0.1103 [-0.1502, -0.0739]	yes
M11fix_C_mean_token_logprob_mean_control	-0.1356 [-0.2345, -0.0759]	-0.1356 [-0.2345, -0.0759]	yes
M11fix_C_compression_ratio_mean_PD	1.5938 [1.4484, 1.7269]	1.5938 [1.4484, 1.7269]	yes
M11fix_C_compression_ratio_mean_control	1.4898 [1.3076, 1.6417]	1.4898 [1.3076, 1.6417]	yes
M11fix_D_n_words_30s_mean_PD	59.1875 [46.1875, 71.9375]	59.1875 [46.1875, 71.9375]	yes
M11fix_D_n_words_30s_mean_control	55.8095 [43.0464, 67.6202]	55.8095 [43.0464, 67.6202]	yes
M11fix_F_wer_vs_local_copy_mean_PD	0.3123 [0.1974, 0.4388]	0.3123 [0.1974, 0.4388]	yes
M11fix_F_wer_vs_local_copy_mean_control	0.3987 [0.2558, 0.5577]	0.3987 [0.2558, 0.5577]	yes
M11fix_B_xsys_disagree_MEDIAN_PD	0.1027 [0.0323, 0.3617]	0.1027 [0.0323, 0.3617]	yes
M11fix_B_xsys_disagree_MEDIAN_control	0.0333 [0.0000, 0.1341]	0.0333 [0.0000, 0.1341]	yes
M11fix_B_xsys_disagree_ge20w_MEAN_PD	0.2100 [0.0671, 0.3837]	0.2100 [0.0671, 0.3837]	yes
M11fix_B_xsys_disagree_ge20w_MEAN_control	0.1506 [0.0562, 0.2684]	0.1506 [0.0562, 0.2684]	yes
M11fix_B_xsys_disagree_POOLED_PD	0.2650 [0.0782, 0.4778]	0.2650 [0.0782, 0.4778]	yes
M11fix_B_xsys_disagree_POOLED_control	0.1800 [0.0620, 0.3636]	0.1800 [0.0620, 0.3636]	yes
M11fix_F_wer_vs_local_copy_diff_PD_minus_control	-0.0863 [-0.2851, 0.1047]	-0.0863 [-0.2851, 0.1047]	yes
M11fix_B_xsys_disagree_MEDIAN_diff_PD_minus_control	0.0694 [-0.1008, 0.4112]	0.0694 [-0.1008, 0.4112]	yes
M11fix_B_xsys_disagree_ge20w_MEAN_diff_PD_minus_control	0.0594 [-0.1355, 0.2708]	0.0594 [-0.1355, 0.2708]	yes
M11fix_B_xsys_disagree_POOLED_diff_PD_minus_control	0.0850 [-0.1870, 0.3488]	0.0850 [-0.1870, 0.3488]	yes
