id,speaker,arm,p_yes,answer_mass,prompt
conflict_301_c000010,301,conflict,0.1192286820,0.9951463640,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_301_c000015,301,conflict,0.2121439840,0.9935288727,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_302_c000036,302,conflict,0.2691015582,0.9915929437,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_302_c000040,302,conflict,0.5157974097,0.9902200103,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_303_c000064,303,conflict,0.4689232389,0.9905068874,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_306_c000146,306,conflict,0.7880315187,0.9933226556,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_306_c000148,306,conflict,0.4379402640,0.9912469387,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_306_c000149,306,conflict,0.5157430814,0.9881700873,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_307_c000157,307,conflict,0.5776037990,0.9878218174,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_307_c000159,307,conflict,0.3209472390,0.9904484749,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_307_c000162,307,conflict,0.1403831329,0.9937928170,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_307_c000176,307,conflict,0.5001975044,0.9935646951,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_308_c000181,308,conflict,0.1009183163,0.9929687753,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_308_c000182,308,conflict,0.1192484020,0.9908204749,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_308_c000185,308,conflict,0.1645749799,0.9921976179,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_308_c000186,308,conflict,0.2337609722,0.9912588447,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_308_c000187,308,conflict,0.1128250355,0.9957807288,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_311_c000251,311,conflict,0.1733573240,0.9940622151,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_312_c000260,312,conflict,0.2451719312,0.9888506383,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_314_c000291,314,conflict,0.0953819613,0.9941903278,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_314_c000293,314,conflict,0.3074867822,0.9860261977,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_314_c000296,314,conflict,0.1128206201,0.9914297462,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_314_c000312,314,conflict,0.7664018465,0.9921177775,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_314_c000325,314,conflict,0.1824958267,0.9927698225,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_315_c000333,315,conflict,0.2942981803,0.9929431677,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_315_c000335,315,conflict,0.1561655511,0.9920401722,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_315_c000337,315,conflict,0.1920021247,0.9916316569,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_315_c000344,315,conflict,0.6515048667,0.9914516807,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_315_c000345,315,conflict,0.3209361424,0.9880169928,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
conflict_318_c000389,318,conflict,0.1733971764,0.9965000153,"From the audio alone, is this speaker likely to have depression? Reply with one word, Yes or No."
