key,seg,speaker_id,arm,p_yes_text,mass_text,p_yes_audio,mass_audio
conflict_301_c000010,c000010,301,conflict,0.2451135600961688,0.9986630082130432,0.1646132290669454,0.9973873645067216
conflict_301_c000015,c000015,301,conflict,0.5312295420677513,0.9984277486801147,0.2228549089532157,0.9951561242341996
conflict_302_c000036,c000036,302,conflict,0.1128201805840918,0.998799316585064,0.5624690980370193,0.9956984221935272
conflict_302_c000040,c000040,302,conflict,0.484434611061824,0.9971504509449004,0.5470325237990288,0.9951584935188292
conflict_303_c000064,c000064,303,conflict,0.6654552730556557,0.9979262948036194,0.4690106590047143,0.9954177737236024
conflict_306_c000146,c000146,306,conflict,0.5775598887904018,0.998093158006668,0.7433886070276707,0.9965164959430696
conflict_306_c000148,c000148,306,conflict,0.4225347259500517,0.998095154762268,0.2569745565558849,0.9963720738887788
conflict_306_c000149,c000149,306,conflict,0.6077167300299177,0.9977086782455444,0.5314132401650804,0.9940620362758636
conflict_307_c000157,c000157,307,conflict,0.7773229486603649,0.9982978701591492,0.6793482797866038,0.9963754713535308
conflict_307_c000159,c000159,307,conflict,0.4378887903159464,0.9974167048931122,0.321039829752489,0.9934201538562776
conflict_307_c000162,c000162,307,conflict,0.2121123568194191,0.9976092576980592,0.1260125029635332,0.994844600558281
conflict_307_c000176,c000176,307,conflict,0.4688717888819614,0.9987472891807556,0.5314899409612931,0.9968185722827912
conflict_308_c000181,c000181,308,conflict,0.0066945294845747,0.9994381344877185,0.1260322364525337,0.997091680765152
conflict_308_c000182,c000182,308,conflict,0.0229820335974848,0.9990483894944192,0.156214311702266,0.9951065331697464
conflict_308_c000185,c000185,308,conflict,0.1561349245465419,0.997917413711548,0.3209795348015029,0.9959165453910828
conflict_308_c000186,c000186,308,conflict,0.2942493433762239,0.9977248311042786,0.1825097996394437,0.9973272979259492
conflict_308_c000187,c000187,308,conflict,0.0293184583178062,0.9991865139454604,0.2228210300763977,0.9977497756481172
conflict_311_c000251,c000251,311,conflict,0.0851099797988181,0.9987403675913812,0.2691000030916254,0.9976212680339812
conflict_312_c000260,c000260,312,conflict,0.3346304522328624,0.9978076219558716,0.40753583255791,0.9953477084636688
conflict_314_c000291,c000291,314,conflict,0.1067152660846023,0.998397931456566,0.1646350717239168,0.9944400787353516
conflict_314_c000293,c000293,314,conflict,0.2568639373107563,0.9982327818870544,0.3075942886943605,0.9958922564983368
conflict_314_c000296,c000296,314,conflict,0.0566606303634087,0.9981581419706343,0.1404163944027208,0.99550399184227
conflict_314_c000312,c000312,314,conflict,0.4688403306331291,0.9979608654975892,0.7775323345319627,0.9969728291034698
conflict_314_c000325,c000325,314,conflict,0.1733134710241166,0.99879689514637,0.1330827369687064,0.99641415476799
conflict_315_c000333,c000333,315,conflict,0.2451109011742276,0.997780054807663,0.2338562831053796,0.99517023563385
conflict_315_c000335,c000335,315,conflict,0.1824509278269593,0.9979350417852402,0.1825850440277012,0.9944236129522324
conflict_315_c000337,c000337,315,conflict,0.2568571984003618,0.9984586536884308,0.3347761291714604,0.995823472738266
conflict_315_c000344,c000344,315,conflict,0.7982226153383376,0.9983377903699876,0.5625022315886767,0.9940944015979768
conflict_315_c000345,c000345,315,conflict,0.3346309425735966,0.9971855878829956,0.3632267315437957,0.9947108328342438
conflict_318_c000389,c000389,318,conflict,0.5467935203247858,0.9970094859600068,0.334924726158363,0.9927285611629486
conflict_321_c000428,c000428,321,conflict,0.2451235365075518,0.9980712980031968,0.0804309329206933,0.9976887926459312
conflict_321_c000434,c000434,321,conflict,0.0259635566629403,0.9992872308939696,0.0901496489153515,0.9977129101753236
conflict_321_c000441,c000441,321,conflict,0.1403651376728208,0.9982903003692628,0.2815888126916551,0.9956147074699402
conflict_323_c000475,c000475,323,conflict,0.3487042950469439,0.9971733391284944,0.1825888200984487,0.996740534901619
conflict_323_c000480,c000480,323,conflict,0.8176249849256522,0.998450517654419,0.4690856884436228,0.997148722410202
conflict_327_c000548,c000548,327,conflict,0.4688417405147979,0.9973541796207428,0.2570368088988444,0.9962936639785768
conflict_328_c000562,c000562,328,conflict,0.2018307052757224,0.9985629469156264,0.1128983396703313,0.996926300227642
conflict_328_c000563,c000563,328,conflict,0.5000495652969114,0.9981147646903992,0.531341778335258,0.996567726135254
conflict_328_c000564,c000564,328,conflict,0.4073724127760381,0.9982944130897522,0.1404087545964041,0.9953433573246002
conflict_329_c000589,c000589,329,conflict,0.0803672958735102,0.998866118490696,0.0901684959231127,0.995735600590706
conflict_332_c000642,c000642,332,conflict,0.0420979339667556,0.999061543494463,0.3211562279576441,0.99714994430542
conflict_332_c000644,c000644,332,conflict,0.0637273167686207,0.9990538582205772,0.0804199016063847,0.997958779335022
conflict_332_c000649,c000649,332,conflict,0.9875716825781612,0.9995495462790132,0.978427005323695,0.9988666530698538
conflict_332_c000654,c000654,332,conflict,0.1259480527331459,0.9981434792280196,0.1404228334071924,0.9960279762744904
conflict_332_c000656,c000656,332,conflict,0.1561337350262553,0.9980129152536392,0.0534569245083168,0.9963833540678024
conflict_338_c000810,c000810,338,conflict,0.0566677328695273,0.9989518076181412,0.1562888906371046,0.995282307267189
conflict_338_c000820,c000820,338,conflict,0.0420965733494647,0.9990884363651276,0.0567151312862712,0.9982990324497224
conflict_338_c000821,c000821,338,conflict,0.8439164123888242,0.9988138675689696,0.7059161724470875,0.9969155490398408
conflict_338_c000822,c000822,338,conflict,0.0420980926155601,0.9984433874487876,0.0954333248465167,0.9966039061546326
conflict_338_c000824,c000824,338,conflict,0.0169179282407205,0.9992561098188162,0.0675910112242705,0.997358664870262
conflict_338_c000825,c000825,338,conflict,0.0216184994151434,0.9992678575217724,0.0566743823014733,0.9982103519141674
conflict_340_c000847,c000847,340,conflict,0.4844253550534177,0.9978485107421876,0.192138205432671,0.9960407167673112
conflict_345_c000931,c000931,345,conflict,0.0474386439750234,0.9986376836895944,0.0601479692891768,0.9970084838569164
conflict_345_c000932,c000932,345,conflict,0.0851262733900749,0.9984032139182092,0.1009626521737716,0.9956635758280754
conflict_345_c000935,c000935,345,conflict,0.1192275367373514,0.99853678047657,0.3347742412740395,0.9955287277698516
conflict_345_c000939,c000939,345,conflict,0.0675607325243871,0.9981231465935708,0.1404323205338872,0.9968944489955902
