id,speaker,arm,p_yes,answer_mass,prompt
conflict_301_c000010,301,conflict,0.1646132291,0.9973873645,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_301_c000015,301,conflict,0.2228549090,0.9951561242,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_302_c000036,302,conflict,0.5624690980,0.9956984222,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_302_c000040,302,conflict,0.5470325238,0.9951584935,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_303_c000064,303,conflict,0.4690106590,0.9954177737,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_306_c000146,306,conflict,0.7433886070,0.9965164959,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_306_c000148,306,conflict,0.2569745566,0.9963720739,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_306_c000149,306,conflict,0.5314132402,0.9940620363,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_307_c000157,307,conflict,0.6793482798,0.9963754714,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_307_c000159,307,conflict,0.3210398298,0.9934201539,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_307_c000162,307,conflict,0.1260125030,0.9948446006,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_307_c000176,307,conflict,0.5314899410,0.9968185723,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_308_c000181,308,conflict,0.1260322365,0.9970916808,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_308_c000182,308,conflict,0.1562143117,0.9951065332,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_308_c000185,308,conflict,0.3209795348,0.9959165454,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_308_c000186,308,conflict,0.1825097996,0.9973272979,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_308_c000187,308,conflict,0.2228210301,0.9977497756,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_311_c000251,311,conflict,0.2691000031,0.9976212680,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_312_c000260,312,conflict,0.4075358326,0.9953477085,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_314_c000291,314,conflict,0.1646350717,0.9944400787,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_314_c000293,314,conflict,0.3075942887,0.9958922565,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_314_c000296,314,conflict,0.1404163944,0.9955039918,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
