id,speaker,arm,p_yes,answer_mass,prompt
conflict_301_c000010,301,conflict,0.1402481446,0.9954109490,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_301_c000015,301,conflict,0.2450418672,0.9927377254,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_302_c000036,302,conflict,0.3073038722,0.9921886623,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_302_c000040,302,conflict,0.6227021625,0.9918176532,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_303_c000064,303,conflict,0.3926911496,0.9922309220,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_306_c000146,306,conflict,0.7775117080,0.9967904538,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_306_c000148,306,conflict,0.2337893568,0.9909306467,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_306_c000149,306,conflict,0.7189029296,0.9957129657,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_307_c000157,307,conflict,0.4687160296,0.9898978770,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_307_c000159,307,conflict,0.3489535249,0.9885778427,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_307_c000162,307,conflict,0.1259932767,0.9943435639,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_307_c000176,307,conflict,0.3632284874,0.9938183427,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_308_c000181,308,conflict,0.0952922621,0.9942546189,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_308_c000182,308,conflict,0.1192626177,0.9933433160,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_308_c000185,308,conflict,0.2691040951,0.9915260077,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_308_c000186,308,conflict,0.3074361258,0.9959598482,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_308_c000187,308,conflict,0.1258489784,0.9973040372,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_311_c000251,311,conflict,0.3776967983,0.9959687591,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_312_c000260,312,conflict,0.3489044931,0.9961285591,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_314_c000291,314,conflict,0.1067032885,0.9919662625,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_314_c000293,314,conflict,0.2940085350,0.9893916547,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_314_c000296,314,conflict,0.1323578998,0.9917277545,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_314_c000312,314,conflict,0.5624619025,0.9866300821,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_314_c000325,314,conflict,0.1191865537,0.9913995191,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_315_c000333,315,conflict,0.2570527751,0.9930917025,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_315_c000335,315,conflict,0.1192057356,0.9886034727,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_315_c000337,315,conflict,0.2690205848,0.9908810854,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_315_c000344,315,conflict,0.6374973685,0.9930695593,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_315_c000345,315,conflict,0.2814731389,0.9909574091,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_318_c000389,318,conflict,0.0469519647,0.9925235435,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_321_c000428,321,conflict,0.1256399157,0.9916791692,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_321_c000434,321,conflict,0.1646375152,0.9947906137,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_321_c000441,321,conflict,0.2230638544,0.9928494990,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_323_c000475,323,conflict,0.1726826667,0.9950269312,Listen to this recording. Does the speaker have depression? Answer Yes or No.
conflict_323_c000480,323,conflict,0.5155461665,0.9899657667,Listen to this recording. Does the speaker have depression? Answer Yes or No.
