id,speaker,arm,p_yes,answer_mass,prompt
300,300,full,0.1194207274,0.9948601350,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
301,301,full,0.0759411452,0.9951763302,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
302,302,full,0.1130192824,0.9950256869,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
303,303,full,0.0716907036,0.9956856519,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
304,304,full,0.1069673713,0.9943777248,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
305,305,full,0.2022830681,0.9945611805,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
306,306,full,0.1067641144,0.9944703504,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
307,307,full,0.2124679928,0.9946848750,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
308,308,full,0.7187651454,0.9955582023,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
309,309,full,0.7315011156,0.9950016737,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
310,310,full,0.0717591203,0.9939587787,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
311,311,full,0.2233593033,0.9956303686,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
312,312,full,0.1735677039,0.9945051670,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
313,313,full,0.1333755922,0.9949649125,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
314,314,full,0.0396633849,0.9964435436,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
315,315,full,0.0805868732,0.9959898964,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
316,316,full,0.1010836895,0.9953767881,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
317,317,full,0.1737060170,0.9933902323,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
318,318,full,0.2569584748,0.9954669178,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
319,319,full,0.1826595217,0.9938075095,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
