id,speaker,arm,p_yes,answer_mass,prompt
conflict_301_c000010,301,conflict,0.1646132291,0.9973873645,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_301_c000015,301,conflict,0.2228549090,0.9951561242,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_302_c000036,302,conflict,0.5624690980,0.9956984222,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_302_c000040,302,conflict,0.5470325238,0.9951584935,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_303_c000064,303,conflict,0.4690106590,0.9954177737,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_304_c000079,304,conflict,0.1128642145,0.9971034229,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_305_c000093,305,conflict,0.7551754010,0.9964980483,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_305_c000100,305,conflict,0.1646079975,0.9957285970,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_305_c000104,305,conflict,0.5624380670,0.9942553937,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_305_c000105,305,conflict,0.3347402819,0.9950004518,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_305_c000108,305,conflict,0.3347438214,0.9964335561,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_305_c000114,305,conflict,0.9242262746,0.9971639365,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_305_c000118,305,conflict,0.5314623111,0.9943270087,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_305_c000120,305,conflict,0.5158689801,0.9940520823,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_305_c000127,305,conflict,0.4534704554,0.9920741320,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_305_c000131,305,conflict,0.4846349930,0.9949674904,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_305_c000135,305,conflict,0.7665173550,0.9969128966,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_306_c000146,306,conflict,0.7433886070,0.9965164959,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_306_c000148,306,conflict,0.2569745566,0.9963720739,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_306_c000149,306,conflict,0.5314132402,0.9940620363,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_307_c000157,307,conflict,0.6793482798,0.9963754714,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_307_c000159,307,conflict,0.3210398298,0.9934201539,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
