path,speaker,arm,id,seg
/workspace/part14_clips/conflict_301_c000010.wav,301,conflict,conflict_301_c000010,c000010
/workspace/part14_clips/conflict_301_c000015.wav,301,conflict,conflict_301_c000015,c000015
/workspace/part14_clips/conflict_302_c000036.wav,302,conflict,conflict_302_c000036,c000036
/workspace/part14_clips/conflict_302_c000040.wav,302,conflict,conflict_302_c000040,c000040
/workspace/part14_clips/conflict_303_c000064.wav,303,conflict,conflict_303_c000064,c000064
/workspace/part14_clips/conflict_306_c000146.wav,306,conflict,conflict_306_c000146,c000146
/workspace/part14_clips/conflict_306_c000148.wav,306,conflict,conflict_306_c000148,c000148
/workspace/part14_clips/conflict_306_c000149.wav,306,conflict,conflict_306_c000149,c000149
/workspace/part14_clips/conflict_307_c000157.wav,307,conflict,conflict_307_c000157,c000157
/workspace/part14_clips/conflict_307_c000159.wav,307,conflict,conflict_307_c000159,c000159
/workspace/part14_clips/conflict_307_c000162.wav,307,conflict,conflict_307_c000162,c000162
/workspace/part14_clips/conflict_307_c000176.wav,307,conflict,conflict_307_c000176,c000176
/workspace/part14_clips/conflict_308_c000181.wav,308,conflict,conflict_308_c000181,c000181
/workspace/part14_clips/conflict_308_c000182.wav,308,conflict,conflict_308_c000182,c000182
/workspace/part14_clips/conflict_308_c000185.wav,308,conflict,conflict_308_c000185,c000185
/workspace/part14_clips/conflict_308_c000186.wav,308,conflict,conflict_308_c000186,c000186
/workspace/part14_clips/conflict_308_c000187.wav,308,conflict,conflict_308_c000187,c000187
/workspace/part14_clips/conflict_311_c000251.wav,311,conflict,conflict_311_c000251,c000251
/workspace/part14_clips/conflict_312_c000260.wav,312,conflict,conflict_312_c000260,c000260
/workspace/part14_clips/conflict_314_c000291.wav,314,conflict,conflict_314_c000291,c000291
/workspace/part14_clips/conflict_314_c000293.wav,314,conflict,conflict_314_c000293,c000293
/workspace/part14_clips/conflict_314_c000296.wav,314,conflict,conflict_314_c000296,c000296
/workspace/part14_clips/conflict_314_c000312.wav,314,conflict,conflict_314_c000312,c000312
/workspace/part14_clips/conflict_314_c000325.wav,314,conflict,conflict_314_c000325,c000325
/workspace/part14_clips/conflict_315_c000333.wav,315,conflict,conflict_315_c000333,c000333
/workspace/part14_clips/conflict_315_c000335.wav,315,conflict,conflict_315_c000335,c000335
/workspace/part14_clips/conflict_315_c000337.wav,315,conflict,conflict_315_c000337,c000337
/workspace/part14_clips/conflict_315_c000344.wav,315,conflict,conflict_315_c000344,c000344
/workspace/part14_clips/conflict_315_c000345.wav,315,conflict,conflict_315_c000345,c000345
/workspace/part14_clips/conflict_318_c000389.wav,318,conflict,conflict_318_c000389,c000389
/workspace/part14_clips/conflict_321_c000428.wav,321,conflict,conflict_321_c000428,c000428
/workspace/part14_clips/conflict_321_c000434.wav,321,conflict,conflict_321_c000434,c000434
/workspace/part14_clips/conflict_321_c000441.wav,321,conflict,conflict_321_c000441,c000441
/workspace/part14_clips/conflict_323_c000475.wav,323,conflict,conflict_323_c000475,c000475
/workspace/part14_clips/conflict_323_c000480.wav,323,conflict,conflict_323_c000480,c000480
/workspace/part14_clips/conflict_327_c000548.wav,327,conflict,conflict_327_c000548,c000548
/workspace/part14_clips/conflict_328_c000562.wav,328,conflict,conflict_328_c000562,c000562
/workspace/part14_clips/conflict_328_c000563.wav,328,conflict,conflict_328_c000563,c000563
/workspace/part14_clips/conflict_328_c000564.wav,328,conflict,conflict_328_c000564,c000564
/workspace/part14_clips/conflict_329_c000589.wav,329,conflict,conflict_329_c000589,c000589
/workspace/part14_clips/conflict_332_c000642.wav,332,conflict,conflict_332_c000642,c000642
/workspace/part14_clips/conflict_332_c000644.wav,332,conflict,conflict_332_c000644,c000644
/workspace/part14_clips/conflict_332_c000649.wav,332,conflict,conflict_332_c000649,c000649
/workspace/part14_clips/conflict_332_c000654.wav,332,conflict,conflict_332_c000654,c000654
/workspace/part14_clips/conflict_332_c000656.wav,332,conflict,conflict_332_c000656,c000656
/workspace/part14_clips/conflict_338_c000810.wav,338,conflict,conflict_338_c000810,c000810
/workspace/part14_clips/conflict_338_c000820.wav,338,conflict,conflict_338_c000820,c000820
/workspace/part14_clips/conflict_338_c000821.wav,338,conflict,conflict_338_c000821,c000821
/workspace/part14_clips/conflict_338_c000822.wav,338,conflict,conflict_338_c000822,c000822
/workspace/part14_clips/conflict_338_c000824.wav,338,conflict,conflict_338_c000824,c000824
/workspace/part14_clips/conflict_338_c000825.wav,338,conflict,conflict_338_c000825,c000825
/workspace/part14_clips/conflict_340_c000847.wav,340,conflict,conflict_340_c000847,c000847
/workspace/part14_clips/conflict_345_c000931.wav,345,conflict,conflict_345_c000931,c000931
/workspace/part14_clips/conflict_345_c000932.wav,345,conflict,conflict_345_c000932,c000932
/workspace/part14_clips/conflict_345_c000935.wav,345,conflict,conflict_345_c000935,c000935
/workspace/part14_clips/conflict_345_c000939.wav,345,conflict,conflict_345_c000939,c000939
/workspace/part14_clips/conflict_345_c000940.wav,345,conflict,conflict_345_c000940,c000940
/workspace/part14_clips/conflict_345_c000941.wav,345,conflict,conflict_345_c000941,c000941
/workspace/part14_clips/conflict_345_c000942.wav,345,conflict,conflict_345_c000942,c000942
/workspace/part14_clips/conflict_345_c000947.wav,345,conflict,conflict_345_c000947,c000947
/workspace/part14_clips/conflict_345_c000948.wav,345,conflict,conflict_345_c000948,c000948
/workspace/part14_clips/conflict_345_c000949.wav,345,conflict,conflict_345_c000949,c000949
/workspace/part14_clips/conflict_345_c000952.wav,345,conflict,conflict_345_c000952,c000952
/workspace/part14_clips/conflict_345_c000953.wav,345,conflict,conflict_345_c000953,c000953
/workspace/part14_clips/conflict_346_c000954.wav,346,conflict,conflict_346_c000954,c000954
/workspace/part14_clips/conflict_346_c000956.wav,346,conflict,conflict_346_c000956,c000956
/workspace/part14_clips/conflict_346_c000957.wav,346,conflict,conflict_346_c000957,c000957
/workspace/part14_clips/conflict_346_c000971.wav,346,conflict,conflict_346_c000971,c000971
/workspace/part14_clips/conflict_346_c000972.wav,346,conflict,conflict_346_c000972,c000972
/workspace/part14_clips/conflict_346_c000974.wav,346,conflict,conflict_346_c000974,c000974
