idx,pid,start,end
10,301,95.3,122.5
15,301,241.8,278.5
18,301,344.3,373.4
30,301,746.6,773.0
33,302,113.9,140.6
34,302,145.7,182.1
36,302,229.8,264.9
39,302,345.5,394.7
40,302,396.1,429.7
43,302,535.1,585.4
45,302,650.0,693.3
49,303,146.0,166.2
64,303,723.6,740.3
79,304,316.5,345.6
88,304,679.5,710.0
91,305,24.6,50.5
93,305,155.8,179.1
96,305,262.2,285.0
99,305,368.1,389.8
100,305,391.4,449.8
104,305,554.1,591.1
105,305,593.3,612.9
107,305,645.2,663.0
108,305,664.0,692.1
114,305,881.0,904.6
116,305,944.6,968.6
118,305,998.4,1018.3
120,305,1042.0,1064.1
127,305,1281.4,1318.0
128,305,1319.4,1336.0
131,305,1394.9,1416.2
135,305,1528.7,1543.4
137,305,1598.3,1647.6
141,306,23.9,44.1
143,306,78.0,134.9
145,306,263.7,317.0
146,306,487.7,551.9
148,306,578.4,597.3
149,306,598.8,620.8
152,306,782.2,802.9
155,307,25.0,51.2
156,307,52.4,86.2
157,307,125.9,150.4
159,307,168.5,203.6
160,307,209.3,236.2
162,307,345.3,363.3
167,307,545.5,563.9
176,307,1008.2,1040.6
179,307,1145.1,1191.4
181,308,0.0,21.0
182,308,33.5,52.4
185,308,164.8,199.1
186,308,204.6,223.6
187,308,232.7,253.5
189,308,315.9,352.5
193,308,524.1,548.2
201,309,74.5,126.4
203,309,162.2,224.5
213,309,499.2,551.9
216,310,55.5,112.9
218,310,167.4,203.9
219,310,204.7,224.7
225,310,388.9,419.0
229,310,560.4,587.2
235,310,736.2,788.1
236,310,791.4,803.3
238,311,56.7,130.5
242,311,273.7,323.0
243,311,325.6,344.8
250,311,639.0,692.3
251,311,700.4,721.4
260,312,327.6,338.7
262,312,444.8,467.6
270,313,128.2,175.5
272,313,209.4,252.0
275,313,326.7,376.5
278,313,455.5,496.0
279,313,501.4,537.2
291,314,245.8,287.8
293,314,358.7,388.4
296,314,452.7,474.6
301,314,598.8,645.2
305,314,740.0,756.5
310,314,887.3,916.5
312,314,939.0,948.6
316,314,1042.8,1064.2
319,314,1165.0,1186.7
325,314,1318.5,1334.8
333,315,197.9,231.8
335,315,289.5,320.5
337,315,379.5,429.3
339,315,469.6,494.4
342,315,577.9,623.6
344,315,646.2,698.1
345,315,700.9,728.8
349,315,816.3,852.7
351,315,892.5,923.2
357,316,277.5,315.9
358,316,317.7,365.9
360,316,442.9,471.4
362,316,503.7,534.5
373,317,294.4,328.6
380,317,613.9,651.1
386,318,134.9,181.3
389,318,259.6,297.9
394,318,484.9,526.0
397,319,70.3,115.0
399,319,169.8,213.2
400,319,214.3,250.7
406,319,483.5,532.4
412,320,139.2,187.6
414,320,260.0,293.0
415,320,303.1,331.2
420,320,488.1,525.2
425,320,750.4,785.9
428,321,110.2,134.3
434,321,324.3,378.1
435,321,382.1,404.8
436,321,412.0,444.8
438,321,497.8,530.4
439,321,542.8,599.4
440,321,611.0,663.6
441,321,672.7,705.9
453,322,449.6,494.0
459,322,670.9,687.3
463,322,805.4,849.7
464,322,856.5,890.3
465,322,891.7,904.9
467,322,934.5,972.0
468,322,979.9,1020.4
472,323,186.2,213.2
475,323,284.9,311.5
480,323,472.7,489.6
484,323,615.1,632.2
492,324,201.5,240.5
496,324,360.4,398.8
500,324,534.5,581.5
506,325,82.1,93.7
507,325,97.7,113.4
508,325,117.8,141.5
510,325,169.1,195.6
516,325,379.5,401.1
520,325,495.0,529.1
521,325,540.0,561.8
522,325,576.8,611.1
523,325,621.3,631.6
524,325,632.9,648.9
525,325,657.0,677.7
526,325,685.9,705.9
528,325,725.9,755.4
531,325,801.2,838.1
538,326,419.0,444.8
542,326,614.8,661.5
547,327,238.9,274.0
548,327,278.8,302.9
550,327,369.1,391.5
554,327,521.9,558.5
555,327,567.9,593.0
559,328,83.5,115.1
562,328,166.5,196.3
563,328,198.9,232.4
564,328,242.1,282.8
566,328,312.6,342.8
572,328,552.1,596.9
574,328,670.7,701.8
576,328,728.2,762.0
589,329,210.8,239.2
591,329,291.4,330.6
593,329,360.0,405.2
594,329,411.6,440.2
602,330,26.7,95.2
605,330,206.0,244.9
609,330,450.9,501.4
612,330,654.3,692.2
618,331,282.5,323.1
620,331,424.5,444.5
623,331,515.5,545.1
627,331,643.1,659.4
629,331,702.8,713.1
631,331,741.1,751.2
642,332,295.2,346.7
644,332,378.1,410.4
647,332,504.5,549.4
649,332,599.0,621.9
650,332,623.3,649.4
652,332,705.4,735.8
654,332,782.7,800.9
655,332,802.3,822.6
656,332,831.0,861.9
686,334,191.6,207.9
692,334,370.8,390.1
698,334,550.8,588.3
704,334,772.1,806.0
705,334,814.6,846.5
709,335,45.5,82.4
710,335,87.3,108.9
717,335,280.5,308.7
722,335,469.1,503.1
724,335,556.4,581.8
725,335,586.0,604.2
726,335,613.1,623.0
727,335,633.5,657.9
728,335,665.7,697.6
730,335,756.6,800.2
733,336,168.9,206.6
737,336,341.6,387.4
738,336,393.2,419.0
740,336,470.8,511.2
742,336,572.3,617.3
747,336,776.9,810.3
750,337,11.6,84.2
751,337,85.2,99.4
758,337,294.4,314.5
766,337,530.8,551.1
772,337,729.9,781.0
775,337,830.7,848.6
779,337,979.3,993.1
790,337,1284.2,1302.0
792,337,1344.6,1381.1
805,337,1698.7,1729.4
807,337,1749.5,1763.4
808,337,1764.8,1793.3
809,337,1794.3,1831.7
810,338,0.0,92.6
814,338,201.2,221.4
820,338,371.0,399.3
821,338,401.3,411.1
822,338,427.3,450.4
824,338,481.7,514.1
825,338,522.6,542.0
828,339,45.5,97.0
833,339,224.3,248.4
841,339,623.1,686.2
842,339,695.0,724.6
843,339,747.8,776.7
844,339,783.6,821.8
847,340,104.8,164.3
854,340,408.5,446.4
855,340,448.8,479.3
864,341,224.1,253.8
868,341,361.2,399.7
884,343,171.9,202.1
894,343,589.5,632.1
899,343,787.3,817.6
900,343,835.2,876.4
902,344,70.7,115.9
908,344,275.6,317.3
910,344,379.8,405.2
912,344,457.6,474.5
914,344,511.4,539.0
921,344,753.7,776.9
922,344,780.9,827.1
926,344,930.5,961.5
927,344,967.1,992.3
928,344,1004.1,1032.3
929,344,1033.2,1048.6
931,345,1.9,26.8
932,345,50.6,86.0
935,345,147.3,168.8
937,345,218.0,240.8
938,345,245.7,264.2
939,345,266.2,291.2
940,345,293.8,317.2
941,345,323.8,340.5
942,345,344.7,363.2
943,345,364.7,399.4
947,345,534.8,557.7
948,345,563.2,574.9
949,345,580.9,614.8
950,345,622.1,666.7
951,345,672.1,698.8
952,345,702.8,738.1
953,345,740.0,763.2
954,346,17.2,83.9
956,346,124.3,163.1
957,346,167.9,228.5
958,346,232.1,243.3
962,346,358.8,380.7
968,346,539.7,556.3
969,346,558.2,602.4
971,346,643.7,665.8
972,346,668.6,708.6
973,346,709.5,724.1
974,346,725.1,741.5
977,346,830.6,884.6
979,346,928.5,945.0
980,346,952.3,979.1
982,346,1003.0,1079.6
983,346,1081.1,1093.1
984,346,1094.8,1138.2
985,346,1142.1,1150.8
986,346,1163.9,1198.1
988,347,29.5,122.7
