key,seg,speaker_id,arm,p_yes_text,mass_text,p_yes_audio,mass_audio
conflict_301_c000010,c000010,301,conflict,0.991149638204006,0.9760546637699008,0.9777128777452612,0.9984563998878002
conflict_301_c000015,c000015,301,conflict,0.9990375104530748,0.9937833851436152,0.9996229271082802,0.9998312095121946
conflict_302_c000036,c000036,302,conflict,0.0399383463489076,0.9933519177138804,0.999116880144822,0.9996974951354788
conflict_302_c000040,c000040,302,conflict,0.9872758075921818,0.97098418045789,0.9991895577572244,0.999784411978908
conflict_303_c000064,c000064,303,conflict,0.9724124551457152,0.9855699762701988,0.9873739139683908,0.9985779728740454
conflict_306_c000146,c000146,306,conflict,0.9930416384681396,0.994417801965028,0.9992444430337712,0.999718819744885
conflict_306_c000148,c000148,306,conflict,0.9989594639264994,0.9972477705450729,0.982556231895452,0.9977362975478172
conflict_306_c000149,c000149,306,conflict,0.9986004721734886,0.9974829602288082,0.9983254083558069,0.9996171133825557
conflict_307_c000157,c000157,307,conflict,0.9947795375127164,0.9879194949753582,0.980128740310934,0.9977057911455632
conflict_307_c000159,c000159,307,conflict,0.9704620831487888,0.9528459403663874,0.9629499190241486,0.9976592175662518
conflict_307_c000162,c000162,307,conflict,0.9453921623675172,0.8585561029613018,0.5311883275694134,0.98016819357872
conflict_307_c000176,c000176,307,conflict,0.972828693538532,0.9932411182671784,0.9918114414720136,0.998693329282105
conflict_308_c000181,c000181,308,conflict,0.5428745216700835,0.9713976383209229,0.9704640229840692,0.9969633035361768
conflict_308_c000182,c000182,308,conflict,0.4921994899931661,0.9282549023628236,0.7853091219209893,0.991792842745781
conflict_308_c000185,c000185,308,conflict,0.4687994746093065,0.9267368018627168,0.9980731537585856,0.9996447343146428
conflict_308_c000186,c000186,308,conflict,0.9755738223510928,0.9315226078033448,0.9851563218451634,0.9960038308054208
conflict_308_c000187,c000187,308,conflict,0.0141743006875279,0.9918838888406754,0.6548939423698623,0.9916687309741974
conflict_311_c000251,c000251,311,conflict,0.3812212662911746,0.994282990694046,0.9591513296091708,0.9985457248985768
