target,n,ccc,ccc_lo,ccc_hi,r2,r2_lo,r2_hi,pearson_r,pearson_lo,pearson_hi,perm_p_pearson,q_fdr_pearson,p_ccc,q_fdr_ccc
Depression_severity,275,0.213,0.122,0.299,0.049,-0.07,0.148,0.282,0.165,0.394,0.005,0.01,0.005,0.008333333333333333
PHQ8_6_Failure,275,0.19,0.098,0.27,0.055,-0.057,0.143,0.271,0.141,0.383,0.005,0.01,0.005,0.008333333333333333
PHQ8_5_Appetite,275,0.167,0.096,0.231,0.076,-0.005,0.141,0.28,0.165,0.382,0.005,0.01,0.005,0.008333333333333333
PHQ8_1_NoInterest,275,0.125,0.056,0.192,0.04,-0.039,0.106,0.219,0.1,0.33,0.01,0.016666666666666666,0.005,0.008333333333333333
PHQ8_2_Depressed,275,0.092,0.024,0.16,0.014,-0.062,0.079,0.171,0.046,0.289,0.005,0.01,0.005,0.008333333333333333
PHQ8_7_Concentration,275,0.079,0.008,0.149,-0.025,-0.111,0.053,0.131,0.012,0.25,0.0299,0.04271428571428571,0.01,0.014285714285714287
PHQ8_4_Tired,275,0.065,0.015,0.116,0.02,-0.039,0.071,0.156,0.034,0.278,0.005,0.01,0.005,0.008333333333333333
PTSD_severity,273,0.048,-0.034,0.129,-0.053,-0.153,0.03,0.082,-0.059,0.216,0.0746,0.0746,0.0199,0.024875
PHQ8_3_Sleep,275,0.044,-0.011,0.101,-0.019,-0.083,0.037,0.092,-0.024,0.207,0.0547,0.06077777777777777,0.0348,0.0348
PHQ8_8_Psychomotor,275,0.038,-0.011,0.086,-0.0,-0.062,0.046,0.098,-0.026,0.225,0.0398,0.04975,0.0348,0.0348
