layer,auc,balacc
0,0.8291172199827516,0.7572113861236096
1,0.83784334849683,0.7623459426395506
2,0.8284201216202438,0.7645874031846098
3,0.8498593404292252,0.7757809292624258
4,0.8525623186648774,0.77231472475636
5,0.8629196022406339,0.7835867777248142
6,0.8687305921478619,0.7773707543816628
7,0.8714363257130103,0.7947086652357322
8,0.8847280352020896,0.799907971994831
9,0.8998878580895098,0.8108865823719529
10,0.9021968242072227,0.8240350147272362
11,0.9118818073859363,0.8442591332284471
12,0.9216522057790281,0.8536548068100724
13,0.9177286165766133,0.8405780130216872
14,0.9202552537245166,0.8387016336348583
15,0.9216411844610439,0.84932205117749
16,0.9265374049755741,0.8462856780728123
17,0.9390438455582711,0.8577010081750627
18,0.9404490636012708,0.8628286763672633
19,0.942410858202478,0.8613821283818226
20,0.9472657487745672,0.8738789253112833
21,0.9425789333017389,0.8665814351409213
22,0.9430197860211114,0.8632585077686514
23,0.9431079565649858,0.862177040941441
24,0.9471638015832123,0.8658581611482009
25,0.948006932409012,0.8764785786908327
26,0.9476046543025848,0.8790065935034841
27,0.9450532191892167,0.8652781642892765
28,0.9392587612589651,0.8656432454475068
29,0.9314611787850651,0.84967335568824
30,0.9349990218580289,0.858847225245431
31,0.9269892790129307,0.8549443010142368
32,0.9205996699115263,0.84266241978547
