layer,auc,balacc
0,0.8339697994402986,0.7566756063432836
1,0.8738631063432836,0.7986823694029851
2,0.8611823694029851,0.7913945895522387
3,0.8706419076492539,0.7933477145522387
4,0.8725950326492538,0.796816697761194
5,0.8936275652985074,0.8274545242537313
6,0.90234375,0.8256763059701493
7,0.905127681902985,0.8317105876865671
8,0.9076784048507462,0.8201667444029851
9,0.9077950093283582,0.8276294309701493
10,0.9077075559701493,0.8299323694029851
11,0.9084363339552237,0.8185634328358209
12,0.9078824626865671,0.8200792910447761
13,0.9187849813432836,0.8245102611940298
14,0.9058710354477612,0.818388526119403
15,0.923711520522388,0.8429920708955223
16,0.921700093283582,0.8396979944029851
17,0.9288421175373134,0.8380946828358209
18,0.9357655083955223,0.8587045242537313
19,0.9456185867537313,0.8739797108208955
20,0.9488252098880599,0.8682952425373134
21,0.9517111707089553,0.8743295242537313
22,0.9517403218283582,0.8796641791044777
23,0.9353865438432835,0.8468983208955223
24,0.9370627332089553,0.8640391791044777
25,0.943475979477612,0.8719391324626866
26,0.9401819029850748,0.8624358675373134
27,0.9385785914179104,0.8542735541044777
28,0.9254022854477613,0.8431669776119404
29,0.9278364039179106,0.8548857276119404
30,0.9336957789179104,0.8565764925373134
31,0.9408086520522387,0.8566639458955223
32,0.9386951958955224,0.8679454291044777
